date,상해종합지수
2020-03-20,49.6517
2020-03-21,7.85603
2020-03-22,4.11506
2020-03-23,53.10887
2020-03-24,50.38699
2020-03-25,42.04076
2020-03-26,43.45975
2020-03-27,38.81578
2020-03-28,5.22445
2020-03-29,2.63157
2020-03-30,37.0872
2020-03-31,29.48916
2020-04-01,32.89473
2020-04-02,30.88235
2020-04-03,24.2776
2020-04-04,3.61197
2020-04-05,2.10268
2020-04-06,27.56707
2020-04-07,28.18627
2020-04-08,25.38699
2020-04-09,25.37409
2020-04-10,24.0196
2020-04-11,3.25077
2020-04-12,2.06398
2020-04-13,23.54231
2020-04-14,21.46542
2020-04-15,18.30495
2020-04-16,23.24561
2020-04-17,28.08307
2020-04-18,3.85706
2020-04-19,2.46388
2020-04-20,23.69711
2020-04-21,23.24561
2020-04-22,23.52941
2020-04-23,19.93034
2020-04-24,18.16305
2020-04-25,2.18008
2020-04-26,1.67698
2020-04-27,19.34984
2020-04-28,21.07843
2020-04-29,18.18885
2020-04-30,14.70588
2020-05-01,11.3906
2020-05-02,3.21207
2020-05-03,1.97368
2020-05-04,16.96336
2020-05-05,9.02992
2020-05-06,23.37461
2020-05-07,19.37564
2020-05-08,17.55675
2020-05-09,2.79927
2020-05-10,1.57378
2020-05-11,18.83384
2020-05-12,18.07275
2020-05-13,19.09184
2020-05-14,18.55005
2020-05-15,16.09907
2020-05-16,2.37358
2020-05-17,1.26418
2020-05-18,17.98245
2020-05-19,18.78224
2020-05-20,17.09236
2020-05-21,18.42105
2020-05-22,20.30443
2020-05-23,3.03147
2020-05-24,1.45768
2020-05-25,22.54901
2020-05-26,19.59494
2020-05-27,19.59494
2020-05-28,23.07791
2020-05-29,19.59494
2020-05-30,2.43808
2020-05-31,1.78018
2020-06-01,22.48452
2020-06-02,23.00051
2020-06-03,23.60681
2020-06-04,23.06501
2020-06-05,19.74974
2020-06-06,2.96697
2020-06-07,1.38028
2020-06-08,22.80701
2020-06-09,22.47162
2020-06-10,19.99484
2020-06-11,18.69195
2020-06-12,22.69091
2020-06-13,2.11558
2020-06-14,1.43188
2020-06-15,25.27089
2020-06-16,21.41382
2020-06-17,19.51754
2020-06-18,19.71104
2020-06-19,19.50464
2020-06-20,2.39938
2020-06-21,1.30288
2020-06-22,20.63983
2020-06-23,20.44633
2020-06-24,20.08513
2020-06-25,18.35655
2020-06-26,14.88648
2020-06-27,2.51547
2020-06-28,1.38028
2020-06-29,18.36945
2020-06-30,20.76883
2020-07-01,25.42569
2020-07-02,27.97987
2020-07-03,29.19246
2020-07-04,6.05005
2020-07-05,3.93446
2020-07-06,66.60216
2020-07-07,69.93034
2020-07-08,56.24355
2020-07-09,57.39164
2020-07-10,49.0067
2020-07-11,6.77244
2020-07-12,4.29566
2020-07-13,49.8452
2020-07-14,48.7745
2020-07-15,50.56759
2020-07-16,66.83436
2020-07-17,64.51238
2020-07-18,6.56604
2020-07-19,3.96026
2020-07-20,49.7549
2020-07-21,46.19453
2020-07-22,42.40196
2020-07-23,42.31166
2020-07-24,47.20072
2020-07-25,6.05005
2020-07-26,3.32817
2020-07-27,41.96336
2020-07-28,37.56449
2020-07-29,37.60319
2020-07-30,35.08771
2020-07-31,33.56553
2020-08-01,4.29566
2020-08-02,2.51547
2020-08-03,35.47471
2020-08-04,37.57739
2020-08-05,40.38957
2020-08-06,38.28689
2020-08-07,47.13622
2020-08-08,5.19865
2020-08-09,2.73477
2020-08-10,50.01289
2020-08-11,54.20536
2020-08-12,50.52889
2020-08-13,49.2776
2020-08-14,50.16769
2020-08-15,4.77296
2020-08-16,2.81217
2020-08-17,57.01754
2020-08-18,65.66047
2020-08-19,59.79102
2020-08-20,58.01083
2020-08-21,47.00722
2020-08-22,5.09545
2020-08-23,2.57997
2020-08-24,43.39525
2020-08-25,43.30495
2020-08-26,41.70536
2020-08-27,40.76367
2020-08-28,40.97007
2020-08-29,4.55366
2020-08-30,2.92827
2020-08-31,47.49742
2020-09-01,42.68575
2020-09-02,44.86584
2020-09-03,42.42776
2020-09-04,40.23477
2020-09-05,3.39267
2020-09-06,2.19298
2020-09-07,42.65995
2020-09-08,43.66615
2020-09-09,43.48555
2020-09-10,39.87358
2020-09-11,39.15118
2020-09-12,3.58617
2020-09-13,2.34778
2020-09-14,36.8292
2020-09-15,40.58307
2020-09-16,37.74509
2020-09-17,35.86171
2020-09-18,36.04231
2020-09-19,4.14086
2020-09-20,2.39938
2020-09-21,35.84881
2020-09-22,36.17131
2020-09-23,37.2033
2020-09-24,35.21671
2020-09-25,30.88235
2020-09-26,3.41847
2020-09-27,1.99948
2020-09-28,29.66976
2020-09-29,29.60526
2020-09-30,15.77657
2020-10-01,10.01031
2020-10-02,10.74561
2020-10-03,3.93446
2020-10-04,2.24458
2020-10-05,18.89834
2020-10-06,16.74406
2020-10-07,14.61558
2020-10-08,14.82198
2020-10-09,18.78224
2020-10-10,4.15376
2020-10-11,2.41228
2020-10-12,38.53199
2020-10-13,39.04798
2020-10-14,34.67492
