date,ISA계좌개설이벤트
2020-12-29,3.09278
2021-01-04,4.12371
2021-02-04,4.12371
2021-02-10,2.57731
2021-02-25,3.09278
2021-02-27,5.15463
2021-03-02,3.60824
2021-03-03,7.21649
2021-03-04,12.37113
2021-03-05,5.15463
2021-03-08,5.15463
2021-03-09,2.57731
2021-03-11,6.70103
2021-03-12,7.21649
2021-03-13,2.57731
2021-03-15,2.57731
2021-03-16,2.57731
2021-03-17,5.15463
2021-03-18,2.57731
2021-03-21,3.60824
2021-03-22,9.27835
2021-03-23,6.70103
2021-03-24,5.15463
2021-03-25,5.6701
2021-03-26,5.6701
2021-03-27,4.12371
2021-03-28,4.12371
2021-03-29,8.24742
2021-03-30,3.60824
2021-04-01,3.09278
2021-04-02,3.09278
2021-04-03,3.09278
2021-04-07,3.09278
2021-04-09,3.09278
2021-04-10,6.18556
2021-04-11,3.60824
2021-04-12,4.12371
2021-04-13,6.70103
2021-04-14,2.57731
2021-04-15,2.57731
2021-04-16,3.09278
2021-04-18,5.6701
2021-04-20,2.57731
2021-04-21,3.09278
2021-04-22,7.73195
2021-04-23,4.12371
2021-04-25,4.12371
2021-04-26,5.6701
2021-05-03,3.09278
2021-05-06,2.57731
2021-05-07,12.88659
2021-05-10,2.57731
2021-05-11,4.12371
2021-05-12,2.57731
2021-05-13,3.09278
2021-05-15,3.09278
2021-05-17,2.57731
2021-05-20,2.57731
2021-05-31,6.18556
2021-06-02,8.76288
2021-06-04,3.60824
2021-06-05,4.12371
2021-06-06,3.09278
2021-06-08,2.57731
2021-06-09,3.09278
2021-06-12,2.57731
2021-06-14,3.09278
2021-06-15,3.60824
2021-06-18,5.15463
2021-06-28,4.63917
2021-07-01,2.57731
2021-07-02,3.09278
2021-07-04,2.57731
2021-07-06,2.57731
2021-07-22,2.57731
2021-07-26,9.79381
2021-07-27,24.74226
2021-07-28,17.0103
2021-07-29,11.3402
2021-07-31,3.09278
2021-08-01,7.73195
2021-08-02,7.73195
2021-08-03,6.18556
2021-08-04,7.73195
2021-08-05,9.27835
2021-08-06,11.3402
2021-08-07,5.6701
2021-08-08,8.76288
2021-08-09,13.91752
2021-08-10,3.09278
2021-08-11,11.85567
2021-08-12,2.57731
2021-08-13,6.18556
2021-08-14,6.18556
2021-08-16,3.60824
2021-08-17,6.18556
2021-08-18,7.21649
2021-08-19,7.73195
2021-08-20,4.12371
2021-08-21,6.70103
2021-08-23,8.76288
2021-08-24,7.21649
2021-08-25,4.63917
2021-08-26,5.6701
2021-08-27,8.24742
2021-08-30,6.18556
2021-08-31,7.21649
2021-09-01,2.57731
2021-09-02,6.70103
2021-09-03,7.73195
2021-09-04,2.57731
2021-09-05,3.09278
2021-09-06,9.27835
2021-09-07,3.09278
2021-09-08,2.57731
2021-09-09,7.21649
2021-09-10,2.57731
2021-09-14,7.73195
2021-09-15,3.09278
2021-09-17,4.12371
2021-09-18,3.60824
2021-09-22,4.12371
2021-09-23,11.85567
2021-09-25,4.12371
2021-09-26,2.57731
2021-09-27,11.85567
2021-09-28,4.63917
2021-09-29,7.21649
2021-09-30,7.21649
2021-10-01,4.12371
2021-10-02,2.57731
2021-10-04,4.12371
2021-10-05,9.27835
2021-10-08,3.60824
2021-10-11,3.60824
2021-10-12,6.18556
2021-10-13,3.60824
2021-10-14,2.57731
2021-10-15,5.15463
2021-10-19,3.09278
2021-10-22,3.60824
2021-10-23,2.57731
2021-10-24,2.57731
2021-10-25,3.60824
2021-10-26,7.21649
2021-10-27,3.60824
2021-10-28,4.63917
2021-10-29,2.57731
2021-10-31,4.12371
2021-11-01,3.09278
2021-11-02,2.57731
2021-11-03,3.60824
2021-11-04,4.12371
2021-11-05,4.12371
2021-11-07,3.09278
2021-11-08,4.63917
2021-11-09,5.15463
2021-11-10,3.09278
2021-11-11,2.57731
2021-11-12,2.57731
2021-11-15,2.57731
2021-11-17,2.57731
2021-11-18,5.6701
2021-11-19,9.27835
2021-11-20,3.60824
2021-11-22,6.70103
2021-11-24,7.73195
2021-11-25,3.60824
2021-11-28,2.57731
2021-11-29,6.70103
2021-11-30,7.21649
2021-12-01,4.12371
2021-12-02,4.12371
2021-12-03,8.76288
2021-12-05,3.60824
2021-12-06,7.73195
2021-12-07,2.57731
2021-12-09,7.21649
2021-12-10,5.15463
2021-12-13,5.15463
2021-12-15,2.57731
2021-12-16,2.57731
2021-12-20,9.27835
2021-12-22,7.21649
2021-12-23,12.88659
2021-12-24,17.52577
2021-12-25,8.76288
2021-12-26,6.18556
2021-12-27,21.13402
2021-12-28,23.71134
2021-12-29,14.43298
2021-12-30,13.91752
2021-12-31,30.92783
2022-01-01,3.60824
2022-01-03,6.70103
2022-01-04,5.6701
2022-01-06,3.09278
2022-01-07,2.57731
2022-01-10,5.15463
2022-01-12,3.60824
2022-01-13,7.73195
