date,애플주식
2020-03-20,29.14963
2020-03-21,19.54939
2020-03-22,19.67899
2020-03-23,32.8681
2020-03-24,29.13966
2020-03-25,24.81307
2020-03-26,23.09839
2020-03-27,19.1606
2020-03-28,14.16608
2020-03-29,11.03578
2020-03-30,14.98355
2020-03-31,15.44212
2020-04-01,14.94367
2020-04-02,13.43834
2020-04-03,11.81337
2020-04-04,8.16468
2020-04-05,7.21762
2020-04-06,16.20974
2020-04-07,22.41052
2020-04-08,18.93131
2020-04-09,16.48888
2020-04-10,11.71368
2020-04-11,8.56345
2020-04-12,7.8058
2020-04-13,11.16538
2020-04-14,12.52118
2020-04-15,11.42458
2020-04-16,13.39846
2020-04-17,15.62157
2020-04-18,10.48748
2020-04-19,8.07496
2020-04-20,10.63702
2020-04-21,12.04266
2020-04-22,16.92752
2020-04-23,12.90997
2020-04-24,9.07187
2020-04-25,8.79274
2020-04-26,6.53972
2020-04-27,8.20456
2020-04-28,8.52357
2020-04-29,8.80271
2020-04-30,7.07805
2020-05-01,7.52666
2020-05-02,6.7391
2020-05-03,5.26368
2020-05-04,6.72913
2020-05-05,6.85873
2020-05-06,8.99212
2020-05-07,8.58339
2020-05-08,6.33037
2020-05-09,6.49985
2020-05-10,5.03439
2020-05-11,7.06808
2020-05-12,8.89243
2020-05-13,7.38709
2020-05-14,7.65626
2020-05-15,6.00139
2020-05-16,4.79513
2020-05-17,4.88485
2020-05-18,6.84876
2020-05-19,8.99212
2020-05-20,7.81577
2020-05-21,7.65626
2020-05-22,6.89861
2020-05-23,4.59575
2020-05-24,4.90479
2020-05-25,7.27743
2020-05-26,7.85564
2020-05-27,7.56654
2020-05-28,6.76901
2020-05-29,6.30046
2020-05-30,4.87488
2020-05-31,4.4163
2020-06-01,6.69923
2020-06-02,7.04815
2020-06-03,8.67311
2020-06-04,7.34722
2020-06-05,7.38709
2020-06-06,6.7391
2020-06-07,5.70232
2020-06-08,7.8357
2020-06-09,10.16847
2020-06-10,12.03269
