date,거래량상위종목
2020-03-20,10.76448
2020-03-21,2.71886
2020-03-22,2.1085
2020-03-23,10.29593
2020-03-24,9.63008
2020-03-25,11.75092
2020-03-26,11.37484
2020-03-27,10.96794
2020-03-28,2.29963
2020-03-29,2.24414
2020-03-30,10.06781
2020-03-31,10.39457
2020-04-01,11.06658
2020-04-02,10.69667
2020-04-03,10.09864
2020-04-04,2.29963
2020-04-05,1.75092
2020-04-06,9.99383
2020-04-07,11.64611
2020-04-08,10.81381
2020-04-09,11.08508
2020-04-10,10.91245
2020-04-11,2.6757
2020-04-12,2.30579
2020-04-13,10.5302
2020-04-14,9.82737
2020-04-15,2.79901
2020-04-16,10.93711
2020-04-17,11.73859
2020-04-18,2.66337
2020-04-19,2.12083
2020-04-20,10.4254
2020-04-21,11.23304
2020-04-22,11.03575
2020-04-23,11.31935
2020-04-24,9.95684
2020-04-25,2.04685
2020-04-26,1.72009
2020-04-27,9.2725
2020-04-28,9.70406
2020-04-29,9.1307
2020-04-30,1.81257
2020-05-01,1.57829
2020-05-02,1.20838
2020-05-03,1.14056
2020-05-04,8.31689
2020-05-05,1.8434
2020-05-06,9.63625
2020-05-07,9.06288
2020-05-08,8.61898
2020-05-09,1.7016
2020-05-10,1.418
2020-05-11,8.12577
2020-05-12,8.84093
2020-05-13,8.43403
2020-05-14,8.12577
2020-05-15,8.20591
2020-05-16,1.79408
2020-05-17,1.28236
2020-05-18,8.94574
2020-05-19,9.51911
2020-05-20,10.1048
2020-05-21,10.44389
2020-05-22,8.13193
2020-05-23,1.47348
2020-05-24,1.28853
2020-05-25,8.52034
2020-05-26,9.10604
2020-05-27,9.34032
2020-05-28,9.37114
2020-05-29,8.05178
2020-05-30,1.48581
2020-05-31,1.1344
2020-06-01,8.45252
2020-06-02,9.04438
2020-06-03,9.88902
2020-06-04,9.75339
2020-06-05,8.34155
2020-06-06,1.65228
2020-06-07,1.33168
2020-06-08,8.91491
2020-06-09,9.48828
2020-06-10,8.95807
2020-06-11,8.2429
2020-06-12,8.08261
2020-06-13,1.38101
2020-06-14,1.33168
2020-06-15,8.69297
2020-06-16,7.62638
2020-06-17,8.49568
2020-06-18,7.81134
2020-06-19,8.14426
2020-06-20,1.68927
2020-06-21,1.00493
2020-06-22,8.07644
2020-06-23,7.68803
2020-06-24,8.08261
2020-06-25,8.35388
2020-06-26,7.18865
2020-06-27,1.29469
2020-06-28,1.49198
2020-06-29,7.49075
2020-06-30,7.76202
2020-07-01,7.34278
2020-07-02,7.86066
2020-07-03,7.82983
2020-07-04,1.52897
2020-07-05,1.1344
2020-07-06,8.1196
2020-07-07,8.04562
2020-07-08,7.86683
2020-07-09,8.1011
2020-07-10,7.20715
2020-07-11,1.5413
2020-07-12,1.10974
2020-07-13,8.42786
2020-07-14,8.37237
2020-07-15,9.00123
2020-07-16,9.09371
2020-07-17,7.36744
2020-07-18,1.37484
2020-07-19,1.1159
2020-07-20,7.76818
2020-07-21,8.19975
2020-07-22,8.6868
2020-07-23,8.99506
2020-07-24,9.07521
2020-07-25,1.8434
2020-07-26,1.57829
2020-07-27,8.92725
2020-07-28,9.40813
2020-07-29,9.6979
2020-07-30,9.50061
2020-07-31,8.15659
2020-08-01,1.63995
2020-08-02,1.35018
2020-08-03,8.66831
2020-08-04,8.47718
2020-08-05,9.19235
2020-08-06,9.43896
2020-08-07,10.19728
2020-08-08,2.36744
2020-08-09,2.26263
2020-08-10,14.13686
2020-08-11,16.65228
2020-08-12,15.84463
2020-08-13,14.49445
2020-08-14,14.35265
2020-08-15,4.46362
2020-08-16,3.51418
2020-08-17,4.74106
2020-08-18,14.85819
2020-08-19,12.74352
2020-08-20,14.34648
2020-08-21,12.3921
2020-08-22,4.01356
2020-08-23,3.63748
2020-08-24,12.27496
2020-08-25,14.11837
2020-08-26,14.21701
2020-08-27,14.67324
2020-08-28,12.87299
2020-08-29,4.36498
2020-08-30,4.77188
2020-08-31,15.36991
2020-09-01,16.00493
2020-09-02,31.83723
2020-09-03,42.82367
2020-09-04,49.69173
2020-09-05,18.87176
2020-09-06,16.96054
2020-09-07,47.47842
2020-09-08,48.64981
2020-09-09,51.65228
2020-09-10,50.20961
2020-09-11,44.85819
2020-09-12,16.28236
2020-09-13,15.30209
2020-09-14,45.09864
2020-09-15,46.12823
2020-09-16,47.33045
2020-09-17,44.8212
2020-09-18,37.90382
2020-09-19,13.61898
2020-09-20,12.21331
2020-09-21,44.27866
2020-09-22,50.96794
2020-09-23,44.95067
2020-09-24,51.88039
2020-09-25,37.17016
2020-09-26,12.56473
2020-09-27,10.1418
2020-09-28,34.59309
2020-09-29,30.77065
2020-09-30,10.69667
2020-10-01,9.17385
2020-10-02,10.34525
2020-10-03,10.06165
2020-10-04,10.91861
2020-10-05,36.86806
2020-10-06,36.61528
2020-10-07,36.43649
2020-10-08,33.75462
2020-10-09,12.60789
2020-10-10,9.92601
2020-10-11,10.06165
2020-10-12,37.13316
2020-10-13,37.35511
2020-10-14,37.6942
2020-10-15,42.70036
2020-10-16,37.56473
2020-10-17,11.65228
2020-10-18,10.03699
2020-10-19,35.62885
2020-10-20,36.06041
2020-10-21,33.12577
2020-10-22,31.7016
2020-10-23,27.94081
2020-10-24,9.51911
2020-10-25,10.49938
2020-10-26,35.13563
2020-10-27,32.62022
2020-10-28,30.60419
2020-10-29,32.79284
2020-10-30,30.22811
2020-10-31,11.12823
2020-11-01,10.36991
2020-11-02,26.46115
2020-11-03,28.26757
2020-11-04,29.64858
2020-11-05,33.53884
2020-11-06,29.6979
2020-11-07,9.68557
2020-11-08,9.66091
2020-11-09,37.27496
2020-11-10,42.40443
2020-11-11,39.36498
2020-11-12,38.07644
2020-11-13,33.97657
2020-11-14,11.93588
2020-11-15,11.47965
2020-11-16,40.41923
2020-11-17,43.04562
2020-11-18,40.33292
2020-11-19,38.05178
2020-11-20,35.55487
2020-11-21,14.37731
2020-11-22,13.20591
2020-11-23,45.22811
2020-11-24,45.69667
2020-11-25,54.62392
2020-11-26,45.57336
2020-11-27,43.77311
2020-11-28,18.31689
2020-11-29,17.89765
2020-11-30,43.72996
2020-12-01,45.71516
2020-12-02,46.40567
2020-12-03,50.28976
2020-12-04,48.15043
2020-12-05,18.71763
2020-12-06,18.96424
2020-12-07,48.48335
2020-12-08,52.34278
2020-12-09,51.08508
2020-12-10,49.09987
2020-12-11,44.46362
2020-12-12,17.15782
2020-12-13,15.76448
2020-12-14,52.06535
2020-12-15,44.37731
2020-12-16,45.68434
2020-12-17,42.96547
2020-12-18,42.19482
2020-12-19,20.37607
2020-12-20,18.5635
2020-12-21,50.62268
2020-12-22,58.28606
2020-12-23,54.95067
2020-12-24,49.3958
2020-12-25,17.99013
2020-12-26,15.6905
2020-12-27,19.12453
2020-12-28,51.97287
2020-12-29,49.24784
2020-12-30,54.00739
2020-12-31,26.18372
2021-01-01,17.60789
2021-01-02,19.08754
2021-01-03,21.51048
2021-01-04,72.76818
2021-01-05,77.52157
2021-01-06,81.80024
2021-01-07,85.16646
2021-01-08,92.42909
2021-01-09,42.73119
2021-01-10,37.127
2021-01-11,100.0
2021-01-12,93.46485
2021-01-13,83.51418
2021-01-14,81.71393
2021-01-15,76.85573
2021-01-16,30.04315
2021-01-17,27.38594
2021-01-18,78.93341
