date,아시아증시
2020-03-20,30.87857
2020-03-21,7.52818
2020-03-22,3.26108
2020-03-23,33.01636
2020-03-24,31.53276
2020-03-25,29.06293
2020-03-26,30.71043
2020-03-27,27.72487
2020-03-28,5.70265
2020-03-29,2.65775
2020-03-30,26.59168
2020-03-31,21.8583
2020-04-01,23.82654
2020-04-02,24.16141
2020-04-03,18.05182
2020-04-04,3.50128
2020-04-05,1.64749
2020-04-06,16.90875
2020-04-07,20.28428
2020-04-08,18.02498
2020-04-09,15.97479
2020-04-10,14.39794
2020-04-11,2.91349
2020-04-12,1.43979
2020-04-13,15.17647
2020-04-14,12.46079
2020-04-15,16.33368
2020-04-16,14.87693
2020-04-17,13.93166
2020-04-18,2.97566
2020-04-19,1.36773
2020-04-20,12.9864
2020-04-21,15.80241
2020-04-22,15.99174
2020-04-23,11.90832
2020-04-24,10.81188
2020-04-25,2.00921
2020-04-26,0.97352
2020-04-27,10.00649
2020-04-28,11.34173
2020-04-29,9.65608
2020-04-30,10.75394
2020-05-01,11.94223
2020-05-02,2.51363
2020-05-03,1.39175
2020-05-04,10.3781
2020-05-05,11.62997
2020-05-06,11.81789
2020-05-07,10.66775
2020-05-08,8.81821
2020-05-09,2.00921
2020-05-10,0.88733
2020-05-11,9.96411
2020-05-12,10.06866
2020-05-13,10.39082
2020-05-14,10.27495
2020-05-15,9.13753
2020-05-16,1.66162
2020-05-17,0.80538
2020-05-18,8.85777
2020-05-19,10.52787
2020-05-20,9.69423
2020-05-21,9.70836
2020-05-22,10.64939
2020-05-23,2.01203
2020-05-24,1.02721
2020-05-25,10.40495
2020-05-26,10.74971
2020-05-27,10.77514
2020-05-28,13.21389
2020-05-29,10.60417
2020-05-30,2.17028
2020-05-31,0.86331
2020-06-01,10.39506
2020-06-02,11.08457
2020-06-03,11.76562
2020-06-04,12.30677
2020-06-05,10.62395
2020-06-06,2.29038
2020-06-07,1.03286
2020-06-08,10.62113
2020-06-09,11.98038
2020-06-10,10.46005
2020-06-11,11.22728
2020-06-12,15.95218
2020-06-13,2.35821
2020-06-14,0.98482
2020-06-15,16.80701
2020-06-16,13.97971
2020-06-17,12.80837
2020-06-18,10.6395
2020-06-19,10.06301
2020-06-20,1.67858
2020-06-21,0.76723
2020-06-22,9.276
2020-06-23,9.99095
2020-06-24,10.3018
2020-06-25,11.05914
2020-06-26,8.35335
2020-06-27,2.0742
2020-06-28,0.96645
2020-06-29,10.7822
2020-06-30,10.18594
2020-07-01,10.53352
2020-07-02,10.11529
2020-07-03,9.67869
2020-07-04,2.01627
2020-07-05,1.07242
