date,CMA통장
2020-03-20,29.31651
2020-03-21,18.60289
2020-03-22,18.61231
2020-03-23,33.49651
2020-03-24,28.04556
2020-03-25,32.0561
2020-03-26,33.7507
2020-03-27,29.51421
2020-03-28,19.39371
2020-03-29,19.68555
2020-03-30,29.11881
2020-03-31,29.8343
2020-04-01,27.07588
2020-04-02,23.59254
2020-04-03,20.48578
2020-04-04,15.19487
2020-04-05,16.09866
2020-04-06,22.31218
2020-04-07,21.76614
2020-04-08,21.49312
2020-04-09,20.34456
2020-04-10,19.13952
2020-04-11,16.82357
2020-04-12,17.63321
2020-04-13,19.59141
2020-04-14,19.82677
2020-04-15,20.35398
2020-04-16,20.91884
2020-04-17,19.90209
2020-04-18,13.62266
2020-04-19,14.83713
2020-04-20,21.31425
2020-04-21,21.40839
2020-04-22,21.21069
2020-04-23,20.32573
2020-04-24,19.76087
2020-04-25,12.95424
2020-04-26,13.71681
2020-04-27,18.87591
2020-04-28,17.58614
2020-04-29,17.24722
2020-04-30,12.50235
2020-05-01,11.65505
2020-05-02,10.24289
2020-05-03,12.18226
2020-05-04,18.04744
2020-05-05,16.44699
2020-05-06,17.72735
2020-05-07,16.27753
2020-05-08,14.66767
2020-05-09,12.47411
2020-05-10,11.95631
2020-05-11,16.09866
2020-05-12,16.92713
2020-05-13,16.51289
2020-05-14,16.04217
2020-05-15,17.07776
2020-05-16,12.28582
2020-05-17,10.52532
2020-05-18,16.74825
2020-05-19,15.75032
2020-05-20,16.30578
2020-05-21,18.61231
2020-05-22,14.54528
2020-05-23,10.67595
2020-05-24,12.97307
2020-05-25,20.97533
2020-05-26,18.09452
2020-05-27,17.08717
2020-05-28,15.85388
2020-05-29,15.85388
2020-05-30,10.75127
2020-05-31,11.90924
2020-06-01,17.61438
2020-06-02,16.91771
2020-06-03,17.83091
2020-06-04,14.7524
2020-06-05,14.61118
2020-06-06,10.3841
2020-06-07,11.83392
2020-06-08,24.78817
2020-06-09,25.11768
2020-06-10,24.35511
2020-06-11,19.39371
2020-06-12,18.36753
2020-06-13,10.99604
2020-06-14,13.3214
2020-06-15,17.34136
2020-06-16,17.68028
2020-06-17,16.42816
2020-06-18,14.46055
2020-06-19,15.84447
2020-06-20,9.48973
2020-06-21,14.74298
2020-06-22,18.32988
2020-06-23,16.3246
2020-06-24,15.58086
2020-06-25,17.79325
2020-06-26,14.0369
2020-06-27,8.9437
2020-06-28,11.45735
2020-06-29,15.00659
2020-06-30,17.20956
2020-07-01,16.42816
2020-07-02,15.04424
2020-07-03,13.75447
2020-07-04,9.67802
2020-07-05,12.06929
2020-07-06,17.98154
2020-07-07,17.39785
2020-07-08,16.82357
2020-07-09,15.44906
2020-07-10,15.61852
2020-07-11,11.2973
2020-07-12,14.1028
2020-07-13,17.39785
2020-07-14,17.22839
2020-07-15,16.82357
2020-07-16,14.89361
2020-07-17,15.46789
2020-07-18,9.22613
2020-07-19,11.60798
2020-07-20,17.32253
2020-07-21,17.01186
2020-07-22,17.90623
2020-07-23,19.2619
2020-07-24,17.48258
