date,인텔주가
2020-03-20,3.05584
2020-03-21,2.19027
2020-03-22,0.91825
2020-03-23,2.02468
2020-03-24,3.62035
2020-03-25,2.92789
2020-03-26,2.83757
2020-03-27,2.72467
2020-03-28,1.53545
2020-03-29,0.86557
2020-03-30,1.3548
2020-03-31,2.09242
2020-04-01,1.62577
2020-04-02,1.36233
2020-04-03,1.44513
2020-04-04,1.02363
2020-04-05,0.55697
2020-04-06,1.33975
2020-04-07,1.91178
2020-04-08,1.58061
2020-04-09,1.61824
2020-04-10,1.61071
2020-04-11,0.73009
2020-04-12,0.73761
2020-04-13,1.17416
2020-04-14,1.99458
2020-04-15,1.83651
2020-04-16,1.61824
2020-04-17,3.68809
2020-04-18,2.49887
2020-04-19,1.0989
2020-04-20,1.19674
2020-04-21,1.60319
2020-04-22,1.58061
2020-04-23,2.33328
2020-04-24,3.53755
2020-04-25,1.94189
2020-04-26,0.68493
2020-04-27,1.37738
2020-04-28,1.87415
2020-04-29,1.79135
2020-04-30,1.75372
2020-05-01,1.6634
2020-05-02,1.03868
2020-05-03,0.4516
2020-05-04,1.06879
2020-05-05,2.06232
2020-05-06,1.71609
2020-05-07,1.59566
2020-05-08,1.46771
2020-05-09,1.23438
2020-05-10,0.60213
2020-05-11,1.26448
2020-05-12,1.82146
2020-05-13,1.45265
2020-05-14,1.46018
2020-05-15,1.64082
2020-05-16,1.28706
2020-05-17,0.69998
2020-05-18,1.27201
2020-05-19,2.49887
2020-05-20,1.67845
2020-05-21,2.27306
2020-05-22,1.24943
2020-05-23,0.9032
2020-05-24,0.54192
2020-05-25,0.68493
2020-05-26,1.22685
2020-05-27,1.54297
2020-05-28,1.55803
2020-05-29,1.15911
2020-05-30,1.04621
2020-05-31,0.51181
2020-06-01,0.986
2020-06-02,1.67093
2020-06-03,1.70856
2020-06-04,1.70856
2020-06-05,1.61071
2020-06-06,1.50534
2020-06-07,0.73761
2020-06-08,0.97847
2020-06-09,1.72361
2020-06-10,1.8892
2020-06-11,2.16769
2020-06-12,1.99458
2020-06-13,1.36986
2020-06-14,1.02363
2020-06-15,1.12148
2020-06-16,2.78488
2020-06-17,2.31822
2020-06-18,2.00963
2020-06-19,2.02468
2020-06-20,1.3247
2020-06-21,1.12148
2020-06-22,1.23438
2020-06-23,3.50745
2020-06-24,2.72467
2020-06-25,1.65587
2020-06-26,1.71609
2020-06-27,1.11395
2020-06-28,0.63977
2020-06-29,1.0161
2020-06-30,1.64835
2020-07-01,1.64082
2020-07-02,1.5505
2020-07-03,1.14406
2020-07-04,0.54192
2020-07-05,0.51181
2020-07-06,1.27954
2020-07-07,1.30964
2020-07-08,1.38491
2020-07-09,1.51287
2020-07-10,1.70856
2020-07-11,0.94836
2020-07-12,0.57203
2020-07-13,0.84299
2020-07-14,1.3548
2020-07-15,1.33222
2020-07-16,0.99352
2020-07-17,0.83546
2020-07-18,0.68493
2020-07-19,0.4516
2020-07-20,0.71503
2020-07-21,1.59566
2020-07-22,1.06879
2020-07-23,1.36986
2020-07-24,8.81378
2020-07-25,16.76953
2020-07-26,7.69983
2020-07-27,16.49856
2020-07-28,23.30272
2020-07-29,20.1415
2020-07-30,18.98238
2020-07-31,13.32229
2020-08-01,8.28691
2020-08-02,5.66009
2020-08-03,10.92127
2020-08-04,13.32229
2020-08-05,12.7051
2020-08-06,9.76968
2020-08-07,10.52235
2020-08-08,8.85142
2020-08-09,4.91494
2020-08-10,7.93316
2020-08-11,10.36429
2020-08-12,10.26644
2020-08-13,8.78368
2020-08-14,9.19765
2020-08-15,4.63645
2020-08-16,3.15369
2020-08-17,5.02784
2020-08-18,7.69983
2020-08-19,7.49661
2020-08-20,9.98043
2020-08-21,8.92668
2020-08-22,6.7891
2020-08-23,3.78594
2020-08-24,7.0149
2020-08-25,8.31702
2020-08-26,9.01701
2020-08-27,9.01701
2020-08-28,8.51272
2020-08-29,6.87189
2020-08-30,4.47087
2020-08-31,9.10733
2020-09-01,12.23091
2020-09-02,15.2416
2020-09-03,16.80716
2020-09-04,13.68357
2020-09-05,7.28586
2020-09-06,3.90636
2020-09-07,5.70525
2020-09-08,7.21812
2020-09-09,10.17612
2020-09-10,9.31807
2020-09-11,8.39229
2020-09-12,6.20954
2020-09-13,4.26012
2020-09-14,7.10522
2020-09-15,9.7772
2020-09-16,8.82884
2020-09-17,8.20412
2020-09-18,6.73641
2020-09-19,5.28375
2020-09-20,2.86768
2020-09-21,5.0429
2020-09-22,7.26328
2020-09-23,6.93963
2020-09-24,7.05253
2020-09-25,5.47945
2020-09-26,4.27517
2020-09-27,2.73972
2020-09-28,5.14827
2020-09-29,6.54071
2020-09-30,5.52461
2020-10-01,5.69772
2020-10-02,6.34502
2020-10-03,5.13322
2020-10-04,2.44618
2020-10-05,4.087
2020-10-06,6.30739
2020-10-07,5.75794
2020-10-08,5.68267
2020-10-09,6.79662
2020-10-10,4.89236
2020-10-11,2.54403
2020-10-12,4.44076
2020-10-13,6.66114
2020-10-14,6.42029
2020-10-15,4.99774
2020-10-16,5.05042
2020-10-17,3.28917
2020-10-18,1.70856
2020-10-19,3.14616
2020-10-20,22.47478
2020-10-21,13.77389
2020-10-22,6.20201
2020-10-23,19.80279
2020-10-24,17.13081
2020-10-25,5.6902
2020-10-26,10.36429
2020-10-27,12.75779
2020-10-28,11.4933
2020-10-29,9.75462
2020-10-30,9.51377
2020-10-31,4.74183
2020-11-01,2.80746
2020-11-02,4.33539
2020-11-03,6.26223
2020-11-04,7.91058
2020-11-05,7.60951
2020-11-06,8.67078
2020-11-07,5.29881
2020-11-08,2.71714
2020-11-09,5.01279
2020-11-10,7.42134
2020-11-11,8.23423
2020-11-12,7.61704
2020-11-13,7.03748
2020-11-14,3.98163
2020-11-15,2.70209
2020-11-16,5.44934
2020-11-17,7.23317
2020-11-18,6.94716
2020-11-19,7.5794
2020-11-20,6.98479
2020-11-21,4.86226
2020-11-22,2.75477
2020-11-23,5.13322
2020-11-24,7.6622
2020-11-25,8.49766
2020-11-26,7.045
2020-11-27,5.34397
2020-11-28,4.97516
2020-11-29,3.19885
2020-11-30,4.86978
