date,서울아파트분양
2020-03-20,37.74809
2020-03-21,44.80916
2020-03-22,43.89312
2020-03-23,46.03053
2020-03-24,43.47328
2020-03-25,51.87022
2020-03-26,49.1603
2020-03-27,40.19083
2020-03-28,39.12213
2020-03-29,41.75572
2020-03-30,49.42748
2020-03-31,45.53435
2020-04-01,44.54198
2020-04-02,46.22137
2020-04-03,40.229
2020-04-04,41.1832
2020-04-05,42.63358
2020-04-06,46.25954
2020-04-07,48.96946
2020-04-08,47.21374
2020-04-09,47.55725
2020-04-10,43.89312
2020-04-11,41.22137
2020-04-12,48.51145
2020-04-13,52.67175
2020-04-14,52.78625
2020-04-15,41.94656
2020-04-16,54.23664
2020-04-17,50.57251
2020-04-18,45.76335
2020-04-19,53.93129
2020-04-20,59.50381
2020-04-21,56.56488
2020-04-22,55.15267
2020-04-23,51.52671
2020-04-24,44.92366
2020-04-25,40.80152
2020-04-26,54.00763
2020-04-27,58.96946
2020-04-28,57.86259
2020-04-29,55.15267
2020-04-30,48.12977
2020-05-01,44.42748
2020-05-02,42.2519
2020-05-03,56.41221
2020-05-04,55.1145
2020-05-05,60.53435
2020-05-06,69.77099
2020-05-07,62.48091
2020-05-08,49.73282
2020-05-09,48.28244
2020-05-10,47.82442
2020-05-11,65.15267
2020-05-12,63.54961
2020-05-13,56.56488
2020-05-14,55.91603
2020-05-15,53.01526
2020-05-16,47.06106
2020-05-17,51.14503
2020-05-18,77.1374
2020-05-19,65.87786
2020-05-20,86.67938
2020-05-21,66.25954
2020-05-22,62.21374
2020-05-23,50.38167
2020-05-24,55.95419
2020-05-25,67.32824
2020-05-26,64.12213
2020-05-27,53.74045
2020-05-28,63.58778
2020-05-29,50.87786
2020-05-30,41.48854
2020-05-31,45.15267
2020-06-01,61.83206
2020-06-02,62.2519
2020-06-03,63.70229
2020-06-04,60.1145
2020-06-05,55.38167
2020-06-06,52.21374
2020-06-07,54.35114
2020-06-08,75.41984
2020-06-09,64.92366
2020-06-10,65.19083
2020-06-11,60.76335
2020-06-12,58.77862
2020-06-13,49.35114
2020-06-14,56.79389
2020-06-15,78.2061
2020-06-16,74.23664
2020-06-17,61.56488
2020-06-18,55.91603
2020-06-19,49.58015
2020-06-20,42.44274
2020-06-21,47.93893
2020-06-22,60.45801
2020-06-23,64.88549
2020-06-24,58.89312
2020-06-25,54.42748
2020-06-26,46.87022
2020-06-27,38.32061
2020-06-28,48.58778
2020-06-29,56.79389
2020-06-30,57.63358
2020-07-01,59.96183
2020-07-02,58.0916
2020-07-03,53.39694
2020-07-04,42.40458
2020-07-05,48.24427
2020-07-06,62.70992
2020-07-07,61.37404
2020-07-08,64.65648
2020-07-09,69.50381
2020-07-10,60.95419
2020-07-11,47.90076
2020-07-12,51.98473
2020-07-13,64.0458
2020-07-14,65.76335
2020-07-15,66.25954
2020-07-16,58.12977
2020-07-17,57.40458
2020-07-18,50.99236
2020-07-19,61.03053
2020-07-20,80.57251
2020-07-21,83.74045
2020-07-22,67.86259
2020-07-23,57.63358
2020-07-24,56.03053
2020-07-25,46.75572
2020-07-26,50.80152
2020-07-27,67.48091
2020-07-28,74.61832
2020-07-29,81.22137
2020-07-30,71.64122
2020-07-31,67.55725
2020-08-01,51.48854
2020-08-02,60.72519
2020-08-03,100.0
2020-08-04,94.88549
2020-08-05,78.24427
2020-08-06,59.80916
2020-08-07,59.73282
2020-08-08,62.63358
2020-08-09,71.79389
2020-08-10,94.00763
2020-08-11,96.22137
2020-08-12,82.70992
2020-08-13,80.68702
2020-08-14,82.82442
2020-08-15,50.68702
2020-08-16,47.93893
2020-08-17,62.1374
2020-08-18,61.37404
2020-08-19,65.91603
2020-08-20,59.80916
2020-08-21,60.41984
2020-08-22,45.91603
2020-08-23,43.01526
2020-08-24,59.19847
2020-08-25,54.92366
2020-08-26,71.90839
2020-08-27,56.25954
2020-08-28,49.0458
2020-08-29,48.32061
2020-08-30,50.72519
2020-08-31,62.63358
2020-09-01,65.07633
2020-09-02,51.52671
2020-09-03,47.17557
2020-09-04,43.47328
2020-09-05,39.2748
2020-09-06,44.69465
2020-09-07,55.229
2020-09-08,53.16793
2020-09-09,46.60305
2020-09-10,38.01526
2020-09-11,37.06106
2020-09-12,32.63358
2020-09-13,33.35877
2020-09-14,39.08396
2020-09-15,38.32061
2020-09-16,37.21374
2020-09-17,35.229
2020-09-18,32.90076
2020-09-19,31.37404
2020-09-20,29.88549
2020-09-21,39.12213
2020-09-22,34.80916
2020-09-23,39.69465
2020-09-24,34.08396
2020-09-25,30.64885
2020-09-26,27.51908
2020-09-27,30.45801
2020-09-28,42.0229
2020-09-29,35.15267
2020-09-30,26.87022
2020-10-01,28.93129
2020-10-02,31.03053
2020-10-03,38.05343
2020-10-04,41.90839
2020-10-05,50.03816
2020-10-06,44.19847
2020-10-07,40.41984
2020-10-08,43.39694
2020-10-09,38.51145
2020-10-10,37.2519
2020-10-11,39.77099
2020-10-12,51.90839
2020-10-13,46.83206
2020-10-14,56.48854
2020-10-15,45.38167
2020-10-16,38.96946
2020-10-17,35.07633
2020-10-18,38.70229
2020-10-19,52.40458
2020-10-20,46.94656
2020-10-21,50.1145
2020-10-22,45.26717
2020-10-23,36.14503
2020-10-24,28.85496
2020-10-25,31.90839
