date,MMF금리
2020-11-07,2.99539
2020-11-08,4.8387
2020-11-09,12.90322
2020-11-10,11.29032
2020-11-11,9.67741
2020-11-12,10.36866
2020-11-13,8.98617
2020-11-14,4.14746
2020-11-15,5.06912
2020-11-16,8.75576
2020-11-17,8.98617
2020-11-18,7.8341
2020-11-19,8.75576
2020-11-20,10.82949
2020-11-21,6.45161
2020-11-22,4.8387
2020-11-23,11.29032
2020-11-24,15.89861
2020-11-25,13.36405
2020-11-26,7.8341
2020-11-27,10.36866
2020-11-28,5.76036
2020-11-29,4.37788
2020-11-30,10.82949
2020-12-01,13.13364
2020-12-02,12.44239
2020-12-03,11.52073
2020-12-04,11.75115
2020-12-05,6.45161
2020-12-06,5.76036
2020-12-07,13.82488
2020-12-08,8.75576
2020-12-09,9.447
2020-12-10,10.82949
2020-12-11,11.29032
2020-12-12,6.22119
2020-12-13,7.14285
2020-12-14,9.67741
2020-12-15,10.36866
2020-12-16,11.29032
2020-12-17,9.21658
2020-12-18,11.75115
2020-12-19,8.75576
2020-12-20,7.37327
2020-12-21,17.05069
2020-12-22,14.74654
2020-12-23,12.90322
2020-12-24,17.05069
2020-12-25,8.75576
2020-12-26,8.75576
2020-12-27,13.36405
2020-12-28,19.81566
2020-12-29,18.43317
2020-12-30,18.43317
2020-12-31,17.74193
2021-01-01,13.82488
2021-01-02,11.52073
2021-01-03,16.12903
2021-01-04,26.95852
2021-01-05,18.894
2021-01-06,16.82027
2021-01-07,13.36405
2021-01-08,18.43317
2021-01-09,11.98156
2021-01-10,11.29032
2021-01-11,24.65437
2021-01-12,17.05069
2021-01-13,21.65898
2021-01-14,24.88479
2021-01-15,20.50691
2021-01-16,9.67741
2021-01-17,6.22119
2021-01-18,11.29032
2021-01-19,23.96313
2021-01-20,20.27649
2021-01-21,20.73732
2021-01-22,18.43317
2021-01-23,14.05529
2021-01-24,11.29032
2021-01-25,15.43778
2021-01-26,23.04147
2021-01-27,21.8894
2021-01-28,21.19815
2021-01-29,24.88479
2021-01-30,9.447
2021-01-31,11.98156
2021-02-01,20.50691
2021-02-02,21.19815
2021-02-03,21.65898
2021-02-04,23.73271
2021-02-05,20.27649
2021-02-06,16.58986
2021-02-07,17.2811
2021-02-08,24.65437
2021-02-09,19.81566
2021-02-10,20.27649
2021-02-11,4.8387
2021-02-12,8.29493
2021-02-13,10.82949
2021-02-14,9.447
2021-02-15,27.88018
2021-02-16,15.20737
2021-02-17,19.12442
2021-02-18,18.20276
2021-02-19,14.97695
2021-02-20,6.91244
2021-02-21,6.22119
2021-02-22,20.50691
2021-02-23,17.97235
2021-02-24,16.35944
2021-02-25,10.82949
2021-02-26,3.45622
2021-02-27,2.30414
2021-02-28,1.84331
2021-03-01,3.45622
2021-03-02,2.07373
2021-03-03,4.37788
2021-03-04,2.53456
2021-03-05,1.15207
2021-03-06,1.38248
2021-03-08,5.52995
2021-03-09,7.14285
2021-03-10,10.36866
2021-03-11,8.52534
2021-03-12,14.05529
2021-03-13,7.8341
2021-03-14,6.68202
2021-03-15,17.51152
2021-03-16,17.97235
2021-03-17,13.36405
2021-03-18,13.36405
2021-03-19,10.36866
2021-03-20,8.29493
2021-03-21,8.52534
2021-03-22,11.75115
2021-03-23,15.89861
2021-03-24,16.58986
2021-03-25,17.2811
2021-03-26,6.68202
2021-03-29,1.6129
2021-03-30,3.45622
2021-03-31,4.60829
2021-04-01,4.37788
2021-04-02,5.76036
2021-04-03,5.52995
2021-04-04,3.2258
2021-04-05,8.98617
2021-04-06,11.52073
2021-04-07,8.52534
2021-04-08,8.75576
2021-04-09,8.29493
2021-04-10,3.91705
2021-04-11,7.37327
2021-04-12,14.51612
2021-04-13,10.59907
2021-04-14,13.59447
2021-04-15,17.2811
2021-04-16,15.43778
2021-04-17,7.37327
2021-04-18,7.60368
2021-04-19,11.52073
2021-04-20,9.90783
2021-04-21,8.75576
2021-04-22,9.447
2021-04-23,7.14285
2021-04-24,1.15207
2021-04-25,2.07373
2021-04-27,2.30414
2021-04-28,1.84331
2021-04-29,1.38248
2021-04-30,1.15207
2021-05-03,2.30414
2021-05-04,6.22119
2021-05-05,2.76497
2021-05-06,7.14285
2021-05-07,4.60829
2021-05-08,3.45622
2021-05-09,4.14746
2021-05-10,7.8341
2021-05-11,7.8341
2021-05-12,9.447
2021-05-13,12.90322
2021-05-14,9.90783
2021-05-15,4.37788
2021-05-16,7.14285
2021-05-17,11.0599
2021-05-18,14.05529
2021-05-19,9.447
2021-05-20,7.14285
2021-05-21,7.60368
2021-05-23,1.38248
2021-05-24,1.6129
2021-05-25,2.07373
2021-05-26,3.45622
2021-05-27,1.84331
2021-05-28,1.6129
2021-05-29,1.84331
2021-05-30,1.6129
2021-05-31,2.07373
2021-06-01,1.38248
2021-06-02,1.38248
2021-06-04,1.15207
2021-06-07,1.38248
2021-06-14,1.38248
2021-06-17,1.38248
2021-06-20,2.30414
2021-06-23,1.15207
2021-06-24,1.6129
2021-06-25,1.15207
2021-07-01,1.6129
2021-07-02,1.84331
2021-07-05,1.15207
2021-07-06,1.84331
2021-07-07,1.38248
2021-07-09,1.15207
2021-07-14,2.99539
2021-07-15,3.2258
2021-07-16,2.99539
