date,공매도금지
2020-03-20,1.2515
2020-03-21,0.45923
2020-03-22,0.36566
2020-03-23,1.20164
2020-03-24,0.87353
2020-03-25,0.85198
2020-03-26,0.86368
2020-03-27,0.87968
2020-03-28,0.34596
2020-03-29,0.36935
2020-03-30,0.72517
2020-03-31,1.10745
2020-04-01,0.99603
2020-04-02,0.74302
2020-04-03,0.5171
2020-04-04,0.27763
2020-04-05,0.26224
2020-04-06,0.46846
2020-04-07,0.56388
2020-04-08,0.50848
2020-04-09,0.45861
2020-04-10,0.40321
2020-04-11,0.20991
2020-04-12,0.18221
2020-04-13,0.2093
2020-04-14,0.20437
2020-04-15,0.13543
2020-04-16,0.22961
2020-04-17,0.35027
2020-04-18,0.15882
2020-04-19,0.1502
2020-04-20,0.22961
2020-04-21,0.15389
2020-04-22,0.20807
2020-04-23,0.17667
2020-04-24,0.14466
2020-04-25,0.05725
2020-04-26,0.09049
2020-04-27,0.17667
2020-04-28,0.15513
2020-04-29,0.17482
2020-04-30,0.06956
2020-05-01,0.05417
2020-05-02,0.05786
2020-05-03,0.05232
2020-05-04,0.10957
2020-05-05,0.10834
2020-05-06,0.14466
2020-05-07,0.12742
2020-05-08,0.13112
2020-05-09,0.07325
2020-05-10,0.0751
2020-05-11,0.12311
2020-05-12,0.12435
2020-05-13,0.15697
2020-05-14,0.1816
2020-05-15,0.1816
2020-05-16,0.10588
2020-05-17,0.09726
2020-05-18,0.12804
2020-05-19,0.15082
2020-05-20,0.1779
2020-05-21,0.27024
2020-05-22,0.22653
2020-05-23,0.15205
2020-05-24,0.12865
2020-05-25,0.237
2020-05-26,0.3355
2020-05-27,0.30595
2020-05-28,0.20068
2020-05-29,0.16313
2020-05-30,0.07202
2020-05-31,0.08372
2020-06-01,0.27332
2020-06-02,0.29487
2020-06-03,0.45985
2020-06-04,0.39028
2020-06-05,0.39521
2020-06-06,0.24808
2020-06-07,0.20253
2020-06-08,0.35889
2020-06-09,0.35643
2020-06-10,0.39582
2020-06-11,97.63179
2020-06-12,1.17148
2020-06-13,0.22038
2020-06-14,0.14035
2020-06-15,0.24069
2020-06-16,0.16559
2020-06-17,0.21299
2020-06-18,0.23269
2020-06-19,0.35089
2020-06-20,0.09172
2020-06-21,0.12188
2020-06-22,0.2013
2020-06-23,0.2093
2020-06-24,0.18221
2020-06-25,0.16928
2020-06-26,0.14035
2020-06-27,0.05601
2020-06-28,0.05601
2020-06-29,0.13912
2020-06-30,0.14774
2020-07-01,0.15389
2020-07-02,0.13789
2020-07-03,0.14528
2020-07-04,0.07879
2020-07-05,0.08002
2020-07-06,0.14774
2020-07-07,0.15082
2020-07-08,0.1619
2020-07-09,0.21361
2020-07-10,0.15697
2020-07-11,0.08064
2020-07-12,0.07264
2020-07-13,0.14835
2020-07-14,0.14343
2020-07-15,0.13912
2020-07-16,0.14651
2020-07-17,0.17482
2020-07-18,0.07325
2020-07-19,0.08864
2020-07-20,0.13789
2020-07-21,0.22469
2020-07-22,0.2093
2020-07-23,0.24008
2020-07-24,0.22407
2020-07-25,0.11881
2020-07-26,0.10834
2020-07-27,0.31333
2020-07-28,0.26347
2020-07-29,0.32503
2020-07-30,0.35458
2020-07-31,0.21484
2020-08-01,0.10711
2020-08-02,0.12004
2020-08-03,0.21976
2020-08-04,0.34904
2020-08-05,0.37305
2020-08-06,0.36073
2020-08-07,0.4463
2020-08-08,0.20807
2020-08-09,0.18406
2020-08-10,0.47339
2020-08-11,0.53126
2020-08-12,0.55095
2020-08-13,1.55068
2020-08-14,1.09699
2020-08-15,0.3712
2020-08-16,0.50417
2020-08-17,0.42845
2020-08-18,0.55711
2020-08-19,0.39644
2020-08-20,0.55773
2020-08-21,0.43522
2020-08-22,0.14281
2020-08-23,0.39028
2020-08-24,0.67284
2020-08-25,0.78981
2020-08-26,0.88769
2020-08-27,3.56061
2020-08-28,0.69316
2020-08-29,0.1305
2020-08-30,0.20499
2020-08-31,0.34965
2020-09-01,0.21422
2020-09-02,0.18591
2020-09-03,0.21361
2020-09-04,0.21238
2020-09-05,0.10772
2020-09-06,0.11511
2020-09-07,0.19083
2020-09-08,0.18898
2020-09-09,0.23331
2020-09-10,0.23762
2020-09-11,0.22715
2020-09-12,0.17113
2020-09-13,0.14466
2020-09-14,0.26532
2020-09-15,0.24746
2020-09-16,0.33919
2020-09-17,0.33119
2020-09-18,0.17544
2020-09-19,0.06894
2020-09-20,0.07694
2020-09-21,0.22592
2020-09-22,0.18098
2020-09-23,0.1816
2020-09-24,0.23515
2020-09-25,0.1422
