date,실시간국제금시세
2020-03-20,50.46768
2020-03-21,24.87244
2020-03-22,9.39625
2020-03-23,39.11564
2020-03-24,76.74319
2020-03-25,70.96088
2020-03-26,61.267
2020-03-27,55.35714
2020-03-28,24.95748
2020-03-29,10.11904
2020-03-30,37.03231
2020-03-31,37.5
2020-04-01,39.62585
2020-04-02,40.68877
2020-04-03,36.39455
2020-04-04,17.68707
2020-04-05,6.93027
2020-04-06,35.71428
2020-04-07,44.72789
2020-04-08,40.81632
2020-04-09,40.60374
2020-04-10,45.02551
2020-04-11,16.96428
2020-04-12,8.41836
2020-04-13,41.15646
2020-04-14,53.57142
2020-04-15,41.87925
2020-04-16,46.98129
2020-04-17,43.02721
2020-04-18,19.38775
2020-04-19,7.69557
2020-04-20,36.22448
2020-04-21,45.15306
2020-04-22,44.17517
2020-04-23,56.03741
2020-04-24,48.63945
2020-04-25,20.57823
2020-04-26,7.31292
2020-04-27,36.5221
2020-04-28,43.92006
2020-04-29,42.2619
2020-04-30,34.77891
2020-05-01,36.267
2020-05-02,19.72789
2020-05-03,8.54591
2020-05-04,35.79931
2020-05-05,28.95408
2020-05-06,36.43707
2020-05-07,34.77891
2020-05-08,39.41326
2020-05-09,15.05102
2020-05-10,6.42006
2020-05-11,29.5068
2020-05-12,36.30952
2020-05-13,32.44047
2020-05-14,34.35374
2020-05-15,39.58333
2020-05-16,20.70578
2020-05-17,7.44047
2020-05-18,42.517
2020-05-19,41.62414
2020-05-20,37.24489
2020-05-21,32.10034
2020-05-22,30.65476
2020-05-23,15.7738
2020-05-24,4.7619
2020-05-25,22.83163
2020-05-26,26.06292
2020-05-27,25.97789
2020-05-28,29.54931
2020-05-29,25.21258
2020-05-30,13.13775
2020-05-31,4.20918
2020-06-01,24.40476
2020-06-02,23.08673
2020-06-03,23.59693
2020-06-04,24.53231
2020-06-05,20.45068
2020-06-06,11.64965
2020-06-07,4.5068
2020-06-08,22.95918
2020-06-09,29.33673
2020-06-10,25.21258
2020-06-11,34.35374
2020-06-12,30.18707
2020-06-13,11.81972
2020-06-14,3.99659
2020-06-15,21.17346
2020-06-16,24.36224
2020-06-17,20.57823
2020-06-18,21.98129
2020-06-19,18.92006
2020-06-20,9.05612
2020-06-21,3.48639
2020-06-22,22.0238
2020-06-23,25.21258
2020-06-24,28.99659
2020-06-25,24.53231
2020-06-26,18.15476
2020-06-27,10.16156
2020-06-28,3.40136
2020-06-29,18.62244
2020-06-30,21.72619
2020-07-01,28.99659
2020-07-02,23.0017
2020-07-03,20.11054
2020-07-04,7.18537
2020-07-05,2.46598
2020-07-06,13.77551
2020-07-07,19.5153
2020-07-08,25.04251
2020-07-09,27.59353
2020-07-10,23.63945
2020-07-11,10.71428
2020-07-12,2.80612
2020-07-13,19.89795
2020-07-14,23.89455
2020-07-15,23.2568
2020-07-16,24.53231
2020-07-17,21.2585
2020-07-18,10.20408
2020-07-19,3.2738
2020-07-20,19.60034
2020-07-21,28.44387
2020-07-22,33.20578
2020-07-23,40.56122
2020-07-24,44.21768
2020-07-25,20.66326
2020-07-26,7.99319
2020-07-27,48.72448
2020-07-28,71.68367
2020-07-29,71.85374
2020-07-30,54.03911
2020-07-31,45.28061
2020-08-01,23.93707
2020-08-02,8.41836
2020-08-03,35.62925
2020-08-04,34.56632
2020-08-05,53.86904
2020-08-06,54.84693
2020-08-07,60.84183
2020-08-08,32.31292
2020-08-09,11.94727
2020-08-10,51.0204
2020-08-11,65.81632
2020-08-12,100.0
2020-08-13,79.84693
2020-08-14,57.56802
2020-08-15,28.06122
2020-08-16,10.92687
2020-08-17,40.2636
2020-08-18,67.72959
2020-08-19,64.07312
2020-08-20,62.32993
2020-08-21,51.82823
2020-08-22,22.87414
2020-08-23,9.60884
2020-08-24,39.7534
2020-08-25,40.81632
2020-08-26,37.88265
2020-08-27,39.41326
2020-08-28,40.7738
2020-08-29,25.93537
2020-08-30,9.43877
2020-08-31,37.92517
2020-09-01,48.72448
2020-09-02,44.5153
2020-09-03,36.98979
2020-09-04,40.47619
2020-09-05,18.40986
2020-09-06,6.7602
2020-09-07,25.93537
2020-09-08,26.91326
2020-09-09,30.95238
2020-09-10,31.33503
2020-09-11,29.29421
2020-09-12,15.09353
2020-09-13,6.33503
2020-09-14,20.91836
2020-09-15,26.82823
2020-09-16,24.78741
2020-09-17,26.36054
2020-09-18,22.87414
2020-09-19,11.77721
2020-09-20,3.74149
2020-09-21,22.36394
2020-09-22,31.16496
2020-09-23,28.74149
2020-09-24,30.86734
2020-09-25,28.78401
2020-09-26,12.67006
2020-09-27,4.46428
2020-09-28,21.64115
2020-09-29,24.82993
2020-09-30,17.85714
2020-10-01,17.89965
2020-10-02,23.0017
2020-10-03,15.90136
2020-10-04,5.99489
2020-10-05,21.2585
2020-10-06,27.2534
2020-10-07,24.19217
2020-10-08,19.2602
2020-10-09,16.36904
2020-10-10,13.13775
2020-10-11,5.65476
2020-10-12,21.13095
2020-10-13,28.18877
2020-10-14,24.23469
2020-10-15,23.89455
2020-10-16,21.7687
2020-10-17,8.7585
2020-10-18,3.99659
