date,유언장
2020-03-20,0.21879
2020-03-21,0.16009
2020-03-22,0.16543
2020-03-23,0.14408
2020-03-24,0.16276
2020-03-25,0.17076
2020-03-26,0.16543
2020-03-27,0.10672
2020-03-28,0.13341
2020-03-29,0.14141
2020-03-30,0.20278
2020-03-31,0.22413
2020-04-01,0.23747
2020-04-02,0.26682
2020-04-03,0.2428
2020-04-04,0.15208
2020-04-05,0.17877
2020-04-06,0.20812
2020-04-07,0.22946
2020-04-08,0.22413
2020-04-09,0.19211
2020-04-10,0.18143
2020-04-11,0.1841
2020-04-12,0.17877
2020-04-13,0.20545
2020-04-14,0.15475
2020-04-15,0.13341
2020-04-16,0.19744
2020-04-17,0.21345
2020-04-18,0.17877
2020-04-19,0.15742
2020-04-20,0.27215
2020-04-21,0.32285
2020-04-22,0.39756
2020-04-23,0.32285
2020-04-24,0.21345
2020-04-25,0.21345
2020-04-26,0.21079
2020-04-27,0.31485
2020-04-28,0.32819
2020-04-29,0.28816
2020-04-30,0.1761
2020-05-01,0.2348
2020-05-02,0.13874
2020-05-03,0.14675
2020-05-04,0.19211
2020-05-05,0.15742
2020-05-06,0.16276
2020-05-07,0.20011
2020-05-08,0.1761
2020-05-09,0.16276
2020-05-10,0.16009
2020-05-11,0.24814
2020-05-12,0.27482
2020-05-13,0.24547
2020-05-14,0.28283
2020-05-15,0.34953
2020-05-16,0.1254
2020-05-17,0.1254
2020-05-18,0.50963
2020-05-19,1.00592
2020-05-20,0.35754
2020-05-21,0.48028
2020-05-22,0.66438
2020-05-23,0.35487
2020-05-24,0.29617
2020-05-25,0.29617
2020-05-26,0.38155
2020-05-27,0.31218
2020-05-28,0.43225
2020-05-29,0.45893
2020-05-30,0.25881
2020-05-31,0.30151
2020-06-01,0.32018
2020-06-02,0.2348
2020-06-03,0.33619
2020-06-04,0.2935
2020-06-05,0.28016
2020-06-06,0.22946
2020-06-07,0.27482
2020-06-08,0.28016
2020-06-09,0.29083
2020-06-10,0.22146
2020-06-11,0.20812
2020-06-12,0.16276
2020-06-13,0.20011
2020-06-14,0.29884
2020-06-15,0.32285
2020-06-16,0.26949
2020-06-17,0.23747
2020-06-18,0.37355
2020-06-19,0.2855
2020-06-20,0.26949
2020-06-21,0.2855
2020-06-22,0.3442
2020-06-23,0.29884
2020-06-24,0.6884
2020-06-25,0.5123
2020-06-26,0.42158
2020-06-27,0.25615
2020-06-28,0.26148
2020-06-29,0.30151
2020-06-30,0.25881
2020-07-01,0.2855
2020-07-02,0.24814
2020-07-03,0.34153
2020-07-04,0.15475
2020-07-05,0.20812
2020-07-06,0.20812
2020-07-07,0.17076
2020-07-08,0.19478
