date,펄어비스주가
2020-03-20,2.96454
2020-03-21,0.66555
2020-03-22,0.48041
2020-03-23,2.60598
2020-03-24,2.70675
2020-03-25,2.48412
2020-03-26,2.44897
2020-03-27,2.33413
2020-03-28,0.58119
2020-03-29,0.61634
2020-03-30,2.48177
2020-03-31,2.33413
2020-04-01,2.5802
2020-04-02,3.23639
2020-04-03,2.88017
2020-04-04,1.49516
2020-04-05,1.18581
2020-04-06,3.25513
2020-04-07,2.95985
2020-04-08,2.82861
2020-04-09,2.91532
2020-04-10,2.32476
2020-04-11,0.53197
2020-04-12,0.42651
2020-04-13,2.27555
2020-04-14,2.26148
2020-04-15,0.60228
2020-04-16,2.40209
2020-04-17,2.5802
2020-04-18,0.74054
2020-04-19,0.67258
2020-04-20,3.55042
2020-04-21,3.33481
2020-04-22,2.63176
2020-04-23,2.84033
2020-04-24,2.11853
2020-04-25,0.48979
2020-04-26,0.46635
2020-04-27,2.16774
2020-04-28,2.17712
2020-04-29,2.18415
2020-04-30,0.47573
2020-05-01,0.58822
2020-05-02,0.25309
2020-05-03,0.31871
2020-05-04,1.63577
2020-05-05,0.44526
2020-05-06,1.79747
2020-05-07,3.02313
2020-05-08,3.7379
2020-05-09,1.03583
2020-05-10,0.7218
2020-05-11,2.95751
2020-05-12,2.78409
2020-05-13,4.46439
2020-05-14,3.17311
2020-05-15,2.25914
2020-05-16,0.53666
2020-05-17,0.52025
2020-05-18,2.27555
2020-05-19,3.03953
2020-05-20,2.763
2020-05-21,2.80049
2020-05-22,2.02245
2020-05-23,0.49213
2020-05-24,0.55306
2020-05-25,2.13728
2020-05-26,2.20993
2020-05-27,1.65451
2020-05-28,1.95214
2020-05-29,1.78575
2020-05-30,0.29293
2020-05-31,0.31168
2020-06-01,1.72716
2020-06-02,1.53734
2020-06-03,1.83496
2020-06-04,1.81856
2020-06-05,1.85137
2020-06-06,0.4312
2020-06-07,0.41948
2020-06-08,2.48646
2020-06-09,1.95448
2020-06-10,1.7506
2020-06-11,1.8584
2020-06-12,1.61467
2020-06-13,0.307
2020-06-14,0.23903
2020-06-15,1.63342
2020-06-16,1.81856
2020-06-17,1.82325
2020-06-18,1.63342
2020-06-19,1.40845
2020-06-20,0.23435
2020-06-21,0.24372
2020-06-22,1.33345
2020-06-23,2.23336
2020-06-24,2.53567
2020-06-25,1.83496
2020-06-26,1.47641
2020-06-27,0.25544
2020-06-28,0.20154
2020-06-29,1.37095
