date,에이다코인
2020-03-20,5.03117
2020-03-21,2.53733
2020-03-22,2.74032
2020-03-23,3.17529
2020-03-24,3.0593
2020-03-25,3.11729
2020-03-26,3.58126
2020-03-27,3.27678
2020-03-28,2.17485
2020-03-29,2.21835
2020-03-30,3.14629
2020-03-31,4.07423
2020-04-01,3.11729
2020-04-02,3.65376
2020-04-03,3.14629
2020-04-04,2.49383
2020-04-05,2.62432
2020-04-06,3.0593
2020-04-07,3.29128
2020-04-08,2.9868
2020-04-09,3.47977
2020-04-10,2.59533
2020-04-11,2.10236
2020-04-12,2.39234
2020-04-13,2.53733
2020-04-14,2.52283
2020-04-15,2.36334
2020-04-16,2.84181
2020-04-17,2.9578
2020-04-18,2.30535
2020-04-19,2.21835
2020-04-20,2.55183
2020-04-21,1.98637
2020-04-22,2.01536
2020-04-23,3.82775
2020-04-24,5.87211
2020-04-25,2.88531
2020-04-26,2.46483
2020-04-27,4.19022
2020-04-28,4.21922
2020-04-29,3.94374
2020-04-30,5.55313
2020-05-01,3.87124
2020-05-02,3.62476
2020-05-03,3.58126
2020-05-04,3.37828
2020-05-05,2.42134
2020-05-06,3.52327
2020-05-07,3.29128
2020-05-08,2.9868
2020-05-09,2.39234
2020-05-10,2.13136
2020-05-11,2.87081
2020-05-12,3.11729
2020-05-13,2.75482
2020-05-14,2.49383
2020-05-15,2.02986
2020-05-16,1.4789
2020-05-17,1.4499
2020-05-18,3.81325
2020-05-19,3.39277
2020-05-20,3.87124
2020-05-21,3.30578
2020-05-22,2.52283
2020-05-23,2.00086
2020-05-24,2.07336
2020-05-25,2.59533
2020-05-26,2.18935
2020-05-27,2.36334
2020-05-28,2.9868
2020-05-29,8.11947
2020-05-30,7.6265
2020-05-31,25.51834
2020-06-01,14.62954
2020-06-02,8.58344
2020-06-03,7.74249
2020-06-04,10.94678
2020-06-05,6.82905
2020-06-06,4.45121
2020-06-07,3.85674
2020-06-08,4.24822
2020-06-09,4.07423
2020-06-10,4.32071
2020-06-11,3.34928
2020-06-12,3.0448
2020-06-13,1.78338
2020-06-14,2.11686
2020-06-15,3.30578
2020-06-16,3.72625
2020-06-17,2.65332
2020-06-18,3.43627
2020-06-19,2.45034
2020-06-20,1.58039
2020-06-21,1.89937
2020-06-22,2.72582
2020-06-23,2.9723
2020-06-24,3.45077
2020-06-25,2.81281
2020-06-26,2.20385
2020-06-27,1.31941
2020-06-28,1.4064
2020-06-29,2.9288
2020-06-30,2.78381
2020-07-01,2.9723
2020-07-02,7.52501
2020-07-03,3.71175
2020-07-04,5.36465
2020-07-05,3.23328
2020-07-06,4.34971
2020-07-07,8.27896
2020-07-08,26.91025
2020-07-09,10.29433
2020-07-10,6.19109
2020-07-11,3.62476
2020-07-12,3.98724
2020-07-13,8.72843
2020-07-14,5.85761
2020-07-15,7.40901
2020-07-16,4.85718
2020-07-17,3.74075
2020-07-18,2.85631
2020-07-19,2.66782
2020-07-20,3.50877
2020-07-21,3.94374
2020-07-22,3.66826
2020-07-23,3.78425
2020-07-24,3.50877
2020-07-25,3.68276
2020-07-26,11.14977
2020-07-27,8.42395
2020-07-28,7.583
2020-07-29,7.52501
2020-07-30,5.26315
2020-07-31,3.90024
2020-08-01,3.13179
2020-08-02,5.19066
2020-08-03,4.5237
2020-08-04,4.21922
2020-08-05,4.20472
2020-08-06,3.47977
2020-08-07,2.82731
2020-08-08,2.81281
2020-08-09,3.82775
2020-08-10,4.74119
2020-08-11,4.03073
2020-08-12,3.30578
2020-08-13,3.26228
2020-08-14,3.0593
2020-08-15,2.62432
2020-08-16,2.49383
2020-08-17,2.76931
2020-08-18,3.27678
2020-08-19,2.46483
2020-08-20,2.69682
2020-08-21,2.42134
2020-08-22,2.30535
2020-08-23,1.78338
2020-08-24,2.53733
2020-08-25,2.40684
2020-08-26,2.85631
2020-08-27,2.20385
2020-08-28,2.07336
2020-08-29,1.89937
2020-08-30,2.02986
2020-08-31,1.89937
2020-09-01,3.18979
2020-09-02,3.0448
2020-09-03,2.39234
2020-09-04,3.18979
2020-09-05,1.55139
2020-09-06,1.76888
2020-09-07,2.24735
2020-09-08,2.11686
2020-09-09,1.79788
2020-09-10,2.00086
2020-09-11,1.3919
2020-09-12,1.11642
2020-09-13,1.4789
2020-09-14,1.68189
2020-09-15,1.26141
2020-09-16,1.79788
2020-09-17,1.3919
2020-09-18,1.69638
2020-09-19,1.29041
2020-09-20,1.00043
2020-09-21,2.43584
2020-09-22,1.81238
2020-09-23,1.4499
2020-09-24,2.91431
2020-09-25,2.68232
2020-09-26,2.18935
2020-09-27,1.78338
2020-09-28,2.87081
2020-09-29,1.92837
2020-09-30,1.10192
2020-10-01,1.5224
2020-10-02,0.97143
2020-10-03,0.79744
2020-10-04,1.11642
2020-10-05,1.34841
2020-10-06,1.4209
2020-10-07,1.29041
2020-10-08,1.4209
2020-10-09,0.97143
2020-10-10,1.4354
2020-10-11,1.29041
2020-10-12,1.72538
2020-10-13,2.21835
2020-10-14,2.26185
2020-10-15,1.59489
2020-10-16,1.3919
2020-10-17,1.07293
2020-10-18,1.00043
2020-10-19,1.5369
2020-10-20,1.68189
2020-10-21,1.34841
2020-10-22,2.04436
2020-10-23,1.62389
2020-10-24,1.4064
2020-10-25,1.36291
2020-10-26,1.5079
2020-10-27,1.4064
2020-10-28,1.91387
2020-10-29,1.76888
2020-10-30,1.56589
2020-10-31,0.66695
2020-11-01,1.02943
2020-11-02,1.5224
2020-11-03,1.07293
2020-11-04,0.82644
2020-11-05,1.27591
2020-11-06,2.37784
2020-11-07,1.4499
2020-11-08,1.10192
2020-11-09,1.56589
2020-11-10,1.5079
2020-11-11,1.68189
2020-11-12,1.4354
2020-11-13,1.68189
2020-11-14,0.95693
2020-11-15,1.14542
2020-11-16,1.5224
2020-11-17,2.36334
2020-11-18,5.39364
2020-11-19,3.10279
2020-11-20,3.10279
2020-11-21,5.52414
2020-11-22,6.48107
2020-11-23,15.05002
2020-11-24,21.86457
2020-11-25,17.13788
2020-11-26,12.45469
2020-11-27,6.49557
2020-11-28,6.85805
2020-11-29,7.641
2020-11-30,7.32202
2020-12-01,9.33739
2020-12-02,6.32158
2020-12-03,6.19109
2020-12-04,4.37871
2020-12-05,3.49427
2020-12-06,3.72625
2020-12-07,4.04523
2020-12-08,3.92924
2020-12-09,4.66869
2020-12-10,2.9433
2020-12-11,2.55183
2020-12-12,2.20385
2020-12-13,3.0593
2020-12-14,2.78381
2020-12-15,2.85631
2020-12-16,2.81281
2020-12-17,6.84355
2020-12-18,5.04567
2020-12-19,4.71219
2020-12-20,4.72669
2020-12-21,4.62519
2020-12-22,3.59576
2020-12-23,3.87124
2020-12-24,3.78425
2020-12-25,3.13179
2020-12-26,3.16079
2020-12-27,5.82862
