date,차트
2020-03-20,25.81081
2020-03-21,18.78378
2020-03-22,19.72972
2020-03-23,27.16216
2020-03-24,30.94594
2020-03-25,27.83783
2020-03-26,31.89189
2020-03-27,28.37837
2020-03-28,23.24324
2020-03-29,21.08108
2020-03-30,25.54054
2020-03-31,29.72972
2020-04-01,27.43243
2020-04-02,33.64864
2020-04-03,28.51351
2020-04-04,23.91891
2020-04-05,20.27027
2020-04-06,29.72972
2020-04-07,28.64864
2020-04-08,35.67567
2020-04-09,30.81081
2020-04-10,27.56756
2020-04-11,22.02702
2020-04-12,19.32432
2020-04-13,28.51351
2020-04-14,31.89189
2020-04-15,25.0
2020-04-16,29.86486
2020-04-17,29.32432
2020-04-18,18.1081
2020-04-19,23.24324
2020-04-20,33.37837
2020-04-21,31.21621
2020-04-22,31.35135
2020-04-23,25.67567
2020-04-24,35.0
2020-04-25,24.32432
2020-04-26,21.75675
2020-04-27,41.35135
2020-04-28,35.0
2020-04-29,35.4054
2020-04-30,26.21621
2020-05-01,24.86486
2020-05-02,22.43243
2020-05-03,23.64864
2020-05-04,29.86486
2020-05-05,26.21621
2020-05-06,36.62162
2020-05-07,38.91891
2020-05-08,31.35135
2020-05-09,27.29729
2020-05-10,20.81081
2020-05-11,32.29729
2020-05-12,35.81081
2020-05-13,29.05405
2020-05-14,28.78378
2020-05-15,27.16216
2020-05-16,20.27027
2020-05-17,17.83783
2020-05-18,33.64864
2020-05-19,34.32432
2020-05-20,32.56756
2020-05-21,31.35135
2020-05-22,25.54054
2020-05-23,22.02702
2020-05-24,24.18918
2020-05-25,35.4054
2020-05-26,26.62162
2020-05-27,31.08108
2020-05-28,28.51351
2020-05-29,29.72972
2020-05-30,19.18918
2020-05-31,21.08108
2020-06-01,30.81081
2020-06-02,30.0
2020-06-03,31.08108
2020-06-04,29.05405
2020-06-05,30.27027
2020-06-06,24.18918
2020-06-07,21.21621
2020-06-08,31.89189
2020-06-09,28.91891
2020-06-10,30.54054
2020-06-11,24.32432
2020-06-12,25.67567
2020-06-13,22.7027
2020-06-14,19.59459
2020-06-15,26.21621
2020-06-16,36.21621
2020-06-17,29.18918
2020-06-18,29.18918
2020-06-19,22.83783
2020-06-20,24.05405
2020-06-21,23.37837
2020-06-22,30.27027
2020-06-23,30.4054
2020-06-24,30.67567
2020-06-25,29.18918
2020-06-26,27.56756
2020-06-27,20.27027
2020-06-28,24.32432
2020-06-29,31.75675
2020-06-30,29.45945
2020-07-01,29.18918
2020-07-02,29.72972
2020-07-03,29.86486
2020-07-04,22.43243
2020-07-05,19.72972
2020-07-06,30.0
2020-07-07,29.18918
2020-07-08,27.29729
2020-07-09,25.27027
2020-07-10,33.1081
2020-07-11,24.86486
2020-07-12,23.37837
2020-07-13,33.51351
2020-07-14,30.67567
2020-07-15,30.94594
2020-07-16,27.7027
2020-07-17,23.78378
2020-07-18,34.72972
2020-07-19,28.64864
2020-07-20,31.21621
2020-07-21,31.21621
2020-07-22,32.7027
2020-07-23,31.08108
2020-07-24,33.24324
2020-07-25,25.54054
2020-07-26,23.1081
2020-07-27,31.62162
2020-07-28,27.97297
2020-07-29,27.83783
2020-07-30,26.21621
2020-07-31,23.1081
2020-08-01,27.29729
2020-08-02,27.97297
2020-08-03,31.48648
2020-08-04,28.24324
2020-08-05,23.78378
2020-08-06,28.64864
2020-08-07,22.83783
2020-08-08,22.16216
2020-08-09,18.78378
2020-08-10,26.08108
2020-08-11,30.13513
2020-08-12,28.78378
2020-08-13,31.08108
2020-08-14,21.35135
2020-08-15,18.91891
2020-08-16,16.48648
2020-08-17,18.91891
2020-08-18,22.16216
2020-08-19,27.7027
2020-08-20,25.94594
2020-08-21,32.02702
2020-08-22,21.75675
2020-08-23,21.08108
2020-08-24,27.43243
2020-08-25,24.18918
2020-08-26,23.51351
2020-08-27,25.94594
2020-08-28,24.59459
2020-08-29,23.24324
2020-08-30,22.56756
2020-08-31,26.21621
2020-09-01,33.37837
2020-09-02,29.45945
2020-09-03,26.62162
2020-09-04,27.02702
2020-09-05,20.0
2020-09-06,20.81081
2020-09-07,33.51351
2020-09-08,29.59459
2020-09-09,32.83783
2020-09-10,33.78378
2020-09-11,28.91891
2020-09-12,19.59459
2020-09-13,20.0
2020-09-14,28.24324
2020-09-15,30.81081
2020-09-16,28.24324
2020-09-17,27.29729
2020-09-18,29.05405
2020-09-19,24.45945
2020-09-20,17.7027
2020-09-21,29.72972
2020-09-22,28.78378
2020-09-23,27.56756
2020-09-24,25.27027
2020-09-25,27.16216
2020-09-26,14.32432
2020-09-27,17.02702
2020-09-28,24.45945
2020-09-29,17.7027
2020-09-30,17.97297
2020-10-01,12.43243
2020-10-02,20.4054
2020-10-03,18.37837
2020-10-04,16.48648
2020-10-05,23.64864
2020-10-06,25.54054
2020-10-07,24.18918
2020-10-08,24.45945
2020-10-09,18.78378
2020-10-10,23.1081
2020-10-11,26.89189
2020-10-12,31.08108
2020-10-13,27.43243
2020-10-14,26.89189
2020-10-15,28.24324
2020-10-16,27.7027
2020-10-17,18.1081
2020-10-18,20.67567
2020-10-19,31.75675
2020-10-20,34.05405
2020-10-21,30.13513
2020-10-22,29.86486
2020-10-23,25.94594
2020-10-24,18.37837
2020-10-25,25.81081
2020-10-26,29.86486
2020-10-27,30.4054
2020-10-28,24.86486
2020-10-29,29.59459
2020-10-30,23.91891
2020-10-31,19.59459
2020-11-01,18.51351
2020-11-02,32.7027
2020-11-03,30.94594
2020-11-04,27.43243
2020-11-05,29.05405
2020-11-06,24.18918
2020-11-07,17.02702
2020-11-08,15.81081
2020-11-09,27.56756
2020-11-10,26.89189
2020-11-11,23.78378
2020-11-12,28.1081
2020-11-13,29.18918
2020-11-14,21.21621
2020-11-15,19.59459
2020-11-16,30.94594
2020-11-17,33.91891
2020-11-18,30.13513
2020-11-19,29.18918
2020-11-20,30.0
2020-11-21,35.4054
2020-11-22,25.94594
2020-11-23,34.18918
2020-11-24,35.27027
2020-11-25,28.91891
2020-11-26,35.81081
2020-11-27,27.7027
2020-11-28,20.67567
2020-11-29,21.08108
2020-11-30,26.21621
2020-12-01,30.67567
2020-12-02,30.0
2020-12-03,33.37837
2020-12-04,24.72972
2020-12-05,39.72972
2020-12-06,28.78378
2020-12-07,34.45945
2020-12-08,33.64864
2020-12-09,29.72972
2020-12-10,34.32432
2020-12-11,30.54054
2020-12-12,28.1081
2020-12-13,23.64864
2020-12-14,33.24324
2020-12-15,30.4054
2020-12-16,29.86486
2020-12-17,29.45945
2020-12-18,26.21621
2020-12-19,27.56756
2020-12-20,20.67567
2020-12-21,24.72972
2020-12-22,27.97297
2020-12-23,30.4054
2020-12-24,26.21621
2020-12-25,21.08108
2020-12-26,23.51351
2020-12-27,19.18918
