date,한양이엔지주가
2020-03-20,1.56094
2020-03-21,0.53138
2020-03-22,0.26569
2020-03-23,1.4613
2020-03-24,2.05911
2020-03-25,1.99269
2020-03-26,2.42444
2020-03-27,2.75655
2020-03-28,0.23248
2020-03-29,0.39853
2020-03-30,3.15509
2020-03-31,1.99269
2020-04-01,2.15875
2020-04-02,2.09232
2020-04-03,2.15875
2020-04-05,0.36532
2020-04-06,3.32115
2020-04-07,2.3248
2020-04-08,2.72334
2020-04-09,2.85619
2020-04-10,2.0259
2020-04-11,0.26569
2020-04-13,2.29159
2020-04-14,1.1624
2020-04-15,0.16605
2020-04-16,2.52407
2020-04-17,2.22517
2020-04-18,0.19926
2020-04-19,0.23248
2020-04-20,2.82298
2020-04-21,1.79342
2020-04-22,2.19196
2020-04-23,2.69013
2020-04-24,1.66057
2020-04-25,0.2989
2020-04-26,0.16605
2020-04-27,2.49086
2020-04-28,2.15875
2020-04-29,2.45765
2020-05-01,0.36532
2020-05-04,2.09232
2020-05-06,2.8894
2020-05-07,2.35802
2020-05-08,1.95948
2020-05-09,0.49817
2020-05-11,2.3248
2020-05-12,2.12553
2020-05-13,1.82663
2020-05-14,1.99269
2020-05-15,2.25838
2020-05-16,1.4613
2020-05-17,0.83028
2020-05-18,3.95217
2020-05-19,4.54998
2020-05-20,3.55363
2020-05-21,2.85619
2020-05-22,3.28794
2020-05-23,0.36532
2020-05-24,0.19926
2020-05-25,2.55728
2020-05-26,3.1883
2020-05-27,3.28794
2020-05-28,2.65692
2020-05-29,1.79342
2020-05-30,0.43175
2020-05-31,0.39853
2020-06-01,3.85254
2020-06-02,2.35802
2020-06-03,3.25473
2020-06-04,3.15509
2020-06-05,2.45765
2020-06-06,0.19926
2020-06-07,0.26569
2020-06-08,2.78977
2020-06-09,3.12188
2020-06-10,2.95582
2020-06-11,2.72334
2020-06-12,2.69013
2020-06-13,0.19926
2020-06-14,0.19926
2020-06-15,3.22152
2020-06-16,3.05546
2020-06-17,2.95582
2020-06-18,2.25838
2020-06-19,2.8894
2020-06-21,0.16605
2020-06-22,2.85619
2020-06-23,2.0259
2020-06-24,1.92627
2020-06-25,2.09232
2020-06-26,2.75655
2020-06-29,2.3248
2020-06-30,2.29159
2020-07-01,1.4613
2020-07-02,1.36167
2020-07-03,1.39488
2020-07-06,2.12553
2020-07-07,1.85984
2020-07-08,1.82663
2020-07-09,1.79342
2020-07-10,1.19561
2020-07-13,1.62736
2020-07-14,1.36167
2020-07-15,2.42444
2020-07-16,2.49086
2020-07-17,3.38757
2020-07-18,0.2989
2020-07-19,0.2989
2020-07-20,2.55728
2020-07-21,1.82663
2020-07-22,1.69378
2020-07-23,2.0259
2020-07-24,1.79342
2020-07-25,0.16605
2020-07-27,1.92627
2020-07-28,3.98538
2020-07-29,25.93822
2020-07-30,17.60212
2020-07-31,11.29192
2020-08-01,1.39488
2020-08-02,0.96313
2020-08-03,9.69777
2020-08-04,6.77515
2020-08-05,5.61275
2020-08-06,5.57954
2020-08-07,5.181
2020-08-08,0.43175
2020-08-09,0.49817
2020-08-10,4.54998
2020-08-11,4.38392
2020-08-12,4.94852
2020-08-13,7.50581
2020-08-14,4.84888
2020-08-15,0.73065
2020-08-16,0.39853
2020-08-17,0.39853
2020-08-18,2.69013
2020-08-19,2.78977
2020-08-20,3.7529
2020-08-21,3.58684
2020-08-22,0.19926
2020-08-23,0.19926
2020-08-24,3.25473
2020-08-25,1.85984
2020-08-26,2.52407
2020-08-27,3.28794
2020-08-28,3.12188
2020-08-29,0.16605
2020-08-30,0.39853
2020-08-31,2.55728
2020-09-01,2.78977
2020-09-02,2.42444
2020-09-03,3.65327
2020-09-04,3.15509
2020-09-05,0.5978
2020-09-06,0.19926
2020-09-07,5.21421
2020-09-08,3.91896
2020-09-09,3.7529
2020-09-10,5.67917
2020-09-11,4.68282
2020-09-12,0.16605
2020-09-13,0.19926
2020-09-14,4.28429
2020-09-15,3.15509
2020-09-16,3.68648
2020-09-17,2.52407
2020-09-18,4.35071
2020-09-19,0.36532
2020-09-20,0.26569
2020-09-21,3.58684
2020-09-22,2.15875
2020-09-23,2.78977
2020-09-24,2.95582
2020-09-25,2.82298
2020-09-26,0.23248
