date,엔달러환율
2020-03-20,15.13197
2020-03-21,4.37235
2020-03-22,3.244
2020-03-23,14.84988
2020-03-24,12.10961
2020-03-25,11.28349
2020-03-26,11.50513
2020-03-27,13.03646
2020-03-28,3.66713
2020-03-29,2.45819
2020-03-30,10.82006
2020-03-31,9.12754
2020-04-01,10.33649
2020-04-02,10.37678
2020-04-03,8.84545
2020-04-04,2.49848
2020-04-05,1.47088
2020-04-06,8.72456
2020-04-07,8.88575
2020-04-08,6.97158
2020-04-09,6.83054
2020-04-10,6.7298
2020-04-11,2.15595
2020-04-12,1.75297
2020-04-13,7.39472
2020-04-14,6.10517
2020-04-15,3.1634
2020-04-16,7.85815
2020-04-17,6.14547
2020-04-18,1.83356
2020-04-19,1.1082
2020-04-20,5.80294
2020-04-21,7.25367
2020-04-22,6.14547
2020-04-23,6.24622
2020-04-24,6.26637
2020-04-25,1.73282
2020-04-26,1.18879
2020-04-27,7.03203
2020-04-28,5.88353
2020-04-29,5.541
2020-04-30,2.57908
2020-05-01,2.37759
2020-05-02,1.77312
2020-05-03,1.26939
2020-05-04,5.86338
2020-05-05,1.67237
2020-05-06,6.12532
2020-05-07,5.74249
2020-05-08,5.11787
2020-05-09,1.61192
2020-05-10,0.9873
2020-05-11,5.37981
2020-05-12,5.52085
2020-05-13,5.56115
2020-05-14,5.78279
2020-05-15,4.77533
2020-05-16,1.69252
2020-05-17,0.84626
2020-05-18,5.25891
2020-05-19,5.84323
2020-05-20,5.19846
2020-05-21,4.85593
2020-05-22,5.86338
2020-05-23,1.73282
2020-05-24,1.51118
2020-05-25,5.78279
2020-05-26,5.09772
2020-05-27,5.07757
2020-05-28,5.64174
2020-05-29,5.78279
2020-05-30,1.87386
2020-05-31,1.14849
2020-06-01,5.84323
2020-06-02,6.04473
2020-06-03,6.18577
2020-06-04,7.29397
2020-06-05,6.42756
2020-06-06,1.75297
2020-06-07,1.32984
2020-06-08,6.91114
2020-06-09,8.26113
2020-06-10,7.73725
2020-06-11,8.44247
2020-06-12,7.6768
2020-06-13,1.69252
2020-06-14,1.71267
2020-06-15,7.87829
2020-06-16,7.6768
2020-06-17,5.72234
2020-06-18,6.28652
2020-06-19,5.31936
2020-06-20,1.16864
2020-06-21,0.74551
2020-06-22,5.4604
2020-06-23,5.90368
2020-06-24,5.37981
2020-06-25,5.33951
2020-06-26,5.05742
2020-06-27,1.32984
2020-06-28,1.08805
2020-06-29,4.93653
2020-06-30,5.29921
2020-07-01,5.15817
2020-07-02,4.89623
2020-07-03,5.01712
2020-07-04,1.20894
2020-07-05,0.76566
2020-07-06,4.61414
2020-07-07,4.85593
2020-07-08,4.79548
2020-07-09,5.21861
2020-07-10,5.72234
2020-07-11,1.18879
2020-07-12,0.88656
2020-07-13,5.01712
2020-07-14,4.75518
2020-07-15,4.49325
2020-07-16,5.31936
2020-07-17,4.41265
2020-07-18,1.63207
2020-07-19,0.76566
2020-07-20,4.91638
2020-07-21,5.29921
2020-07-22,5.33951
2020-07-23,5.31936
2020-07-24,5.25891
2020-07-25,1.53133
2020-07-26,0.92685
2020-07-27,7.33427
2020-07-28,8.36187
2020-07-29,7.31412
2020-07-30,8.68426
2020-07-31,8.20068
2020-08-01,1.77312
2020-08-02,0.92685
2020-08-03,6.42756
2020-08-04,5.35966
2020-08-05,6.42756
2020-08-06,5.72234
2020-08-07,4.83578
2020-08-08,1.37013
2020-08-09,1.24924
2020-08-10,5.13802
2020-08-11,5.17831
2020-08-12,5.96413
2020-08-13,4.89623
2020-08-14,4.77533
2020-08-15,1.32984
2020-08-16,0.58432
2020-08-17,2.01491
2020-08-18,5.72234
2020-08-19,4.87608
2020-08-20,5.74249
2020-08-21,5.62159
2020-08-22,1.93431
2020-08-23,0.82611
2020-08-24,5.23876
2020-08-25,4.00967
2020-08-26,4.99697
2020-08-27,4.17086
2020-08-28,6.46786
2020-08-29,1.41043
2020-08-30,1.04775
2020-08-31,5.5007
2020-09-01,5.31936
2020-09-02,5.01712
2020-09-03,4.75518
2020-09-04,4.45295
2020-09-05,1.32984
2020-09-06,0.60447
2020-09-07,4.55369
2020-09-08,4.49325
2020-09-09,5.09772
2020-09-10,4.45295
2020-09-11,4.55369
2020-09-12,0.82611
2020-09-13,0.62462
2020-09-14,4.04996
2020-09-15,4.77533
2020-09-16,5.15817
2020-09-17,5.25891
2020-09-18,6.20592
2020-09-19,1.67237
2020-09-20,1.20894
2020-09-21,5.74249
2020-09-22,6.66935
2020-09-23,5.4201
2020-09-24,6.32681
2020-09-25,5.44025
2020-09-26,1.51118
2020-09-27,0.84626
2020-09-28,5.48055
2020-09-29,4.45295
2020-09-30,2.0955
2020-10-01,2.01491
2020-10-02,2.39774
2020-10-03,1.45073
2020-10-04,0.9873
2020-10-05,6.36711
2020-10-06,4.99697
2020-10-07,5.21861
2020-10-08,5.60145
2020-10-09,2.0955
2020-10-10,1.37013
2020-10-11,0.70521
2020-10-12,5.98428
2020-10-13,4.75518
2020-10-14,6.54845
2020-10-15,6.08502
2020-10-16,5.15817
2020-10-17,1.20894
2020-10-18,0.66492
2020-10-19,5.60145
2020-10-20,5.11787
2020-10-21,5.62159
2020-10-22,4.4328
2020-10-23,4.4328
2020-10-24,1.47088
2020-10-25,1.00745
2020-10-26,5.31936
2020-10-27,6.22607
2020-10-28,5.4604
2020-10-29,5.27906
2020-10-30,5.39995
2020-10-31,1.37013
2020-11-01,1.16864
2020-11-02,5.4604
2020-11-03,4.93653
2020-11-04,6.66935
2020-11-05,5.48055
2020-11-06,6.38726
2020-11-07,1.81341
2020-11-08,1.34998
2020-11-09,8.03949
2020-11-10,7.37457
2020-11-11,5.56115
2020-11-12,5.541
2020-11-13,4.75518
2020-11-14,1.95446
2020-11-15,1.16864
2020-11-16,5.37981
2020-11-17,5.03727
2020-11-18,5.76264
2020-11-19,5.98428
2020-11-20,5.39995
2020-11-21,1.71267
2020-11-22,1.12834
2020-11-23,4.81563
2020-11-24,5.60145
2020-11-25,5.17831
2020-11-26,4.77533
2020-11-27,5.07757
2020-11-28,1.73282
2020-11-29,0.9873
2020-11-30,5.05742
2020-12-01,4.87608
2020-12-02,5.62159
2020-12-03,7.27382
2020-12-04,8.28128
2020-12-05,3.00221
2020-12-06,2.15595
2020-12-07,7.21337
2020-12-08,6.38726
2020-12-09,4.83578
2020-12-10,4.69474
2020-12-11,4.61414
2020-12-12,1.55148
2020-12-13,1.20894
2020-12-14,4.21116
2020-12-15,3.94922
2020-12-16,4.79548
2020-12-17,4.59399
2020-12-18,5.25891
2020-12-19,1.61192
2020-12-20,1.18879
2020-12-21,5.01712
2020-12-22,5.13802
2020-12-23,4.63429
2020-12-24,4.59399
2020-12-25,1.83356
2020-12-26,1.30969
2020-12-27,0.84626
2020-12-28,4.49325
2020-12-29,4.69474
2020-12-30,4.33205
2020-12-31,3.22385
2021-01-01,1.51118
2021-01-02,1.12834
2021-01-03,1.12834
2021-01-04,5.39995
2021-01-05,5.15817
2021-01-06,5.4201
2021-01-07,4.57384
2021-01-08,4.00967
2021-01-09,1.59177
2021-01-10,0.58432
2021-01-11,4.17086
2021-01-12,4.33205
2021-01-13,4.3925
2021-01-14,3.96937
2021-01-15,3.92907
2021-01-16,1.12834
2021-01-17,1.47088
2021-01-18,4.89623
2021-01-19,4.77533
2021-01-20,4.59399
2021-01-21,3.92907
2021-01-22,3.82832
2021-01-23,1.14849
2021-01-24,1.04775
2021-01-25,3.94922
2021-01-26,3.86862
2021-01-27,3.94922
2021-01-28,4.73503
2021-01-29,4.57384
2021-01-30,2.07535
2021-01-31,0.72536
2021-02-01,4.33205
2021-02-02,4.00967
2021-02-03,4.55369
2021-02-04,3.90892
2021-02-05,4.55369
2021-02-06,1.1082
2021-02-07,0.76566
2021-02-08,4.4328
2021-02-09,4.23131
2021-02-10,3.82832
2021-02-11,1.45073
2021-02-12,1.20894
2021-02-13,0.9067
2021-02-14,1.08805
2021-02-15,3.68728
2021-02-16,4.83578
2021-02-17,4.53354
2021-02-18,4.29175
2021-02-19,4.04996
2021-02-20,1.26939
2021-02-21,0.947
2021-02-22,3.72758
2021-02-23,4.37235
2021-02-24,3.88877
2021-02-25,4.23131
2021-02-26,4.93653
2021-02-27,1.81341
2021-02-28,1.0276
2021-03-01,2.55893
2021-03-02,4.49325
2021-03-03,3.86862
2021-03-04,4.57384
2021-03-05,5.84323
2021-03-06,1.55148
2021-03-07,0.88656
2021-03-08,4.17086
2021-03-09,6.00443
2021-03-10,5.25891
2021-03-11,5.11787
2021-03-12,4.19101
2021-03-13,1.83356
2021-03-14,1.30969
2021-03-15,4.55369
2021-03-16,5.03727
2021-03-17,4.2716
2021-03-18,4.51339
2021-03-19,4.71489
2021-03-20,1.51118
2021-03-21,0.78581
2021-03-22,4.21116
2021-03-23,4.15071
2021-03-24,4.3119
2021-03-25,4.33205
2021-03-26,4.29175
2021-03-27,1.75297
2021-03-28,0.9067
2021-03-29,4.11041
2021-03-30,4.15071
2021-03-31,5.07757
2021-04-01,4.67459
2021-04-02,4.11041
2021-04-03,1.28954
2021-04-04,0.96715
2021-04-05,4.02982
2021-04-06,4.61414
2021-04-07,5.21861
2021-04-08,4.41265
2021-04-09,3.44549
2021-04-10,1.37013
2021-04-11,1.14849
2021-04-12,3.66713
2021-04-13,3.14326
2021-04-14,4.4731
2021-04-15,4.4328
2021-04-16,3.84847
2021-04-17,1.20894
2021-04-18,0.70521
2021-04-19,4.13056
2021-04-20,4.83578
2021-04-21,4.4328
2021-04-22,3.92907
2021-04-23,2.88132
2021-04-24,1.0679
2021-04-25,1.08805
2021-04-26,3.56639
2021-04-27,3.244
2021-04-28,4.15071
2021-04-29,3.82832
2021-04-30,3.80818
2021-05-01,1.37013
2021-05-02,0.9873
2021-05-03,3.68728
2021-05-04,3.244
2021-05-05,1.83356
2021-05-06,4.00967
2021-05-07,2.92161
2021-05-08,1.0679
2021-05-09,0.9873
2021-05-10,3.58654
2021-05-11,3.46564
2021-05-12,4.85593
2021-05-13,4.87608
2021-05-14,3.48579
2021-05-15,0.947
2021-05-16,0.68506
2021-05-17,4.4731
2021-05-18,4.41265
2021-05-19,2.0552
2021-05-20,3.82832
2021-05-21,4.29175
2021-05-22,1.28954
2021-05-23,0.86641
2021-05-24,4.07011
2021-05-25,3.96937
2021-05-26,4.55369
