date,두나무주가
2020-04-02,0.1917
2020-04-16,0.16774
2020-07-09,0.16774
2020-07-16,0.14378
2020-07-30,0.11981
2020-08-13,0.11981
2020-08-23,0.1917
2020-08-27,0.11981
2020-08-30,0.1917
2020-09-11,0.11981
2020-10-05,0.14378
2020-10-19,0.52719
2020-10-20,0.11981
2020-10-22,0.21567
2020-10-25,0.11981
2020-11-07,0.16774
2020-11-08,0.21567
2020-11-09,0.11981
2020-11-15,0.14378
2020-11-17,0.1917
2020-11-18,0.26359
2020-11-24,0.35945
2020-11-25,0.4553
2020-11-26,0.23963
2020-11-27,0.23963
2020-11-28,0.23963
2020-11-29,0.21567
2020-11-30,0.38341
2020-12-01,0.55116
2020-12-02,0.59908
2020-12-03,0.57512
2020-12-04,0.23963
2020-12-05,0.26359
2020-12-06,0.35945
2020-12-07,0.38341
2020-12-08,0.1917
2020-12-10,0.7189
2020-12-11,0.4553
2020-12-12,0.23963
2020-12-13,0.14378
2020-12-14,0.16774
2020-12-17,0.21567
2020-12-18,0.11981
2020-12-20,0.11981
2020-12-21,0.14378
2020-12-27,0.31152
2020-12-28,0.11981
2021-01-03,0.16774
2021-01-04,0.16774
2021-01-05,0.16774
2021-01-06,0.11981
2021-01-07,0.50323
2021-01-08,0.31152
2021-01-09,0.11981
2021-01-10,0.55116
2021-01-11,0.38341
2021-01-12,0.23963
2021-01-13,0.11981
2021-01-14,0.11981
2021-01-16,0.11981
2021-01-17,0.14378
2021-01-18,0.21567
2021-01-19,0.21567
2021-01-20,0.38341
2021-01-21,0.35945
2021-01-22,0.11981
2021-01-23,0.11981
2021-01-30,0.11981
2021-01-31,0.23963
2021-02-01,0.26359
2021-02-02,0.26359
2021-02-03,2.87562
2021-02-04,1.91708
2021-02-05,0.93457
2021-02-06,0.4553
2021-02-07,0.69494
2021-02-08,0.76683
2021-02-09,1.43781
2021-02-10,0.79079
2021-02-11,0.57512
2021-02-12,0.4553
2021-02-13,0.67098
2021-02-14,0.7189
2021-02-15,0.59908
