date,IPO일정
2020-03-25,0.27868
2020-04-01,0.27868
2020-04-08,0.23223
2020-04-27,0.41802
2020-04-29,0.23223
2020-05-06,0.6967
2020-05-07,0.32512
2020-05-08,0.23223
2020-05-11,0.51091
2020-05-13,0.46446
2020-05-14,0.32512
2020-05-17,0.23223
2020-05-18,0.41802
2020-05-19,0.65025
2020-05-20,0.83604
2020-05-21,0.6967
2020-05-22,1.20761
2020-05-23,0.27868
2020-05-24,0.23223
2020-05-26,1.02183
2020-05-27,0.6038
2020-05-28,1.30051
2020-05-29,1.02183
2020-05-30,0.6038
2020-06-01,0.51091
2020-06-02,0.51091
2020-06-03,1.25406
2020-06-04,0.88248
2020-06-05,0.78959
2020-06-06,0.27868
2020-06-07,0.27868
2020-06-08,1.57919
2020-06-09,1.20761
2020-06-10,0.6038
2020-06-11,0.55736
2020-06-12,0.92893
2020-06-13,0.46446
2020-06-14,0.46446
2020-06-15,0.88248
2020-06-16,0.92893
2020-06-17,1.71853
2020-06-18,1.06827
2020-06-19,0.55736
2020-06-21,0.41802
2020-06-22,1.67208
2020-06-23,2.64746
2020-06-24,3.71574
2020-06-25,4.18021
2020-06-26,5.43427
2020-06-27,2.183
2020-06-28,4.18021
2020-06-29,5.0627
2020-06-30,3.85508
2020-07-01,4.41244
2020-07-02,13.098
2020-07-03,18.30004
2020-07-04,11.47236
2020-07-05,13.098
2020-07-06,23.26985
2020-07-07,23.13051
2020-07-08,19.647
2020-07-09,21.31908
2020-07-10,13.7947
2020-07-11,8.08174
2020-07-12,8.03529
2020-07-13,19.55411
2020-07-14,18.90385
2020-07-15,17.18532
2020-07-16,22.57315
2020-07-17,16.25638
2020-07-18,9.38225
2020-07-19,9.38225
2020-07-20,15.69902
2020-07-21,13.74825
2020-07-22,15.55968
2020-07-23,16.48862
2020-07-24,13.19089
2020-07-25,6.82768
2020-07-26,7.47793
2020-07-27,12.07617
2020-07-28,13.14444
2020-07-29,12.16906
2020-07-30,11.79749
2020-07-31,10.49698
2020-08-01,5.7594
2020-08-02,5.7594
2020-08-03,12.86576
2020-08-04,18.11425
2020-08-05,14.53785
2020-08-06,16.48862
2020-08-07,17.69623
2020-08-08,13.0051
2020-08-09,11.14723
2020-08-10,21.22619
