date,비트코인가격
2020-03-20,7.84577
2020-03-21,6.06176
2020-03-22,4.7957
2020-03-23,6.90581
2020-03-24,6.0234
2020-03-25,5.86994
2020-03-26,5.52464
2020-03-27,4.75733
2020-03-28,3.64473
2020-03-29,3.16516
2020-03-30,3.74064
2020-03-31,3.52963
2020-04-01,3.26107
2020-04-02,3.10761
2020-04-03,2.87742
2020-04-04,2.14847
2020-04-05,2.18684
2020-04-06,3.72146
2020-04-07,4.1243
2020-04-08,3.64473
2020-04-09,3.31862
2020-04-10,2.70477
2020-04-11,2.1101
2020-04-12,2.1101
2020-04-13,2.39785
2020-04-14,2.49376
2020-04-15,1.38116
2020-04-16,2.3403
2020-04-17,2.60886
2020-04-18,1.87991
2020-04-19,1.89909
2020-04-20,2.24438
2020-04-21,2.37866
2020-04-22,2.45539
2020-04-23,2.58967
2020-04-24,3.18434
2020-04-25,2.3403
2020-04-26,1.97582
2020-04-27,3.47208
2020-04-28,2.66641
2020-04-29,3.39535
2020-04-30,5.17935
2020-05-01,3.51045
2020-05-02,2.64722
2020-05-03,3.03088
2020-05-04,2.68559
2020-05-05,2.37866
2020-05-06,3.3378
2020-05-07,3.51045
2020-05-08,3.97084
2020-05-09,2.80069
2020-05-10,3.68309
2020-05-11,5.4671
2020-05-12,4.69978
2020-05-13,4.20103
2020-05-14,4.58469
2020-05-15,3.26107
2020-05-16,2.57049
2020-05-17,2.58967
2020-05-18,3.31862
2020-05-19,2.55131
2020-05-20,2.58967
2020-05-21,2.39785
2020-05-22,2.49376
2020-05-23,2.18684
2020-05-24,2.18684
2020-05-25,2.45539
2020-05-26,2.30193
2020-05-27,2.51294
2020-05-28,2.66641
2020-05-29,2.18684
2020-05-30,1.97582
2020-05-31,1.82236
2020-06-01,2.30193
2020-06-02,3.35699
2020-06-03,3.16516
2020-06-04,2.57049
2020-06-05,2.60886
2020-06-06,2.3403
2020-06-07,2.60886
2020-06-08,2.7815
2020-06-09,2.30193
2020-06-10,2.41703
2020-06-11,2.41703
2020-06-12,2.16765
2020-06-13,1.32361
2020-06-14,1.49625
