date,네이처셀주가
2020-03-20,14.41699
2020-03-21,1.40007
2020-03-22,1.02167
2020-03-23,11.19519
2020-03-24,10.88707
2020-03-25,12.24931
2020-03-26,17.44959
2020-03-27,18.18476
2020-03-28,1.83253
2020-03-29,1.44872
2020-03-30,15.40623
2020-03-31,18.53613
2020-04-01,19.63349
2020-04-02,14.26563
2020-04-03,13.18449
2020-04-04,1.40007
2020-04-05,1.01086
2020-04-06,14.26023
2020-04-07,12.7196
2020-04-08,15.49272
2020-04-09,13.40613
2020-04-10,11.06546
2020-04-11,1.29736
2020-04-12,1.21628
2020-04-13,13.05475
2020-04-14,12.04389
2020-04-15,1.83253
2020-04-16,14.71971
2020-04-17,23.7202
2020-04-18,3.86507
2020-04-19,3.24341
2020-04-20,34.94783
2020-04-21,23.83912
2020-04-22,20.45515
2020-04-23,18.30909
2020-04-24,15.02243
2020-04-25,2.1893
2020-04-26,1.8109
2020-04-27,15.05486
2020-04-28,13.71425
2020-04-29,12.34661
2020-04-30,1.95686
2020-05-01,1.9947
2020-05-02,0.92977
2020-05-03,0.91896
2020-05-04,10.96275
2020-05-05,1.67036
2020-05-06,12.48716
2020-05-07,10.13568
2020-05-08,10.20055
2020-05-09,1.40548
2020-05-10,1.04329
2020-05-11,9.80593
2020-05-12,8.8329
2020-05-13,9.63295
2020-05-14,12.55743
2020-05-15,10.54651
2020-05-16,1.67576
2020-05-17,1.47575
2020-05-18,15.32515
2020-05-19,13.11422
2020-05-20,11.579
2020-05-21,10.64922
2020-05-22,8.9194
2020-05-23,0.78923
2020-05-24,0.9568
2020-05-25,9.50321
2020-05-26,9.8762
2020-05-27,8.42748
2020-05-28,8.52478
2020-05-29,7.76798
2020-05-30,0.8595
2020-05-31,0.59462
2020-06-01,8.29774
2020-06-02,9.26536
2020-06-03,9.61673
2020-06-04,8.74101
2020-06-05,8.62749
2020-06-06,0.78923
2020-06-07,0.87572
2020-06-08,11.04384
2020-06-09,9.46537
2020-06-10,9.1086
2020-06-11,9.114
2020-06-12,10.39515
2020-06-13,1.16222
2020-06-14,0.71355
2020-06-15,8.18963
2020-06-16,9.2113
2020-06-17,8.15719
2020-06-18,7.43283
2020-06-19,7.3085
2020-06-20,0.82166
2020-06-21,0.64868
2020-06-22,7.3085
2020-06-23,7.15173
2020-06-24,7.89231
2020-06-25,8.89237
2020-06-26,7.022
2020-06-27,0.60543
2020-06-28,0.573
2020-06-29,6.72468
2020-06-30,7.89772
2020-07-01,6.5517
2020-07-02,6.41115
2020-07-03,6.77333
2020-07-04,0.68111
2020-07-05,0.58381
2020-07-06,7.16254
2020-07-07,6.35169
2020-07-08,6.06519
2020-07-09,5.43272
2020-07-10,4.99486
2020-07-11,0.55678
2020-07-12,0.4811
2020-07-13,6.09762
2020-07-14,6.02735
2020-07-15,6.20574
2020-07-16,6.18952
2020-07-17,5.83815
2020-07-18,0.84869
2020-07-19,0.74058
2020-07-20,9.38429
2020-07-21,7.4058
2020-07-22,6.21114
2020-07-23,6.28142
2020-07-24,5.82734
2020-07-25,0.70814
2020-07-26,0.68652
2020-07-27,5.98951
2020-07-28,6.42196
2020-07-29,5.70841
2020-07-30,7.66527
2020-07-31,6.12465
2020-08-01,0.60543
2020-08-02,0.58922
2020-08-03,5.6976
2020-08-04,8.27071
2020-08-05,11.88712
2020-08-06,11.28169
2020-08-07,9.60051
2020-08-08,1.1406
2020-08-09,1.01086
2020-08-10,10.06
2020-08-11,7.94096
2020-08-12,6.82199
2020-08-13,12.31417
2020-08-14,12.25471
2020-08-15,1.36223
2020-08-16,1.08113
2020-08-17,2.87042
2020-08-18,11.30331
2020-08-19,9.0167
2020-08-20,8.7302
2020-08-21,12.12497
2020-08-22,1.4271
2020-08-23,1.2379
2020-08-24,10.18973
2020-08-25,13.36288
2020-08-26,14.28185
2020-08-27,12.525
2020-08-28,11.44926
2020-08-29,1.3298
2020-08-30,1.09735
2020-08-31,9.95729
2020-09-01,9.59511
2020-09-02,8.31396
2020-09-03,8.82209
2020-09-04,7.18957
2020-09-05,0.7622
2020-09-06,0.6703
2020-09-07,7.56797
2020-09-08,7.47607
2020-09-09,11.7736
2020-09-10,9.22752
2020-09-11,7.76258
2020-09-12,1.02708
2020-09-13,0.90275
2020-09-14,7.10849
2020-09-15,7.24363
2020-09-16,7.58419
2020-09-17,5.8868
2020-09-18,6.11924
2020-09-19,0.90815
2020-09-20,0.5784
2020-09-21,6.38953
2020-09-22,5.85437
2020-09-23,5.40569
2020-09-24,5.28136
2020-09-25,5.17865
2020-09-26,0.55138
2020-09-27,0.40002
2020-09-28,6.03275
2020-09-29,6.21655
2020-09-30,0.60543
2020-10-01,0.46488
2020-10-02,0.62165
2020-10-03,0.40542
2020-10-04,0.51894
2020-10-05,7.10849
2020-10-06,5.74625
2020-10-07,6.41656
2020-10-08,5.89761
2020-10-09,0.84328
2020-10-10,0.52975
2020-10-11,0.50272
2020-10-12,5.62733
2020-10-13,7.52473
2020-10-14,5.69219
2020-10-15,5.09216
2020-10-16,4.96783
2020-10-17,0.47029
2020-10-18,0.35137
2020-10-19,5.65435
2020-10-20,4.80025
2020-10-21,5.40029
2020-10-22,4.00021
2020-10-23,3.97859
2020-10-24,0.42164
2020-10-25,0.39461
2020-10-26,3.96237
2020-10-27,3.64884
2020-10-28,3.91372
2020-10-29,4.11914
2020-10-30,3.74074
2020-10-31,0.40542
2020-11-01,0.23785
2020-11-02,3.83804
2020-11-03,4.06508
2020-11-04,4.29752
2020-11-05,5.19487
2020-11-06,4.19482
2020-11-07,0.42164
2020-11-08,0.38921
2020-11-09,4.4597
2020-11-10,4.12995
2020-11-11,4.38402
2020-11-12,3.90831
2020-11-13,3.68128
2020-11-14,0.37839
2020-11-15,0.2919
2020-11-16,4.03805
2020-11-17,3.77317
2020-11-18,3.74614
2020-11-19,4.51916
2020-11-20,7.595
2020-11-21,0.88112
2020-11-22,0.69192
2020-11-23,5.82193
2020-11-24,5.49759
2020-11-25,4.95702
2020-11-26,4.6543
2020-11-27,4.81647
2020-11-28,0.54597
2020-11-29,0.41623
2020-11-30,4.47591
2020-12-01,5.14081
2020-12-02,4.49213
2020-12-03,4.42186
2020-12-04,6.30844
2020-12-05,0.79463
2020-12-06,0.61084
2020-12-07,6.13546
2020-12-08,5.92464
2020-12-09,6.34088
2020-12-10,6.95713
2020-12-11,6.63279
2020-12-12,0.78382
2020-12-13,1.50278
2020-12-14,8.58965
2020-12-15,6.09222
2020-12-16,5.77328
2020-12-17,5.503
2020-12-18,5.07054
2020-12-19,0.84328
2020-12-20,0.72436
2020-12-21,4.98945
2020-12-22,5.49759
2020-12-23,5.49759
2020-12-24,5.40569
2020-12-25,0.58381
2020-12-26,0.35677
2020-12-27,0.37839
2020-12-28,6.20574
2020-12-29,6.62738
2020-12-30,7.62743
2020-12-31,1.48656
2021-01-01,0.573
2021-01-02,0.51354
2021-01-03,0.56219
2021-01-04,6.54629
2021-01-05,6.19492
2021-01-06,7.29228
2021-01-07,6.88145
2021-01-08,6.68144
2021-01-09,0.79463
2021-01-10,0.7622
2021-01-11,6.74631
2021-01-12,6.076
2021-01-13,5.82193
2021-01-14,5.51921
2021-01-15,5.06513
2021-01-16,0.71895
2021-01-17,0.62706
2021-01-18,5.20568
2021-01-19,5.58949
2021-01-20,4.95702
2021-01-21,5.61651
2021-01-22,4.84891
2021-01-23,0.54597
2021-01-24,0.5784
2021-01-25,5.58949
2021-01-26,5.17325
2021-01-27,4.67592
2021-01-28,4.32996
2021-01-29,4.63808
2021-01-30,0.62165
2021-01-31,0.64327
2021-02-01,5.27596
2021-02-02,4.50835
2021-02-03,6.40575
2021-02-04,5.36245
2021-02-05,5.23812
2021-02-06,0.74598
2021-02-07,0.70274
2021-02-08,5.00567
2021-02-09,4.7516
2021-02-10,4.77323
2021-02-11,0.58922
2021-02-12,0.38921
2021-02-13,0.56219
2021-02-14,0.52975
2021-02-15,5.58408
2021-02-16,5.37326
2021-02-17,5.2273
2021-02-18,4.87593
2021-02-19,4.64889
2021-02-20,0.68652
2021-02-21,0.65408
2021-02-22,5.02729
2021-02-23,4.32455
2021-02-24,4.35699
2021-02-25,4.83809
2021-02-26,3.97859
2021-02-27,0.61624
2021-02-28,0.50813
2021-03-01,0.52975
2021-03-02,6.15708
2021-03-03,5.7895
2021-03-04,4.3732
2021-03-05,4.65971
2021-03-06,0.68652
2021-03-07,0.59462
2021-03-08,5.44894
2021-03-09,6.34628
2021-03-10,6.68684
2021-03-11,5.40569
2021-03-12,5.58949
2021-03-13,1.20006
2021-03-14,1.57305
2021-03-15,14.58997
2021-03-16,9.85458
2021-03-17,7.51391
2021-03-18,8.61127
2021-03-19,8.13557
2021-03-20,1.07573
2021-03-21,0.86491
2021-03-22,7.22741
2021-03-23,7.43283
2021-03-24,7.1193
2021-03-25,8.87615
2021-03-26,8.09773
2021-03-27,1.04329
2021-03-28,0.86491
2021-03-29,6.76793
