date,비트코인선물거래
2020-03-22,0.668
2020-03-27,0.4676
2020-04-07,0.6012
2020-04-12,0.334
2020-05-08,0.334
2020-05-20,0.8016
2020-05-21,1.0688
2020-06-22,0.334
2020-06-24,0.334
2020-07-02,1.002
2020-07-09,0.334
2020-07-31,0.334
2020-08-02,0.668
2020-08-08,0.5344
2020-08-09,0.334
2020-08-10,0.5344
2020-08-11,0.6012
2020-08-12,0.668
2020-08-14,0.668
2020-08-17,0.334
2020-08-20,0.4008
2020-08-23,0.334
2020-08-25,0.6012
2020-08-28,0.334
2020-09-03,0.334
2020-09-04,0.4676
2020-09-06,0.334
2020-09-07,0.334
2020-09-10,0.668
2020-09-11,0.4676
2020-09-12,0.334
2020-09-14,0.334
2020-09-15,0.4008
2020-09-16,0.4008
2020-09-21,0.334
2020-09-22,0.5344
2020-09-24,0.334
2020-09-25,0.334
2020-10-01,0.7348
2020-10-03,0.334
2020-10-04,0.334
2020-10-05,0.4008
2020-10-06,0.334
2020-10-07,0.668
2020-10-08,0.4676
2020-10-10,0.9352
2020-10-15,0.4676
2020-10-21,0.334
2020-10-23,0.4008
2020-10-25,0.334
2020-11-01,0.4008
2020-11-04,0.334
2020-11-12,0.334
2020-11-16,0.334
2020-11-18,0.5344
2020-11-22,0.8016
2020-11-26,0.7348
2020-11-27,1.1356
2020-11-28,0.7348
2020-12-01,0.668
2020-12-04,0.8684
2020-12-07,0.334
2020-12-13,0.334
2020-12-14,0.334
2020-12-15,0.334
2020-12-17,1.2692
2020-12-18,0.8016
2020-12-19,0.8016
2020-12-20,1.1356
2020-12-21,0.334
2020-12-22,1.4028
2020-12-23,1.4028
2020-12-24,1.1356
2020-12-25,1.0688
2020-12-26,1.1356
2020-12-27,1.6032
2020-12-28,1.4028
2020-12-29,1.6032
2020-12-30,4.20841
2020-12-31,2.60521
2021-01-01,2.67201
2021-01-02,8.14963
2021-01-03,22.64529
2021-01-04,21.91048
2021-01-05,13.49365
2021-01-06,12.69205
2021-01-07,14.22845
2021-01-08,18.10287
2021-01-09,15.96526
2021-01-10,15.03006
2021-01-11,20.50768
2021-01-12,14.89645
2021-01-13,13.96125
2021-01-14,10.35404
2021-01-15,14.42885
2021-01-16,11.69004
2021-01-17,11.15564
2021-01-18,10.48764
2021-01-19,10.42084
2021-01-20,12.62525
2021-01-21,16.96726
2021-01-22,21.57648
2021-01-23,17.10086
2021-01-24,18.90447
2021-01-25,18.63727
2021-01-26,19.30527
2021-01-27,22.51169
2021-01-28,22.04408
2021-01-29,19.03807
2021-01-30,14.16165
2021-01-31,11.28924
2021-02-01,21.71008
2021-02-02,17.83567
