date,MDS테크주가
2023-05-07,1.48481
2023-05-08,9.62879
2023-05-09,8.41394
2023-05-10,8.29021
2023-05-11,12.65466
2023-05-12,8.70641
2023-05-13,1.33858
2023-05-14,1.1811
2023-05-15,8.14398
2023-05-16,8.81889
2023-05-17,9.38132
2023-05-18,28.58267
2023-05-19,29.52755
2023-05-20,3.16085
2023-05-21,2.76715
2023-05-22,15.82677
2023-05-23,15.59055
2023-05-24,22.54218
2023-05-25,60.43869
2023-05-26,34.70191
2023-05-27,4.91563
2023-05-28,3.62204
2023-05-29,5.1631
2023-05-30,29.13385
2023-05-31,29.05511
2023-06-01,20.7874
2023-06-02,18.25646
2023-06-03,2.37345
2023-06-04,2.29471
2023-06-05,15.41057
2023-06-06,2.44094
2023-06-07,16.05174
2023-06-08,13.01462
2023-06-09,13.76827
2023-06-10,2.17097
2023-06-11,1.61979
2023-06-12,12.35095
2023-06-13,13.73453
2023-06-14,13.46456
2023-06-15,16.28796
2023-06-16,11.60854
2023-06-17,1.61979
2023-06-18,1.30483
2023-06-19,10.01124
2023-06-20,8.24521
2023-06-21,9.05511
2023-06-22,6.94038
2023-06-23,5.973
2023-06-24,0.67491
2023-06-25,0.62992
2023-06-26,6.46794
2023-06-27,6.41169
2023-06-28,9.17885
2023-06-29,6.45669
2023-06-30,7.14285
2023-07-01,0.83239
2023-07-02,0.77615
2023-07-03,8.97637
2023-07-04,7.31158
2023-07-05,7.41282
2023-07-06,7.97525
2023-07-07,5.69178
2023-07-08,0.92238
2023-07-09,0.77615
2023-07-10,7.22159
2023-07-11,6.92913
2023-07-12,6.65916
2023-07-13,9.43757
2023-07-14,10.3487
2023-07-15,1.22609
2023-07-16,1.31608
2023-07-17,9.1451
2023-07-18,10.84364
2023-07-19,9.03262
2023-07-20,7.03037
2023-07-21,7.55905
2023-07-22,0.66366
2023-07-23,0.46119
2023-07-24,6.42294
2023-07-25,5.27559
2023-07-26,6.05174
2023-07-27,5.87176
2023-07-28,5.73678
2023-07-29,0.88863
2023-07-30,0.69741
2023-07-31,5.928
2023-08-01,6.51293
2023-08-02,5.1856
2023-08-03,3.92575
2023-08-04,4.3532
2023-08-05,0.42744
2023-08-06,0.46119
2023-08-07,4.55568
2023-08-08,4.08323
2023-08-09,3.90326
2023-08-10,3.65579
2023-08-11,4.00449
2023-08-12,0.30371
2023-08-13,0.3262
2023-08-14,3.13835
2023-08-15,0.53993
2023-08-16,3.66704
2023-08-17,3.68953
2023-08-18,3.38582
2023-08-19,0.43869
2023-08-20,0.43869
2023-08-21,4.45444
2023-08-22,5.93925
2023-08-23,5.15185
2023-08-24,9.65129
2023-08-25,5.34308
2023-08-26,0.71991
2023-08-27,0.42744
2023-08-28,5.65804
2023-08-29,8.31271
2023-08-30,13.11586
2023-08-31,10.56242
2023-09-01,7.37907
2023-09-02,0.80989
2023-09-03,1.00112
2023-09-04,9.21259
2023-09-05,7.12035
2023-09-06,6.51293
2023-09-07,6.98537
2023-09-08,6.07424
2023-09-09,0.80989
2023-09-10,0.86614
2023-09-11,7.80652
2023-09-12,6.18672
2023-09-13,5.27559
2023-09-14,5.68053
2023-09-15,4.51068
2023-09-16,0.67491
2023-09-17,0.64116
2023-09-18,4.54443
2023-09-19,4.04949
2023-09-20,3.48706
2023-09-21,3.43082
2023-09-22,3.77952
2023-09-23,0.38245
2023-09-24,0.31496
2023-09-25,3.02587
2023-09-26,3.34083
2023-09-27,2.89088
2023-09-28,0.3262
2023-09-29,0.19122
2023-09-30,0.19122
2023-10-01,0.21372
2023-10-02,0.3487
2023-10-03,0.24746
2023-10-04,3.07086
2023-10-05,3.08211
2023-10-06,3.38582
2023-10-07,0.33745
2023-10-08,0.24746
2023-10-09,0.3262
2023-10-10,3.61079
2023-10-11,3.5658
2023-10-12,5.44431
2023-10-13,3.55455
2023-10-14,0.3262
2023-10-15,0.3262
2023-10-16,3.88076
2023-10-17,4.24071
2023-10-18,2.93588
2023-10-19,2.80089
2023-10-20,2.60967
2023-10-21,0.26996
2023-10-22,0.17997
2023-10-23,3.01462
2023-10-24,3.70078
2023-10-25,3.55455
2023-10-26,2.90213
2023-10-27,2.90213
2023-10-28,0.16872
2023-10-29,0.13498
2023-10-30,2.81214
2023-10-31,2.48593
2023-11-01,2.68841
2023-11-02,2.42969
2023-11-03,3.1496
2023-11-04,0.26996
2023-11-05,0.23622
2023-11-06,3.92575
2023-11-07,3.20584
2023-11-08,3.32958
2023-11-09,3.28458
2023-11-10,2.51968
2023-11-11,0.3262
2023-11-12,0.31496
2023-11-13,2.47469
2023-11-14,3.10461
2023-11-15,3.28458
2023-11-16,2.56467
2023-11-17,2.47469
2023-11-18,0.24746
2023-11-19,0.25871
2023-11-20,3.47581
2023-11-21,4.96062
2023-11-22,7.99775
2023-11-23,4.82564
2023-11-24,3.71203
2023-11-25,0.38245
2023-11-26,0.48368
2023-11-27,3.41957
2023-11-28,3.47581
2023-11-29,2.76715
2023-11-30,2.63217
2023-12-01,2.63217
2023-12-02,0.35995
2023-12-03,0.30371
2023-12-04,2.85714
2023-12-05,2.32845
2023-12-06,3.18335
2023-12-07,2.3397
2023-12-08,3.27334
2023-12-09,0.3712
2023-12-10,0.47244
2023-12-11,3.55455
2023-12-12,2.87964
2023-12-13,2.83464
2023-12-14,2.7334
2023-12-15,2.7334
2023-12-16,0.48368
2023-12-17,0.3937
2023-12-18,2.48593
2023-12-19,2.29471
2023-12-20,2.23847
2023-12-21,2.31721
2023-12-22,2.28346
2023-12-23,0.35995
2023-12-24,0.30371
2023-12-25,0.33745
2023-12-26,2.92463
2023-12-27,3.21709
2023-12-28,5.00562
2023-12-29,1.78852
2023-12-30,0.52868
2023-12-31,0.69741
2024-01-01,1.01237
2024-01-02,4.88188
2024-01-03,4.07199
2024-01-04,3.1496
2024-01-05,4.21822
2024-01-06,1.02362
2024-01-07,0.95613
2024-01-08,5.39932
2024-01-09,9.51631
2024-01-10,6.18672
2024-01-11,5.87176
2024-01-12,4.09448
2024-01-13,0.89988
2024-01-14,0.52868
2024-01-15,4.88188
2024-01-16,4.46569
2024-01-17,4.90438
2024-01-18,3.83577
2024-01-19,8.31271
2024-01-20,2.45219
2024-01-21,2.17097
2024-01-22,10.75365
2024-01-23,7.07536
2024-01-24,5.75928
2024-01-25,5.33183
2024-01-26,5.62429
2024-01-27,1.19235
2024-01-28,0.92238
2024-01-29,4.81439
2024-01-30,3.71203
2024-01-31,3.35208
2024-02-01,3.59955
2024-02-02,3.91451
2024-02-03,0.71991
2024-02-04,0.59617
2024-02-05,3.71203
2024-02-06,3.99325
2024-02-07,4.17322
2024-02-08,3.5658
2024-02-09,0.64116
2024-02-10,0.53993
2024-02-11,1.14735
2024-02-12,1.83352
2024-02-13,16.15298
2024-02-14,15.62429
2024-02-15,10.3262
2024-02-16,9.86501
2024-02-17,2.57592
2024-02-18,2.63217
2024-02-19,13.27334
2024-02-20,12.67716
2024-02-21,11.24859
2024-02-22,15.46681
2024-02-23,21.14735
2024-02-24,4.34195
2024-02-25,2.53093
2024-02-26,14.21822
2024-02-27,10.79865
2024-02-28,9.5838
2024-02-29,8.44769
2024-03-01,1.5748
2024-03-02,2.71091
2024-03-03,1.97975
2024-03-04,12.29471
2024-03-05,11.48481
2024-03-06,9.10011
2024-03-07,9.22384
2024-03-08,11.5298
2024-03-09,2.13723
2024-03-10,1.93475
2024-03-11,9.24634
2024-03-12,8.51518
2024-03-13,9.79752
2024-03-14,7.45781
2024-03-15,6.53543
2024-03-16,1.1586
2024-03-17,1.1361
2024-03-18,8.25646
2024-03-19,7.14285
2024-03-20,7.39032
