date,압구정재건축
2020-11-07,11.22754
2020-11-08,14.47105
2020-11-09,16.51696
2020-11-10,15.61876
2020-11-11,19.96007
2020-11-12,17.31536
2020-11-13,16.96606
2020-11-14,15.71856
2020-11-15,17.61477
2020-11-16,25.499
2020-11-17,24.85029
2020-11-18,21.80638
2020-11-19,19.61077
2020-11-20,18.46307
2020-11-21,15.16966
2020-11-22,14.22155
2020-11-23,17.66467
2020-11-24,14.97005
2020-11-25,17.46506
2020-11-26,20.20958
2020-11-27,19.26147
2020-11-28,18.01397
2020-11-29,13.82235
2020-11-30,17.06586
2020-12-01,16.81636
2020-12-02,16.21756
2020-12-03,16.56686
2020-12-04,13.47305
2020-12-05,12.52495
2020-12-06,14.72055
2020-12-07,15.46906
2020-12-08,15.51896
2020-12-09,17.16566
2020-12-10,16.86626
2020-12-11,17.26546
2020-12-12,13.17365
2020-12-13,13.72255
2020-12-14,15.91816
2020-12-15,17.06586
2020-12-16,16.56686
2020-12-17,15.76846
2020-12-18,14.87025
2020-12-19,12.92415
2020-12-20,11.97604
2020-12-21,14.67065
2020-12-22,14.37125
2020-12-23,12.72455
2020-12-24,12.42514
2020-12-25,12.47504
2020-12-26,15.36926
2020-12-27,13.02395
2020-12-28,17.51497
2020-12-29,17.31536
2020-12-30,15.91816
2020-12-31,13.42315
2021-01-01,12.97405
2021-01-02,12.77445
2021-01-03,11.67664
2021-01-04,15.51896
2021-01-05,16.91616
2021-01-06,17.86427
2021-01-07,13.77245
2021-01-08,17.01596
2021-01-09,13.82235
2021-01-10,13.12375
2021-01-11,16.26746
2021-01-12,16.26746
2021-01-13,15.76846
2021-01-14,18.06387
2021-01-15,14.07185
2021-01-16,13.12375
2021-01-17,13.92215
2021-01-18,18.91217
2021-01-19,18.66267
2021-01-20,20.60878
2021-01-21,18.96207
2021-01-22,19.46107
2021-01-23,15.51896
2021-01-24,14.27145
2021-01-25,18.81237
2021-01-26,18.21357
2021-01-27,17.76447
2021-01-28,18.76247
2021-01-29,19.76047
2021-01-30,14.82035
2021-01-31,13.77245
2021-02-01,17.71457
2021-02-02,19.26147
2021-02-03,17.76447
2021-02-04,19.61077
2021-02-05,19.61077
2021-02-06,15.91816
2021-02-07,13.32335
2021-02-08,16.91616
2021-02-09,17.96407
2021-02-10,19.06187
2021-02-11,14.42115
2021-02-12,14.57085
2021-02-13,13.92215
2021-02-14,13.47305
2021-02-15,27.84431
2021-02-16,37.17564
2021-02-17,34.28143
2021-02-18,26.2475
2021-02-19,21.30738
2021-02-20,19.86027
2021-02-21,16.91616
2021-02-22,21.45708
2021-02-23,29.39121
2021-02-24,23.80239
2021-02-25,24.45109
2021-02-26,21.65668
2021-02-27,18.86227
2021-02-28,26.8463
2021-03-01,30.68862
2021-03-02,27.89421
2021-03-03,23.95209
2021-03-04,21.00798
2021-03-05,18.96207
2021-03-06,16.46706
2021-03-07,15.21956
2021-03-08,21.55688
2021-03-09,23.90219
2021-03-10,20.55888
2021-03-11,19.36127
2021-03-12,16.46706
2021-03-13,15.86826
2021-03-14,13.57285
2021-03-15,15.96806
2021-03-16,14.87025
2021-03-17,16.61676
2021-03-18,19.26147
2021-03-19,18.41317
2021-03-20,16.11776
2021-03-21,15.31936
2021-03-22,18.81237
2021-03-23,24.35129
2021-03-24,21.95608
2021-03-25,23.95209
2021-03-26,21.30738
2021-03-27,17.46506
2021-03-28,17.21556
2021-03-29,21.15768
2021-03-30,20.80838
2021-03-31,20.40918
2021-04-01,21.10778
2021-04-02,17.46506
2021-04-03,14.12175
2021-04-04,14.12175
2021-04-05,19.21157
2021-04-06,24.70059
2021-04-07,21.30738
2021-04-08,27.1457
2021-04-09,22.80439
2021-04-10,19.01197
2021-04-11,16.06786
2021-04-12,21.50698
2021-04-13,24.65069
2021-04-14,22.00598
2021-04-15,22.10578
2021-04-16,19.91017
2021-04-17,15.71856
2021-04-18,13.97205
2021-04-19,25.5489
2021-04-20,22.00598
2021-04-21,23.60279
2021-04-22,21.40718
2021-04-23,17.36526
2021-04-24,14.17165
2021-04-25,15.71856
2021-04-26,21.85628
2021-04-27,21.80638
2021-04-28,17.86427
2021-04-29,17.61477
2021-04-30,15.76846
2021-05-01,12.92415
2021-05-02,11.47704
2021-05-03,16.06786
2021-05-04,15.31936
2021-05-05,13.62275
2021-05-06,15.41916
2021-05-07,14.07185
2021-05-08,12.07584
2021-05-09,11.62674
2021-05-10,12.87425
2021-05-11,12.32534
2021-05-12,12.92415
2021-05-13,11.37724
2021-05-14,12.52495
2021-05-15,9.68063
2021-05-16,10.02994
2021-05-17,11.27744
2021-05-18,11.42714
2021-05-19,9.58083
2021-05-20,11.37724
2021-05-21,12.37524
2021-05-22,8.08383
2021-05-23,9.48103
2021-05-24,11.57684
2021-05-25,12.17564
2021-05-26,13.07385
2021-05-27,11.57684
2021-05-28,10.42914
2021-05-29,10.52894
2021-05-30,8.63273
2021-05-31,12.92415
2021-06-01,11.72654
2021-06-02,12.02594
2021-06-03,12.02594
2021-06-04,11.92614
2021-06-05,9.63073
2021-06-06,9.63073
2021-06-07,11.97604
2021-06-08,11.87624
2021-06-09,14.87025
2021-06-10,13.87225
2021-06-11,12.97405
2021-06-12,10.97804
2021-06-13,10.32934
2021-06-14,11.97604
2021-06-15,12.32534
2021-06-16,12.27544
2021-06-17,13.17365
2021-06-18,11.77644
2021-06-19,10.22954
2021-06-20,9.78043
2021-06-21,12.07584
2021-06-22,11.97604
2021-06-23,12.62475
2021-06-24,11.92614
2021-06-25,10.92814
2021-06-26,10.62874
2021-06-27,9.83033
2021-06-28,12.77445
2021-06-29,11.67664
2021-06-30,13.17365
2021-07-01,10.47904
2021-07-02,13.17365
2021-07-03,10.77844
2021-07-04,9.93013
2021-07-05,11.37724
2021-07-06,12.62475
2021-07-07,11.77644
2021-07-08,13.12375
2021-07-09,10.07984
2021-07-10,9.73053
2021-07-11,8.58283
2021-07-12,12.62475
2021-07-13,12.42514
2021-07-14,13.77245
2021-07-15,12.67465
2021-07-16,10.42914
2021-07-17,9.43113
2021-07-18,9.48103
2021-07-19,11.67664
2021-07-20,10.72854
2021-07-21,11.72654
2021-07-22,11.17764
2021-07-23,8.73253
2021-07-24,7.93413
2021-07-25,9.88023
2021-07-26,10.42914
2021-07-27,11.37724
2021-07-28,8.68263
2021-07-29,8.28343
2021-07-30,9.43113
2021-07-31,6.43712
2021-08-01,7.48502
2021-08-02,8.43313
2021-08-03,9.93013
2021-08-04,9.48103
2021-08-05,9.93013
2021-08-06,10.62874
2021-08-07,8.68263
2021-08-08,7.78443
2021-08-09,9.98003
2021-08-10,11.67664
2021-08-11,9.98003
2021-08-12,11.42714
2021-08-13,9.93013
2021-08-14,8.33333
2021-08-15,7.68463
2021-08-16,9.53093
2021-08-17,10.37924
2021-08-18,11.27744
2021-08-19,14.57085
2021-08-20,12.22554
2021-08-21,10.82834
2021-08-22,10.82834
2021-08-23,12.47504
2021-08-24,11.72654
2021-08-25,11.77644
2021-08-26,10.97804
2021-08-27,11.47704
2021-08-28,8.83233
