date,록히드마틴
2020-03-20,5.44525
2020-03-21,6.4478
2020-03-22,5.46491
2020-03-23,5.52388
2020-03-24,6.78199
2020-03-25,5.11106
2020-03-26,5.38627
2020-03-27,5.0914
2020-03-28,4.10851
2020-03-29,4.77688
2020-03-30,4.77688
2020-03-31,4.28543
2020-04-01,4.93414
2020-04-02,4.28543
2020-04-03,3.49911
2020-04-04,2.63416
2020-04-05,3.2239
2020-04-06,4.02988
2020-04-07,4.52132
2020-04-08,3.91193
2020-04-09,3.38116
2020-04-10,3.26321
2020-04-11,2.65382
2020-04-12,2.51621
2020-04-13,3.40082
2020-04-14,4.18714
2020-04-15,5.01277
2020-04-16,4.9538
2020-04-17,5.17004
2020-04-18,4.77688
2020-04-19,4.7179
2020-04-20,5.64183
2020-04-21,12.75801
2020-04-22,9.04265
2020-04-23,6.70336
2020-04-24,5.95635
2020-04-25,6.05464
2020-04-26,3.63672
2020-04-27,4.83585
2020-04-28,6.88028
2020-04-29,5.62217
2020-04-30,3.95124
2020-05-01,4.10851
2020-05-02,3.20424
2020-05-03,2.71279
2020-05-04,2.81108
2020-05-05,3.38116
2020-05-06,3.65637
2020-05-07,3.93159
2020-05-08,3.26321
2020-05-09,2.26066
2020-05-10,2.14271
2020-05-11,3.61706
2020-05-12,2.65382
2020-05-13,2.92903
2020-05-14,3.16493
2020-05-15,4.42303
2020-05-16,4.10851
2020-05-17,3.02732
2020-05-18,3.85295
2020-05-19,3.67603
2020-05-20,3.69569
2020-05-21,6.4478
2020-05-22,4.69825
2020-05-23,3.00766
2020-05-24,3.2239
2020-05-25,3.26321
2020-05-26,3.75466
2020-05-27,4.73756
2020-05-28,9.04265
2020-05-29,6.40849
2020-05-30,3.77432
2020-05-31,3.87261
2020-06-01,4.5803
2020-06-02,4.75722
2020-06-03,3.89227
2020-06-04,4.77688
2020-06-05,4.10851
2020-06-06,3.30253
2020-06-07,2.81108
2020-06-08,4.40338
2020-06-09,4.77688
2020-06-10,4.16748
2020-06-11,4.01022
2020-06-12,5.07175
2020-06-13,2.77177
2020-06-14,2.73245
2020-06-15,3.47945
2020-06-16,6.56575
2020-06-17,5.46491
2020-06-18,4.93414
2020-06-19,4.40338
2020-06-20,2.988
2020-06-21,2.51621
2020-06-22,2.94869
2020-06-23,3.44014
2020-06-24,4.50167
2020-06-25,3.91193
2020-06-26,3.65637
2020-06-27,2.988
2020-06-28,1.98545
2020-06-29,3.32219
2020-06-30,2.71279
2020-07-01,2.90937
2020-07-02,3.2239
2020-07-03,3.2239
2020-07-04,2.29998
2020-07-05,2.29998
2020-07-06,2.55553
2020-07-07,4.02988
2020-07-08,4.12816
2020-07-09,5.26833
2020-07-10,5.60251
2020-07-11,2.83074
2020-07-12,2.1034
2020-07-13,2.92903
2020-07-14,5.40593
2020-07-15,4.75722
2020-07-16,3.5974
2020-07-17,3.18458
2020-07-18,2.37861
2020-07-19,2.67348
2020-07-20,2.79142
2020-07-21,8.98368
2020-07-22,5.74012
