date,주식매매방
2021-01-07,5.73012
2021-01-08,5.54528
2021-01-09,4.06654
2021-01-10,6.65434
2021-01-11,5.1756
2021-01-12,4.62107
2021-01-13,5.54528
2021-01-14,3.51201
2021-01-15,6.09981
2021-01-16,5.91497
2021-01-17,7.20887
2021-01-18,4.99075
2021-01-19,7.57855
2021-01-20,4.80591
2021-01-21,5.36044
2021-01-22,6.4695
2021-01-23,7.57855
2021-01-24,4.99075
2021-01-25,7.20887
2021-01-26,4.80591
2021-01-27,5.54528
2021-01-28,4.06654
2021-01-29,2.95748
2021-01-30,2.95748
2021-01-31,6.09981
2021-02-01,4.99075
2021-02-02,58.96487
2021-02-03,75.41589
2021-02-04,38.07763
2021-02-05,27.54158
2021-02-06,22.36598
2021-02-07,24.95378
2021-02-08,20.14787
2021-02-09,16.45101
2021-02-10,12.56931
2021-02-11,11.82994
2021-02-12,9.98151
2021-02-13,13.30868
2021-02-14,10.72088
2021-02-15,15.5268
2021-02-16,12.56931
2021-02-17,13.30868
2021-02-18,5.36044
2021-02-19,7.57855
2021-02-20,7.39371
2021-02-21,10.16635
2021-02-22,7.02402
2021-02-23,6.4695
2021-02-24,7.57855
2021-02-25,9.61182
2021-02-26,4.99075
2021-02-27,6.28465
2021-02-28,6.28465
2021-03-01,2.95748
2021-03-02,5.1756
2021-03-03,4.62107
2021-03-04,6.83918
2021-03-05,3.69685
2021-03-06,6.4695
2021-03-07,4.25138
2021-03-08,4.25138
2021-03-09,2.40295
2021-03-10,4.25138
2021-03-11,4.06654
2021-03-12,2.21811
2021-03-13,5.36044
2021-03-14,2.95748
2021-03-15,6.09981
2021-03-16,3.8817
2021-03-17,5.36044
2021-03-18,2.21811
2021-03-19,3.69685
2021-03-20,4.80591
2021-03-21,5.1756
2021-03-22,2.95748
2021-03-23,2.77264
2021-03-24,3.69685
2021-03-25,4.62107
2021-03-26,3.32717
2021-03-27,48.79852
2021-03-28,100.0
2021-03-29,67.2828
2021-03-30,27.54158
2021-03-31,22.92051
2021-04-01,10.72088
2021-04-02,6.09981
2021-04-03,7.02402
2021-04-04,10.3512
2021-04-05,10.16635
2021-04-06,5.73012
2021-04-07,5.91497
2021-04-08,5.36044
2021-04-09,7.20887
2021-04-10,2.03327
2021-04-11,6.83918
2021-04-12,5.36044
2021-04-13,5.54528
2021-04-14,3.32717
2021-04-15,2.21811
2021-04-16,2.40295
2021-04-17,2.77264
2021-04-18,3.51201
2021-04-19,4.25138
2021-04-20,4.06654
2021-04-21,2.03327
2021-04-22,1.47874
2021-04-23,6.4695
2021-04-24,8.50277
2021-04-25,6.4695
2021-04-26,6.83918
2021-04-27,5.54528
2021-04-28,2.21811
2021-04-29,4.43622
2021-05-01,3.14232
2021-05-02,3.69685
2021-05-03,2.77264
2021-05-04,2.95748
2021-05-05,2.21811
2021-05-06,3.14232
2021-05-07,1.84842
2021-05-08,3.14232
2021-05-09,4.62107
2021-05-10,1.10905
2021-05-11,3.32717
2021-05-12,4.43622
2021-05-13,1.10905
2021-05-14,2.95748
2021-05-15,2.21811
2021-05-16,3.32717
2021-05-17,2.40295
2021-05-18,3.8817
2021-05-19,19.77818
2021-05-20,7.57855
2021-05-21,6.65434
2021-05-22,2.40295
2021-05-23,3.8817
2021-05-24,2.5878
2021-05-25,3.32717
2021-05-26,2.95748
2021-05-27,2.5878
2021-05-28,3.32717
2021-05-29,1.66358
2021-05-30,3.51201
2021-05-31,1.10905
2021-06-01,2.77264
2021-06-02,1.47874
2021-06-03,1.47874
2021-06-04,21.81146
2021-06-05,35.48983
2021-06-06,20.33271
2021-06-07,10.53604
2021-06-08,2.40295
2021-06-09,2.95748
2021-06-10,0.92421
2021-06-11,3.69685
2021-06-12,2.95748
2021-06-13,2.77264
2021-06-14,1.47874
2021-06-15,2.5878
2021-06-16,2.95748
2021-06-17,0.92421
2021-06-18,2.5878
2021-06-19,2.03327
2021-06-20,3.32717
2021-06-21,2.77264
2021-06-22,3.14232
2021-06-23,3.14232
2021-06-24,1.84842
2021-06-25,1.66358
2021-06-26,3.14232
2021-06-28,2.40295
2021-06-29,2.95748
2021-06-30,3.32717
2021-07-01,2.5878
2021-07-02,4.06654
2021-07-03,7.20887
2021-07-04,2.95748
2021-07-05,1.66358
2021-07-06,2.03327
2021-07-07,2.5878
2021-07-10,1.66358
2021-07-11,2.21811
2021-07-12,1.10905
2021-07-13,0.92421
2021-07-14,2.03327
2021-07-15,1.84842
