date,LS주가
2020-03-20,1.70598
2020-03-21,0.29152
2020-03-22,0.24833
2020-03-23,1.51703
2020-03-24,1.6466
2020-03-25,1.58181
2020-03-26,1.65739
2020-03-27,1.70058
2020-03-28,0.12416
2020-03-29,0.15116
2020-03-30,1.47924
2020-03-31,1.83015
2020-04-01,1.99211
2020-04-02,1.86254
2020-04-03,1.56022
2020-04-04,0.19435
2020-04-05,0.16735
2020-04-06,1.87334
2020-04-07,1.85175
2020-04-08,1.67899
2020-04-09,1.60881
2020-04-10,1.45764
2020-04-11,0.34551
2020-04-12,0.34551
2020-04-13,1.55482
2020-04-14,1.2309
2020-04-15,0.19435
2020-04-16,1.18231
2020-04-17,1.31728
2020-04-18,0.20515
2020-04-19,0.14036
2020-04-20,1.33887
2020-04-21,2.01911
2020-04-22,1.67899
2020-04-23,1.40905
2020-04-24,1.03115
2020-04-25,0.18895
2020-04-26,0.09717
2020-04-27,1.50623
2020-04-28,1.29568
2020-04-29,1.54402
2020-04-30,0.32932
2020-05-01,0.23214
2020-05-02,0.21594
2020-05-03,0.10257
2020-05-04,1.31188
2020-05-05,0.16735
2020-05-06,1.31188
2020-05-07,1.06894
2020-05-08,1.04194
2020-05-09,0.20515
2020-05-10,0.15116
2020-05-11,1.18771
2020-05-12,1.03654
2020-05-13,1.2147
2020-05-14,0.89078
2020-05-15,1.00415
2020-05-16,0.06478
2020-05-17,0.09717
2020-05-18,1.16071
2020-05-19,1.56022
2020-05-20,1.55482
2020-05-21,1.75997
2020-05-22,1.37126
2020-05-23,0.11877
2020-05-24,0.10797
2020-05-25,1.33887
2020-05-26,1.89494
2020-05-27,1.92193
2020-05-28,1.43065
2020-05-29,1.41985
2020-05-30,0.15656
2020-05-31,0.08637
2020-06-01,1.32807
2020-06-02,1.54402
2020-06-03,2.20266
2020-06-04,2.0623
2020-06-05,1.72758
2020-06-06,0.31852
2020-06-07,0.18895
2020-06-08,1.47384
2020-06-09,1.60341
2020-06-10,1.72758
2020-06-11,1.6304
2020-06-12,1.27409
2020-06-13,0.16196
2020-06-14,0.10797
2020-06-15,1.27949
2020-06-16,1.26869
2020-06-17,1.40905
2020-06-18,1.02575
2020-06-19,1.2255
2020-06-20,0.14576
2020-06-21,0.07018
2020-06-22,1.40366
2020-06-23,1.28488
2020-06-24,1.45764
2020-06-25,1.2147
2020-06-26,0.89618
2020-06-27,0.12956
2020-06-28,0.08098
2020-06-29,1.17691
2020-06-30,1.44684
2020-07-01,1.28488
2020-07-02,1.34967
2020-07-03,1.2255
2020-07-04,0.10797
2020-07-05,0.16196
2020-07-06,1.08513
2020-07-07,1.47384
2020-07-08,1.18231
2020-07-09,1.48464
2020-07-10,1.26329
2020-07-11,0.08637
2020-07-12,0.13496
2020-07-13,1.57641
2020-07-14,1.56562
2020-07-15,1.76537
2020-07-16,1.84095
2020-07-17,2.30524
2020-07-18,0.11337
2020-07-19,0.36711
2020-07-20,2.78572
2020-07-21,2.8721
2020-07-22,3.94644
2020-07-23,3.05566
2020-07-24,2.49959
2020-07-25,0.16735
2020-07-26,0.28613
2020-07-27,2.84511
2020-07-28,2.92609
2020-07-29,2.69394
2020-07-30,2.40781
2020-07-31,1.99751
2020-08-01,0.23754
2020-08-02,0.19975
2020-08-03,2.14328
2020-08-04,2.00831
2020-08-05,2.35383
2020-08-06,2.84511
2020-08-07,2.66155
2020-08-08,0.32392
2020-08-09,0.50207
2020-08-10,2.90989
2020-08-11,2.79112
2020-08-12,2.71014
2020-08-13,2.55358
2020-08-14,2.24585
2020-08-15,0.19975
2020-08-16,0.23214
2020-08-17,0.36171
2020-08-18,2.16487
2020-08-19,2.43481
2020-08-20,2.0569
2020-08-21,1.72218
2020-08-22,0.22674
2020-08-23,0.13496
2020-08-24,1.99211
2020-08-25,2.28904
2020-08-26,2.11088
2020-08-27,1.94352
2020-08-28,2.41321
2020-08-29,0.13496
2020-08-30,0.15656
2020-08-31,3.14743
2020-09-01,2.79652
2020-09-02,2.4564
2020-09-03,3.6981
2020-09-04,6.96971
2020-09-05,1.45224
2020-09-06,1.44145
2020-09-07,11.84473
2020-09-08,8.6757
2020-09-09,8.78367
2020-09-10,7.10468
2020-09-11,5.29611
2020-09-12,0.77201
2020-09-13,0.76121
2020-09-14,5.90617
2020-09-15,5.99254
2020-09-16,5.39869
2020-09-17,4.21637
2020-09-18,3.78988
2020-09-19,0.52907
2020-09-20,0.51827
2020-09-21,3.56853
2020-09-22,3.71969
2020-09-23,4.91281
2020-09-24,3.90865
2020-09-25,3.14743
2020-09-26,0.42109
2020-09-27,0.28613
2020-09-28,3.47675
2020-09-29,2.81811
2020-09-30,0.31852
2020-10-01,0.23754
2020-10-02,0.30772
2020-10-03,0.24833
2020-10-04,0.43189
2020-10-05,3.76828
2020-10-06,4.65367
2020-10-07,3.62792
2020-10-08,3.67651
2020-10-09,0.42649
2020-10-10,0.54526
2020-10-11,0.55066
2020-10-12,3.12044
2020-10-13,3.304
2020-10-14,3.23381
2020-10-15,2.8667
2020-10-16,2.4618
