date,신용카드당일발급
2020-03-20,44.30379
2020-03-21,11.3924
2020-03-22,8.86075
2020-03-23,20.25316
2020-03-24,26.58227
2020-03-25,22.78481
2020-03-26,22.78481
2020-03-27,31.64556
2020-03-28,11.3924
2020-03-29,15.18987
2020-03-30,39.2405
2020-03-31,25.31645
2020-04-01,30.37974
2020-04-02,27.8481
2020-04-03,27.8481
2020-04-04,16.45569
2020-04-05,7.59493
2020-04-06,25.31645
2020-04-07,21.51898
2020-04-08,41.77215
2020-04-09,39.2405
2020-04-10,40.50632
2020-04-11,15.18987
2020-04-12,22.78481
2020-04-13,31.64556
2020-04-14,27.8481
2020-04-15,22.78481
2020-04-16,49.36708
2020-04-17,37.97468
2020-04-18,6.32911
2020-04-19,18.98734
2020-04-20,32.91139
2020-04-21,21.51898
2020-04-22,35.44303
2020-04-23,36.70886
2020-04-24,32.91139
2020-04-25,11.3924
2020-04-26,26.58227
2020-04-27,93.67088
2020-04-28,100.0
2020-04-29,87.34177
2020-04-30,63.29113
2020-05-01,30.37974
2020-05-02,11.3924
2020-05-03,25.31645
2020-05-04,82.27848
2020-05-05,31.64556
2020-05-06,27.8481
2020-05-07,24.05063
2020-05-08,31.64556
2020-05-09,12.65822
2020-05-10,17.72151
2020-05-11,43.03797
2020-05-12,22.78481
2020-05-13,27.8481
2020-05-14,48.10126
2020-05-15,29.11392
2020-05-17,10.12658
2020-05-18,22.78481
2020-05-19,26.58227
2020-05-20,25.31645
2020-05-21,27.8481
2020-05-22,15.18987
2020-05-23,18.98734
2020-05-24,10.12658
2020-05-25,27.8481
2020-05-26,29.11392
2020-05-27,34.17721
2020-05-28,25.31645
2020-05-29,30.37974
2020-05-30,13.92405
2020-05-31,13.92405
2020-06-01,32.91139
2020-06-02,15.18987
2020-06-03,17.72151
2020-06-04,20.25316
2020-06-05,20.25316
2020-06-06,7.59493
2020-06-08,30.37974
2020-06-09,22.78481
2020-06-10,24.05063
2020-06-11,27.8481
2020-06-12,26.58227
2020-06-13,10.12658
2020-06-14,21.51898
2020-06-15,17.72151
2020-06-16,22.78481
2020-06-17,18.98734
2020-06-18,30.37974
2020-06-19,16.45569
2020-06-20,12.65822
2020-06-21,11.3924
2020-06-22,24.05063
2020-06-23,30.37974
2020-06-24,20.25316
2020-06-25,16.45569
2020-06-26,29.11392
2020-06-27,15.18987
2020-06-28,12.65822
2020-06-29,41.77215
2020-06-30,22.78481
2020-07-01,25.31645
2020-07-02,29.11392
2020-07-03,26.58227
2020-07-04,10.12658
2020-07-05,13.92405
2020-07-06,29.11392
2020-07-07,10.12658
2020-07-08,22.78481
2020-07-09,21.51898
2020-07-10,17.72151
2020-07-11,12.65822
2020-07-12,20.25316
2020-07-13,26.58227
2020-07-14,31.64556
2020-07-15,22.78481
2020-07-16,34.17721
2020-07-17,34.17721
2020-07-18,8.86075
2020-07-20,20.25316
2020-07-21,27.8481
2020-07-22,26.58227
2020-07-23,36.70886
2020-07-24,17.72151
2020-07-25,16.45569
2020-07-26,13.92405
2020-07-27,21.51898
2020-07-28,22.78481
2020-07-29,30.37974
