date,도지코인전망
2021-01-03,0.01067
2021-01-04,0.01067
2021-01-05,0.01067
2021-01-09,0.00889
2021-01-10,0.01067
2021-01-17,0.01245
2021-01-29,0.02667
2021-01-30,0.0498
2021-01-31,0.02134
2021-02-01,0.03557
2021-02-02,0.05691
2021-02-03,0.03201
2021-02-04,0.03557
2021-02-05,0.08715
2021-02-06,0.05513
2021-02-07,0.11916
2021-02-08,0.2988
2021-02-09,0.249
2021-02-10,0.19208
2021-02-11,0.41263
2021-02-12,0.30591
2021-02-13,0.24188
2021-02-14,0.29346
2021-02-15,0.31481
2021-02-16,0.37172
2021-02-17,0.31125
2021-02-18,0.33081
2021-02-19,0.22766
2021-02-20,0.37884
2021-02-21,0.32014
2021-02-22,0.33437
2021-02-23,0.18497
2021-02-24,18.26977
2021-02-25,7.70133
2021-02-26,4.53898
2021-02-27,2.94002
2021-02-28,2.15566
2021-03-01,1.52248
2021-03-02,2.0027
2021-03-03,2.00092
2021-03-04,2.18234
2021-03-05,1.58295
2021-03-06,1.38019
2021-03-07,1.30549
2021-03-08,2.24103
2021-03-09,3.7066
2021-03-10,2.67145
2021-03-11,2.56651
2021-03-12,2.40288
2021-03-13,2.46513
2021-03-14,3.57498
2021-03-15,3.6977
2021-03-16,3.08764
2021-03-17,2.45268
2021-03-18,2.51849
2021-03-19,2.49003
2021-03-20,2.88311
2021-03-21,2.14854
2021-03-22,2.81196
2021-03-23,2.05961
2021-03-24,2.34063
2021-03-25,1.58651
2021-03-26,1.18632
2021-03-27,1.3624
2021-03-28,1.82306
2021-03-29,2.18945
2021-03-30,2.83686
2021-03-31,2.85998
2021-04-01,8.39143
2021-04-02,12.14783
2021-04-03,7.88809
2021-04-04,5.72175
2021-04-05,7.00056
2021-04-06,7.10017
2021-04-07,8.3025
2021-04-08,4.65281
2021-04-09,5.59725
2021-04-10,4.99786
2021-04-11,13.89264
2021-04-12,10.1558
2021-04-13,11.50576
2021-04-14,39.38709
2021-04-15,22.59355
2021-04-16,100.0
2021-04-17,78.84889
2021-04-18,38.09049
2021-04-19,54.75419
2021-04-20,43.19507
2021-04-21,39.57206
2021-04-22,29.14947
2021-04-23,20.2707
2021-04-24,11.57868
2021-04-25,10.31232
2021-04-26,10.12556
2021-04-27,9.48171
2021-04-28,12.10159
2021-04-29,7.61596
2021-04-30,4.68483
2021-05-01,8.59419
2021-05-02,8.73826
2021-05-03,7.6622
2021-05-04,30.99388
2021-05-05,40.61077
2021-05-06,31.90096
2021-05-07,28.67458
2021-05-08,30.535
2021-05-09,59.37677
2021-05-10,31.35849
2021-05-11,23.088
2021-05-12,14.94557
2021-05-13,20.75092
2021-05-14,23.41526
2021-05-15,16.48584
2021-05-16,10.21094
2021-05-17,12.31324
2021-05-18,9.51017
2021-05-19,15.0096
2021-05-20,9.50128
2021-05-21,6.16284
2021-05-22,6.16462
2021-05-23,5.88538
2021-05-24,6.33715
2021-05-25,4.23662
2021-05-26,4.71862
2021-05-27,4.93739
2021-05-28,4.94095
2021-05-29,4.33444
2021-05-30,4.25441
2021-05-31,4.40203
2021-06-01,3.86311
2021-06-02,9.14911
2021-06-03,5.63282
2021-06-04,4.12101
2021-06-05,2.01159
2021-06-06,2.13609
2021-06-07,2.62343
2021-06-08,3.14812
2021-06-09,2.3015
2021-06-10,1.60251
2021-06-11,2.04361
2021-06-12,2.82797
2021-06-13,2.17167
2021-06-14,2.37798
2021-06-15,2.50071
2021-06-16,2.3015
2021-06-17,2.34953
2021-06-18,3.00583
2021-06-19,2.22324
2021-06-20,3.08231
2021-06-21,4.53365
2021-06-22,6.45453
2021-06-23,2.79595
2021-06-24,1.94578
2021-06-25,2.32463
2021-06-26,1.52959
2021-06-27,1.45667
2021-06-28,1.47623
2021-06-29,2.25348
2021-06-30,1.82306
2021-07-01,1.65231
2021-07-02,1.24679
2021-07-03,0.94621
2021-07-04,1.20944
2021-07-05,1.51358
2021-07-06,1.30904
2021-07-07,1.95823
2021-07-08,2.73192
2021-07-09,2.33885
2021-07-10,1.0885
2021-07-11,1.18454
2021-07-12,1.44422
2021-07-13,1.96891
2021-07-14,1.88709
2021-07-15,1.91733
2021-07-16,2.2766
2021-07-17,2.42067
2021-07-18,1.4958
2021-07-19,1.38375
2021-07-20,2.07206
2021-07-21,1.54382
2021-07-22,1.51003
2021-07-23,0.89997
2021-07-24,1.10628
2021-07-25,1.05115
2021-07-26,1.8195
2021-07-27,1.22545
2021-07-28,1.24146
2021-07-29,1.1134
2021-07-30,1.0885
2021-07-31,1.25747
2021-08-01,1.35707
2021-08-02,1.19699
2021-08-03,1.14541
2021-08-04,0.94799
2021-08-05,1.44066
2021-08-06,1.87108
2021-08-07,2.41178
2021-08-08,4.41092
2021-08-09,2.32107
2021-08-10,2.09341
2021-08-11,2.51138
2021-08-12,2.92935
2021-08-13,2.16099
2021-08-14,3.29752
2021-08-15,3.45759
2021-08-16,6.33181
2021-08-17,3.15879
2021-08-18,2.9169
2021-08-19,2.33708
2021-08-20,2.16099
2021-08-21,1.81772
2021-08-22,1.99203
2021-08-23,2.19301
2021-08-24,2.22324
2021-08-25,2.2606
2021-08-26,2.08274
2021-08-27,1.76259
2021-08-28,1.52248
2021-08-29,1.70034
2021-08-30,2.02938
2021-08-31,1.78927
