date,개인연금
2020-11-07,19.54292
2020-11-08,20.71491
2020-11-09,29.88573
2020-11-10,29.03603
2020-11-11,28.88953
2020-11-12,26.13536
2020-11-13,24.05508
2020-11-14,19.36712
2020-11-15,21.5646
2020-11-16,29.06533
2020-11-17,28.33284
2020-11-18,28.94813
2020-11-19,24.64107
2020-11-20,25.54937
2020-11-21,18.78113
2020-11-22,23.26399
2020-11-23,27.68825
2020-11-24,25.90096
2020-11-25,26.69205
2020-11-26,26.69205
2020-11-27,29.00673
2020-11-28,17.55054
2020-11-29,21.8869
2020-11-30,30.61822
2020-12-01,32.2883
2020-12-02,36.00937
2020-12-03,30.20802
2020-12-04,25.66656
2020-12-05,22.85379
2020-12-06,24.99267
2020-12-07,34.04629
2020-12-08,31.70231
2020-12-09,34.16349
2020-12-10,33.34309
2020-12-11,28.65514
2020-12-12,21.799
2020-12-13,23.64488
2020-12-14,31.64371
2020-12-15,33.95839
2020-12-16,28.86024
2020-12-17,31.58511
2020-12-18,28.09844
2020-12-19,22.35569
2020-12-20,23.73278
2020-12-21,33.51889
2020-12-22,32.3469
2020-12-23,31.40931
2020-12-24,31.26281
2020-12-25,61.44154
2020-12-26,38.38265
2020-12-27,34.89598
2020-12-28,45.03369
2020-12-29,53.20832
2020-12-30,45.38529
2020-12-31,40.84383
2021-01-01,28.03984
2021-01-02,29.09463
2021-01-03,42.45531
2021-01-04,45.91268
2021-01-05,41.48842
2021-01-06,44.1547
2021-01-07,39.37884
2021-01-08,39.55464
2021-01-09,30.41312
2021-01-10,34.36859
2021-01-11,43.6566
2021-01-12,40.66803
2021-01-13,41.42982
2021-01-14,38.06035
2021-01-15,50.57134
2021-01-16,63.37532
2021-01-17,95.34134
2021-01-18,85.87752
2021-01-19,95.31204
2021-01-20,91.38587
2021-01-21,90.85848
2021-01-22,79.46088
2021-01-23,55.64019
2021-01-24,54.7026
2021-01-25,76.8825
2021-01-26,74.91942
2021-01-27,68.79578
2021-01-28,57.39818
2021-01-29,48.54966
2021-01-30,34.63228
2021-01-31,36.91766
2021-02-01,45.76618
2021-02-02,48.81336
2021-02-03,45.79548
2021-02-04,45.94198
2021-02-05,39.64254
2021-02-06,40.81453
2021-02-07,40.63873
2021-02-08,46.87957
2021-02-09,44.0375
2021-02-10,39.05654
2021-02-11,35.48198
2021-02-12,33.0501
2021-02-13,37.82595
2021-02-14,41.63492
2021-02-15,53.06182
2021-02-16,51.65543
2021-02-17,41.63492
2021-02-18,44.3891
2021-02-19,45.29739
2021-02-20,28.71374
2021-02-21,31.96601
2021-02-22,39.23234
2021-02-23,36.06797
2021-02-24,38.35335
2021-02-25,39.87694
2021-02-26,30.09082
2021-02-27,21.5939
2021-02-28,90.38968
2021-03-01,66.83269
2021-03-02,57.95487
2021-03-03,50.45414
2021-03-04,46.02988
2021-03-05,36.33167
2021-03-06,27.60035
2021-03-07,53.79431
2021-03-08,44.65279
2021-03-09,48.02226
2021-03-10,51.74333
2021-03-11,47.52417
2021-03-12,39.02724
2021-03-13,25.90096
2021-03-14,29.38763
2021-03-15,39.17374
2021-03-16,48.34456
2021-03-17,37.41576
2021-03-18,31.93671
2021-03-19,29.91503
2021-03-20,24.67037
2021-03-21,27.71755
2021-03-22,44.3012
2021-03-23,37.44506
2021-03-24,36.50747
2021-03-25,41.10753
2021-03-26,33.34309
2021-03-27,32.9036
2021-03-28,34.22209
2021-03-29,34.36859
2021-03-30,34.10489
2021-03-31,28.12774
2021-04-01,31.20421
2021-04-02,28.01054
2021-04-03,25.84236
2021-04-04,26.98505
2021-04-05,29.59273
2021-04-06,39.14444
2021-04-07,30.41312
2021-04-08,35.45268
2021-04-09,28.80164
2021-04-10,22.38499
2021-04-11,23.29329
2021-04-12,27.77615
2021-04-13,29.32903
2021-04-14,28.15704
2021-04-15,30.96982
2021-04-16,25.93026
2021-04-17,23.46908
2021-04-18,24.84617
2021-04-19,30.64752
2021-04-20,28.59654
2021-04-21,29.38763
2021-04-22,26.98505
2021-04-23,24.34808
2021-04-24,17.57984
2021-04-25,22.2092
2021-04-26,25.78376
2021-04-27,25.95956
2021-04-28,27.95194
2021-04-29,25.98886
2021-04-30,21.799
2021-05-01,19.27922
2021-05-02,17.49194
2021-05-03,21.9162
2021-05-04,23.38118
2021-05-05,17.99003
2021-05-06,23.90858
2021-05-07,23.70348
2021-05-08,20.65631
2021-05-09,21.06651
2021-05-10,28.53794
2021-05-11,30.41312
2021-05-12,30.85262
2021-05-13,39.05654
2021-05-14,26.77995
2021-05-15,25.08057
2021-05-16,29.94433
2021-05-17,29.12393
2021-05-18,27.54175
2021-05-19,23.14679
2021-05-20,29.88573
2021-05-21,25.81306
2021-05-22,20.39261
2021-05-23,20.09961
2021-05-24,28.68444
2021-05-25,29.59273
2021-05-26,26.10606
2021-05-27,42.27951
2021-05-28,26.36976
2021-05-29,20.89071
2021-05-30,22.91239
2021-05-31,36.24377
2021-06-01,33.1087
2021-06-02,31.17491
2021-06-03,31.35071
2021-06-04,23.84998
2021-06-05,19.60152
2021-06-06,20.36331
2021-06-07,27.80544
2021-06-08,29.68063
2021-06-09,30.91122
2021-06-10,30.55962
2021-06-11,23.43978
2021-06-12,21.8283
2021-06-13,32.7571
2021-06-14,33.0208
2021-06-15,37.82595
2021-06-16,33.54819
2021-06-17,29.65133
2021-06-18,24.64107
2021-06-19,22.2092
2021-06-20,23.05889
2021-06-21,27.65895
2021-06-22,28.53794
2021-06-23,36.91766
2021-06-24,26.89715
2021-06-25,26.51626
2021-06-26,18.83973
2021-06-27,24.99267
2021-06-28,32.08321
2021-06-29,32.14181
2021-06-30,29.27043
2021-07-01,31.70231
2021-07-02,24.46527
2021-07-03,16.05625
2021-07-04,19.66012
2021-07-05,32.9036
2021-07-06,27.80544
2021-07-07,27.86404
2021-07-08,22.0334
2021-07-09,21.5939
2021-07-10,15.61675
2021-07-11,18.37093
2021-07-12,22.0041
2021-07-13,25.54937
2021-07-14,22.44359
2021-07-15,21.06651
2021-07-16,19.95312
2021-07-17,16.02695
2021-07-18,17.25754
2021-07-19,20.18751
2021-07-20,23.05889
2021-07-21,24.99267
2021-07-22,27.01435
2021-07-23,23.76208
2021-07-24,15.67535
2021-07-25,20.48051
2021-07-26,30.35452
2021-07-27,27.30735
2021-07-28,42.22092
2021-07-29,26.48696
2021-07-30,26.69205
2021-07-31,17.96073
2021-08-01,22.41429
2021-08-02,25.16847
2021-08-03,26.45766
2021-08-04,23.96718
2021-08-05,26.25256
2021-08-06,24.40668
2021-08-07,19.86522
2021-08-08,27.60035
2021-08-09,31.38001
2021-08-10,31.84881
2021-08-11,30.35452
2021-08-12,29.09463
2021-08-13,25.52007
2021-08-14,28.50864
2021-08-15,25.63726
2021-08-16,27.01435
