date,오늘의코스피지수
2020-03-20,100.0
2020-03-21,11.72997
2020-03-22,4.79979
2020-03-23,98.92197
2020-03-24,97.43326
2020-03-25,95.45687
2020-03-26,94.94353
2020-03-27,88.55236
2020-03-28,9.54825
2020-03-29,5.54414
2020-03-30,84.1119
2020-03-31,69.68685
2020-04-01,79.05544
2020-04-02,85.0616
2020-04-03,69.53285
2020-04-04,8.41889
2020-04-05,3.82443
2020-04-06,69.91786
2020-04-07,73.17761
2020-04-08,71.43223
2020-04-09,62.577
2020-04-10,64.50205
2020-04-11,7.03285
2020-04-12,4.38911
2020-04-13,59.44558
2020-04-14,55.74948
2020-04-15,9.36858
2020-04-16,63.09034
2020-04-17,63.37268
2020-04-18,7.16119
2020-04-19,4.51745
2020-04-20,60.39527
2020-04-21,71.97125
2020-04-22,66.47843
2020-04-23,63.70636
2020-04-24,59.13757
2020-04-25,5.69815
2020-04-26,3.51642
2020-04-27,54.13244
2020-04-28,56.57084
2020-04-29,49.64065
2020-04-30,6.5965
2020-05-01,11.21663
2020-05-02,3.59342
2020-05-03,2.97741
2020-05-04,51.07802
2020-05-05,6.69917
2020-05-06,47.48459
2020-05-07,46.71457
2020-05-08,41.76078
2020-05-09,4.72279
2020-05-10,2.7464
2020-05-11,48.66529
2020-05-12,48.35728
2020-05-13,46.79158
2020-05-14,49.33264
2020-05-15,47.04825
2020-05-16,4.85112
2020-05-17,2.95174
2020-05-18,44.91786
2020-05-19,48.20328
2020-05-20,50.64168
2020-05-21,50.077
2020-05-22,53.95277
2020-05-23,5.28747
2020-05-24,3.23408
2020-05-25,48.63963
2020-05-26,56.62217
2020-05-27,53.8501
2020-05-28,59.36858
2020-05-29,50.74435
2020-05-30,5.0308
2020-05-31,2.6694
2020-06-01,47.97227
2020-06-02,49.17864
2020-06-03,62.96201
2020-06-04,59.49691
2020-06-05,54.0041
2020-06-06,5.62114
2020-06-07,3.8501
2020-06-08,53.59342
2020-06-09,56.75051
2020-06-10,53.10574
2020-06-11,61.03696
2020-06-12,61.13963
2020-06-13,5.3388
2020-06-14,2.7464
2020-06-15,66.63244
2020-06-16,62.67967
2020-06-17,63.37268
2020-06-18,57.75154
2020-06-19,51.4887
2020-06-20,4.46611
2020-06-21,3.41375
2020-06-22,51.05236
2020-06-23,47.30492
2020-06-24,50.12833
2020-06-25,53.13141
2020-06-26,47.27926
2020-06-27,5.41581
2020-06-28,2.79774
2020-06-29,49.71765
2020-06-30,45.94455
2020-07-01,47.92094
2020-07-02,41.70944
2020-07-03,42.14579
2020-07-04,3.79876
2020-07-05,2.46406
2020-07-06,47.09958
2020-07-07,50.41067
2020-07-08,47.89527
2020-07-09,43.60882
2020-07-10,39.42505
2020-07-11,3.23408
2020-07-12,2.90041
2020-07-13,41.73511
2020-07-14,42.65913
2020-07-15,47.38193
2020-07-16,44.89219
2020-07-17,42.27412
2020-07-18,3.8501
2020-07-19,1.84804
2020-07-20,43.22381
2020-07-21,46.22689
2020-07-22,43.55749
2020-07-23,44.68685
2020-07-24,40.91375
2020-07-25,4.20944
2020-07-26,2.25872
2020-07-27,42.99281
2020-07-28,44.32751
2020-07-29,45.68788
2020-07-30,43.17248
2020-07-31,40.42607
2020-08-01,3.38809
2020-08-02,2.64373
2020-08-03,39.55338
2020-08-04,41.5041
2020-08-05,46.4579
2020-08-06,52.38706
2020-08-07,55.56981
2020-08-08,4.97946
2020-08-09,3.25975
2020-08-10,52.20739
2020-08-11,59.36858
2020-08-12,63.42402
2020-08-13,61.78131
2020-08-14,59.70225
2020-08-15,4.69712
2020-08-16,3.41375
2020-08-17,13.37268
2020-08-18,63.9887
2020-08-19,59.08624
2020-08-20,75.05133
2020-08-21,62.47433
2020-08-22,6.2885
2020-08-23,3.31108
2020-08-24,56.33983
2020-08-25,52.64373
2020-08-26,58.70123
2020-08-27,56.75051
2020-08-28,52.77207
2020-08-29,4.95379
2020-08-30,2.90041
2020-08-31,53.13141
2020-09-01,46.97125
2020-09-02,48.53696
2020-09-03,48.87063
2020-09-04,59.47125
2020-09-05,4.64579
2020-09-06,3.51642
2020-09-07,49.94866
2020-09-08,47.66427
2020-09-09,53.38809
2020-09-10,47.22792
2020-09-11,47.61293
2020-09-12,4.28644
2020-09-13,2.31006
2020-09-14,47.30492
2020-09-15,50.231
2020-09-16,50.92402
2020-09-17,51.69404
2020-09-18,45.45687
2020-09-19,4.31211
2020-09-20,2.18172
2020-09-21,47.07392
2020-09-22,55.15913
2020-09-23,56.05749
2020-09-24,60.08726
2020-09-25,51.15503
2020-09-26,4.72279
2020-09-27,2.87474
2020-09-28,41.70944
2020-09-29,35.34394
2020-09-30,4.38911
2020-10-01,2.23305
2020-10-02,2.5154
2020-10-03,2.43839
2020-10-04,1.89938
2020-10-05,37.93634
2020-10-06,41.29876
2020-10-07,41.3501
2020-10-08,40.96509
2020-10-09,6.03182
2020-10-10,2.5154
2020-10-11,2.00205
2020-10-12,39.09137
2020-10-13,42.5308
2020-10-14,41.65811
2020-10-15,40.73408
2020-10-16,41.65811
2020-10-17,3.31108
2020-10-18,2.33572
2020-10-19,40.04106
2020-10-20,42.04312
2020-10-21,39.98973
2020-10-22,40.2464
2020-10-23,41.78644
2020-10-24,4.10677
2020-10-25,2.05338
2020-10-26,38.39835
2020-10-27,39.88706
2020-10-28,37.96201
2020-10-29,42.55646
2020-10-30,45.89322
2020-10-31,4.41478
2020-11-01,3.25975
2020-11-02,39.81006
2020-11-03,36.67864
2020-11-04,41.40143
2020-11-05,44.99486
2020-11-06,49.30698
2020-11-07,4.20944
2020-11-08,2.69507
2020-11-09,44.66119
2020-11-10,48.94763
2020-11-11,47.02258
2020-11-12,45.84188
2020-11-13,42.81314
2020-11-14,4.36344
2020-11-15,2.56673
2020-11-16,48.84496
2020-11-17,52.13039
2020-11-18,49.51232
2020-11-19,44.12217
2020-11-20,38.60369
2020-11-21,4.46611
2020-11-22,2.6694
2020-11-23,46.09856
2020-11-24,48.02361
2020-11-25,51.4887
2020-11-26,46.58624
2020-11-27,44.0965
2020-11-28,4.69712
2020-11-29,2.25872
2020-11-30,48.43429
2020-12-01,44.91786
2020-12-02,44.27618
2020-12-03,51.18069
2020-12-04,46.25256
2020-12-05,3.82443
2020-12-06,2.90041
2020-12-07,48.07494
2020-12-08,52.84907
2020-12-09,49.02464
2020-12-10,56.10882
2020-12-11,47.8696
2020-12-12,4.33778
2020-12-13,2.8234
2020-12-14,48.45995
2020-12-15,47.27926
2020-12-16,42.47946
2020-12-17,43.12114
2020-12-18,38.55236
2020-12-19,4.26078
2020-12-20,2.07905
2020-12-21,40.29774
2020-12-22,42.94147
2020-12-23,41.60677
2020-12-24,39.0657
2020-12-25,4.23511
2020-12-26,2.28439
2020-12-27,1.66837
2020-12-28,39.78439
2020-12-29,42.01745
2020-12-30,41.76078
2020-12-31,15.81108
2021-01-01,2.5924
2021-01-02,2.25872
2021-01-03,1.66837
2021-01-04,54.49178
2021-01-05,53.79876
2021-01-06,60.88295
2021-01-07,58.23921
2021-01-08,55.92915
2021-01-09,4.95379
2021-01-10,2.5924
2021-01-11,69.55852
2021-01-12,69.45585
2021-01-13,66.73511
2021-01-14,53.69609
2021-01-15,60.67761
2021-01-16,5.28747
2021-01-17,3.72176
2021-01-18,62.654
2021-01-19,57.82854
2021-01-20,57.7002
2021-01-21,53.69609
2021-01-22,52.7464
2021-01-23,4.69712
2021-01-24,3.41375
2021-01-25,46.71457
2021-01-26,54.95379
2021-01-27,57.36652
2021-01-28,62.03798
2021-01-29,71.02156
2021-01-30,6.82751
2021-01-31,3.13141
2021-02-01,65.22073
2021-02-02,58.16221
2021-02-03,56.2885
2021-02-04,53.59342
2021-02-05,52.13039
2021-02-06,5.39014
2021-02-07,3.05441
2021-02-08,49.66632
2021-02-09,43.89117
2021-02-10,39.39938
2021-02-11,3.74743
2021-02-12,2.38706
2021-02-13,2.10472
2021-02-14,2.07905
2021-02-15,40.58008
2021-02-16,42.09445
2021-02-17,45.79055
2021-02-18,51.84804
2021-02-19,50.82135
2021-02-20,4.46611
2021-02-21,2.54106
2021-02-22,46.07289
2021-02-23,47.81827
