date,골드바100G
2020-03-20,33.82165
2020-03-21,22.29299
2020-03-22,19.04458
2020-03-23,19.87261
2020-03-24,22.42038
2020-03-25,24.96815
2020-03-26,27.00636
2020-03-27,18.53503
2020-03-28,17.57961
2020-03-29,15.98726
2020-03-30,17.00636
2020-03-31,17.7707
2020-04-01,17.83439
2020-04-02,17.13375
2020-04-03,18.02547
2020-04-04,17.32484
2020-04-05,13.3121
2020-04-06,21.52866
2020-04-07,20.63694
2020-04-08,17.19745
2020-04-09,16.05095
2020-04-10,21.0828
2020-04-11,15.4777
2020-04-12,20.25477
2020-04-13,26.11464
2020-04-14,29.87261
2020-04-15,19.29936
2020-04-16,20.63694
2020-04-17,20.76433
2020-04-18,18.02547
2020-04-19,17.00636
2020-04-20,16.75159
2020-04-21,18.91719
2020-04-22,21.65605
2020-04-23,22.80254
2020-04-24,22.92993
2020-04-25,19.42675
2020-04-26,16.87898
2020-04-27,27.07006
2020-04-28,20.50955
2020-04-29,20.89171
2020-04-30,15.09554
2020-05-01,15.5414
2020-05-02,15.5414
2020-05-03,20.57324
2020-05-04,18.72611
2020-05-05,16.81528
2020-05-06,18.91719
2020-05-07,15.22292
2020-05-08,18.28025
2020-05-09,14.14012
2020-05-10,15.35031
2020-05-11,14.14012
2020-05-12,13.3121
2020-05-13,13.82165
2020-05-14,12.73885
2020-05-15,15.03184
2020-05-16,13.37579
2020-05-17,14.20382
2020-05-18,18.8535
2020-05-19,18.98089
2020-05-20,13.94904
2020-05-21,15.5414
2020-05-22,19.10828
2020-05-23,11.59235
2020-05-24,13.37579
2020-05-25,16.43312
2020-05-26,12.22929
2020-05-27,11.65605
2020-05-28,13.37579
2020-05-29,14.3949
2020-05-30,11.71974
2020-05-31,14.45859
2020-06-01,11.97452
2020-06-02,14.64968
2020-06-03,12.99363
2020-06-04,12.1656
2020-06-05,9.29936
2020-06-06,10.95541
2020-06-07,10.44585
2020-06-08,12.42038
2020-06-09,12.22929
2020-06-10,12.10191
2020-06-11,13.3121
2020-06-12,10.95541
2020-06-13,10.44585
2020-06-14,8.28025
2020-06-15,12.61146
2020-06-16,13.18471
2020-06-17,12.10191
2020-06-18,10.12738
2020-06-19,10.25477
2020-06-20,9.55414
2020-06-21,8.40764
2020-06-22,15.60509
2020-06-23,14.96815
2020-06-24,12.22929
2020-06-25,14.3949
2020-06-26,12.1656
2020-06-27,11.21019
2020-06-28,9.23566
2020-06-29,13.63057
2020-06-30,10.76433
2020-07-01,17.00636
2020-07-02,12.73885
2020-07-03,13.05732
2020-07-04,13.82165
2020-07-05,25.35031
2020-07-06,21.0828
2020-07-07,15.41401
2020-07-08,17.57961
2020-07-09,20.25477
2020-07-10,14.77707
2020-07-11,13.43949
2020-07-12,22.48407
2020-07-13,22.1656
2020-07-14,27.07006
2020-07-15,26.36942
2020-07-16,31.46496
2020-07-17,23.05732
2020-07-18,21.14649
2020-07-19,22.22929
2020-07-20,19.74522
2020-07-21,20.95541
2020-07-22,28.40764
2020-07-23,44.64968
2020-07-24,43.2484
2020-07-25,50.31847
2020-07-26,35.4777
2020-07-27,40.44585
2020-07-28,49.17197
2020-07-29,54.26751
2020-07-30,30.0
2020-07-31,33.2484
2020-08-01,26.24203
2020-08-02,30.0
2020-08-03,28.8535
2020-08-04,19.61783
2020-08-05,44.45859
2020-08-06,39.10828
2020-08-07,36.75159
2020-08-08,30.70063
2020-08-09,25.28662
2020-08-10,24.3949
2020-08-11,36.30573
2020-08-12,34.90445
2020-08-13,25.66878
2020-08-14,21.14649
2020-08-15,16.81528
2020-08-16,24.64968
2020-08-17,15.41401
2020-08-18,20.76433
2020-08-19,17.83439
2020-08-20,18.53503
2020-08-21,18.7898
2020-08-22,14.26751
2020-08-23,16.05095
2020-08-24,16.6242
2020-08-25,20.12738
2020-08-26,16.11464
2020-08-27,14.96815
2020-08-28,15.03184
2020-08-29,14.3949
2020-08-30,14.33121
2020-08-31,14.77707
2020-09-01,12.92993
2020-09-02,12.54777
2020-09-03,13.69426
2020-09-04,15.15923
2020-09-05,13.69426
2020-09-06,13.2484
2020-09-07,18.02547
2020-09-08,13.05732
2020-09-09,13.88535
2020-09-10,12.48407
2020-09-11,13.12101
2020-09-12,12.22929
2020-09-13,12.48407
2020-09-14,14.20382
2020-09-15,12.86624
2020-09-16,13.50318
2020-09-17,12.48407
2020-09-18,12.22929
2020-09-19,11.71974
2020-09-20,11.14649
2020-09-21,10.89171
2020-09-22,11.84713
2020-09-23,10.44585
2020-09-24,14.58598
2020-09-25,14.52229
2020-09-26,10.19108
2020-09-27,11.27388
2020-09-28,12.86624
2020-09-29,12.80254
2020-09-30,10.0
2020-10-01,16.36942
2020-10-02,13.88535
2020-10-03,14.14012
2020-10-04,12.1656
2020-10-05,15.35031
2020-10-06,13.69426
2020-10-07,15.5414
2020-10-08,12.22929
2020-10-09,14.52229
2020-10-10,11.78343
2020-10-11,12.10191
2020-10-12,13.37579
2020-10-13,12.29299
2020-10-14,11.65605
2020-10-15,10.95541
2020-10-16,12.61146
2020-10-17,10.06369
2020-10-18,13.05732
2020-10-19,11.84713
2020-10-20,11.78343
2020-10-21,12.61146
2020-10-22,12.10191
2020-10-23,12.48407
2020-10-24,11.27388
2020-10-25,9.9363
2020-10-26,12.03821
2020-10-27,17.07006
2020-10-28,12.42038
2020-10-29,13.56687
2020-10-30,15.03184
2020-10-31,14.64968
2020-11-01,14.01273
2020-11-02,16.87898
2020-11-03,13.63057
2020-11-04,15.15923
2020-11-05,16.17834
2020-11-06,15.03184
2020-11-07,14.26751
2020-11-08,10.95541
2020-11-09,12.86624
2020-11-10,16.75159
2020-11-11,15.98726
2020-11-12,15.60509
2020-11-13,12.54777
2020-11-14,10.95541
2020-11-15,10.25477
2020-11-16,13.3121
2020-11-17,15.28662
2020-11-18,16.94267
2020-11-19,12.54777
2020-11-20,13.2484
2020-11-21,12.67515
2020-11-22,13.37579
2020-11-23,15.79617
2020-11-24,14.90445
2020-11-25,17.57961
2020-11-26,19.29936
2020-11-27,18.08917
2020-11-28,17.00636
2020-11-29,17.707
2020-11-30,19.17197
2020-12-01,18.47133
2020-12-02,24.58598
2020-12-03,20.31847
2020-12-04,21.27388
2020-12-05,17.83439
2020-12-06,17.38853
2020-12-07,22.03821
2020-12-08,18.15286
2020-12-09,18.91719
2020-12-10,17.96178
2020-12-11,18.40764
2020-12-12,17.45222
2020-12-13,16.5605
2020-12-14,16.94267
2020-12-15,19.74522
2020-12-16,17.38853
2020-12-17,19.36305
2020-12-18,28.02547
2020-12-19,19.61783
2020-12-20,26.49681
2020-12-21,21.27388
2020-12-22,22.29299
2020-12-23,22.03821
2020-12-24,25.98726
2020-12-25,23.37579
2020-12-26,21.65605
2020-12-27,24.14012
2020-12-28,25.60509
2020-12-29,21.33757
2020-12-30,25.66878
2020-12-31,27.19745
2021-01-01,42.92993
2021-01-02,25.41401
2021-01-03,37.57961
2021-01-04,28.40764
2021-01-05,45.35031
2021-01-06,30.63694
2021-01-07,23.82165
2021-01-08,27.26114
2021-01-09,28.91719
2021-01-10,29.9363
2021-01-11,29.49044
2021-01-12,27.707
2021-01-13,27.45222
2021-01-14,28.15286
2021-01-15,27.26114
2021-01-16,26.11464
2021-01-17,44.07643
2021-01-18,28.47133
2021-01-19,24.84076
2021-01-20,29.68152
2021-01-21,26.81528
2021-01-22,23.56687
2021-01-23,24.33121
2021-01-24,32.99363
2021-01-25,32.67515
2021-01-26,28.59872
2021-01-27,21.59235
2021-01-28,23.37579
2021-01-29,19.23566
2021-01-30,24.58598
2021-01-31,21.33757
2021-02-01,23.82165
2021-02-02,32.42038
2021-02-03,23.3121
2021-02-04,21.33757
2021-02-05,24.33121
2021-02-06,21.91082
2021-02-07,25.5414
2021-02-08,21.46496
2021-02-09,24.07643
2021-02-10,21.91082
2021-02-11,20.44585
2021-02-12,24.71337
2021-02-13,22.54777
2021-02-14,30.0
2021-02-15,25.15923
2021-02-16,23.37579
2021-02-17,29.80891
2021-02-18,26.6242
2021-02-19,38.8535
2021-02-20,29.74522
2021-02-21,29.23566
2021-02-22,25.41401
2021-02-23,30.38216
2021-02-24,20.19108
2021-02-25,18.66242
2021-02-26,20.0
2021-02-27,19.9363
2021-02-28,23.12101
2021-03-01,22.22929
2021-03-02,23.18471
2021-03-03,25.60509
2021-03-04,25.15923
2021-03-05,27.13375
2021-03-06,30.50955
2021-03-07,24.52229
2021-03-08,23.82165
2021-03-09,24.77707
2021-03-10,20.63694
2021-03-11,30.12738
2021-03-12,22.29299
2021-03-13,23.82165
