date,신성델타테크주가
2020-03-20,0.01076
2020-03-23,0.01076
2020-03-30,0.00768
2020-04-06,0.00768
2020-04-07,0.00922
2020-04-08,0.01076
2020-04-14,0.01076
2020-04-21,0.00768
2020-04-22,0.01076
2020-04-23,0.00768
2020-04-27,0.00768
2020-04-28,0.00922
2020-05-04,0.00922
2020-05-06,0.00768
2020-05-07,0.00768
2020-05-08,0.00768
2020-05-20,0.00768
2020-05-21,0.01076
2020-05-25,0.00922
2020-05-27,0.00922
2020-05-28,0.02767
2020-05-29,0.02306
2020-06-01,0.03382
2020-06-02,0.00922
2020-06-03,0.01383
2020-06-04,0.0123
2020-06-05,0.01845
2020-06-08,0.01845
2020-06-09,0.03382
2020-06-10,0.0123
2020-06-11,0.01383
2020-06-12,0.01998
2020-06-15,0.01691
2020-06-16,0.01537
2020-06-17,0.01537
2020-06-18,0.01383
2020-06-19,0.0123
2020-06-22,0.01998
2020-06-23,0.0369
2020-06-24,0.02306
2020-06-25,0.0492
2020-06-26,0.01076
2020-06-29,0.01383
2020-06-30,0.0246
2020-07-01,0.01537
2020-07-02,0.01845
2020-07-03,0.02767
2020-07-06,0.03075
2020-07-07,0.03536
2020-07-08,0.01998
2020-07-09,0.02152
2020-07-10,0.0369
2020-07-13,0.0246
2020-07-14,0.0246
2020-07-15,0.02152
2020-07-16,0.0123
2020-07-17,0.02613
2020-07-20,0.0246
2020-07-21,0.01537
2020-07-22,0.01691
2020-07-23,0.01537
2020-07-24,0.01537
2020-07-26,0.01076
2020-07-27,0.02613
2020-07-28,0.0246
2020-07-29,0.02152
2020-07-30,0.02613
2020-07-31,0.03997
2020-08-01,0.00922
2020-08-02,0.01076
2020-08-03,0.05842
2020-08-04,0.0369
2020-08-05,0.02921
2020-08-06,0.03382
2020-08-07,0.04151
2020-08-08,0.0123
2020-08-10,0.07072
2020-08-11,0.07841
2020-08-12,0.03997
2020-08-13,0.04766
2020-08-14,0.04766
2020-08-17,0.01076
2020-08-18,0.09071
2020-08-19,0.08763
2020-08-20,0.0738
2020-08-21,0.09378
2020-08-24,0.03382
2020-08-25,0.06765
2020-08-26,0.01845
2020-08-27,0.02152
2020-08-28,0.01691
2020-08-31,0.0123
2020-09-01,0.01076
2020-09-02,0.01537
2020-09-03,0.01076
2020-09-07,0.0123
2020-09-08,0.03075
2020-09-09,0.01998
2020-09-10,0.05073
2020-09-11,0.12761
2020-09-14,0.01998
2020-09-15,0.01076
2020-09-16,0.04766
2020-09-17,0.16605
2020-09-18,0.72724
2020-09-19,0.11223
2020-09-20,0.1476
2020-09-21,0.92865
2020-09-22,0.57503
2020-09-23,0.80104
2020-09-24,0.78259
2020-09-25,1.19926
2020-09-26,0.12607
2020-09-27,0.1476
2020-09-28,0.76875
2020-09-29,0.6519
2020-09-30,0.09686
2020-10-01,0.07533
2020-10-02,0.09378
2020-10-03,0.13222
2020-10-04,0.13991
2020-10-05,0.75799
2020-10-06,1.18388
2020-10-07,0.93788
2020-10-08,0.85639
2020-10-09,0.15528
2020-10-10,0.18603
2020-10-11,0.2706
2020-10-12,1.22232
2020-10-13,0.85639
2020-10-14,0.67958
2020-10-15,0.60424
2020-10-16,0.54274
2020-10-17,0.08917
2020-10-18,0.06611
2020-10-19,0.54428
2020-10-20,0.3936
2020-10-21,0.52429
2020-10-22,0.5781
2020-10-23,0.50584
2020-10-24,0.07995
2020-10-25,0.123
2020-10-26,0.52275
2020-10-27,0.47509
2020-10-28,0.46125
2020-10-29,0.49354
2020-10-30,1.01937
2020-10-31,0.14298
2020-11-01,0.12761
2020-11-02,0.64421
2020-11-03,0.58118
2020-11-04,0.48585
2020-11-05,0.51506
2020-11-06,0.42896
2020-11-07,0.05688
2020-11-08,0.06457
2020-11-09,0.80565
2020-11-10,2.09255
2020-11-11,1.03936
2020-11-12,1.03782
2020-11-13,0.68573
2020-11-14,0.10762
2020-11-15,0.11377
2020-11-16,0.67189
2020-11-17,0.59963
2020-11-18,0.53351
2020-11-19,0.64268
2020-11-20,0.6396
2020-11-21,0.28136
2020-11-22,0.30596
2020-11-23,1.11316
2020-11-24,0.99938
2020-11-25,0.8487
2020-11-26,0.65036
2020-11-27,0.71955
2020-11-28,0.21063
2020-11-29,0.25215
2020-11-30,1.08394
2020-12-01,0.83794
2020-12-02,0.83025
2020-12-03,0.62115
2020-12-04,0.55043
2020-12-05,0.07841
2020-12-06,0.0369
2020-12-07,0.60731
2020-12-08,0.71648
2020-12-09,0.82257
2020-12-10,0.68419
2020-12-11,0.95172
2020-12-12,0.14298
2020-12-13,0.14298
2020-12-14,0.71033
2020-12-15,0.61039
2020-12-16,0.79335
2020-12-17,0.67804
2020-12-18,0.8241
2020-12-19,0.15528
2020-12-20,0.14145
2020-12-21,1.07011
2020-12-22,0.73339
2020-12-23,2.38314
2020-12-24,3.80688
2020-12-25,0.48892
2020-12-26,0.32134
2020-12-27,0.35209
2020-12-28,3.86531
2020-12-29,3.04274
2020-12-30,7.08333
2020-12-31,2.81057
2021-01-01,2.07257
2021-01-02,2.34932
2021-01-03,2.63683
2021-01-04,12.85516
2021-01-05,11.11623
2021-01-06,8.13345
2021-01-07,6.9142
2021-01-08,7.38161
2021-01-09,1.74661
2021-01-10,1.3853
2021-01-11,6.03474
2021-01-12,4.48954
2021-01-13,4.38653
2021-01-14,5.11377
2021-01-15,4.29735
2021-01-16,0.81027
2021-01-17,0.60424
2021-01-18,4.02367
2021-01-19,3.91143
2021-01-20,3.70541
2021-01-21,5.07995
2021-01-22,3.88837
2021-01-23,0.61961
2021-01-24,0.48585
2021-01-25,3.01968
2021-01-26,2.64452
2021-01-27,2.40621
2021-01-28,2.14944
2021-01-29,2.03413
2021-01-30,0.32134
2021-01-31,0.31211
2021-02-01,2.44311
2021-02-02,2.0618
2021-02-03,2.43696
2021-02-04,1.80196
2021-02-05,1.76353
2021-02-06,0.1722
2021-02-07,0.20448
2021-02-08,1.73124
2021-02-09,1.68819
2021-02-10,1.5206
2021-02-11,0.25215
2021-02-12,0.2214
2021-02-13,0.30289
2021-02-14,0.34594
2021-02-15,2.00338
2021-02-16,1.82964
2021-02-17,1.69126
2021-02-18,1.39606
2021-02-19,1.22386
2021-02-20,0.23216
