date,KODEX미국배당프리미엄액티브
2022-09-21,9.46502
2022-09-22,4.93827
2022-09-23,10.28806
2022-09-24,4.11522
2022-09-25,6.99588
2022-09-26,15.63786
2022-09-27,97.94238
2022-09-28,67.07818
2022-09-29,56.3786
2022-09-30,58.02469
2022-10-01,26.33744
2022-10-02,9.87654
2022-10-03,23.45679
2022-10-04,36.62551
2022-10-05,25.92592
2022-10-06,26.33744
2022-10-07,30.45267
2022-10-08,17.69547
2022-10-09,11.11111
2022-10-10,11.11111
2022-10-11,20.98765
2022-10-12,16.87242
2022-10-13,15.22633
2022-10-14,21.39917
2022-10-15,10.28806
2022-10-16,11.52263
2022-10-17,19.34156
2022-10-18,21.39917
2022-10-19,20.98765
2022-10-20,32.92181
2022-10-21,30.45267
2022-10-22,19.75308
2022-10-23,12.34567
2022-10-24,25.10288
2022-10-25,24.27983
2022-10-26,32.09876
2022-10-27,36.62551
2022-10-28,32.92181
2022-10-29,30.04115
2022-10-30,22.22222
2022-10-31,31.27572
2022-11-01,39.91769
2022-11-02,61.72839
2022-11-03,53.08641
2022-11-04,47.3251
2022-11-05,19.34156
2022-11-06,27.98353
2022-11-07,52.67489
2022-11-08,35.39094
2022-11-09,29.62962
2022-11-10,30.45267
2022-11-11,28.80658
2022-11-12,17.69547
2022-11-13,20.1646
2022-11-14,44.44444
2022-11-15,53.08641
2022-11-16,43.62139
2022-11-17,30.04115
2022-11-18,30.86419
2022-11-19,16.4609
2022-11-20,15.22633
2022-11-21,33.33333
2022-11-22,27.57201
2022-11-23,24.27983
2022-11-24,24.69135
2022-11-25,30.04115
2022-11-26,11.11111
2022-11-27,11.52263
2022-11-28,19.75308
2022-11-29,20.98765
2022-11-30,24.27983
2022-12-01,18.93004
2022-12-02,26.74897
2022-12-03,9.46502
2022-12-04,13.58024
2022-12-05,20.1646
2022-12-06,30.45267
2022-12-07,27.98353
2022-12-08,18.93004
2022-12-09,27.98353
2022-12-10,11.11111
2022-12-11,6.17283
2022-12-12,19.75308
2022-12-13,26.74897
2022-12-14,20.57613
2022-12-15,19.34156
2022-12-16,20.98765
2022-12-17,13.99176
2022-12-18,13.58024
2022-12-19,13.99176
2022-12-20,17.28395
2022-12-21,13.16872
2022-12-22,18.10699
2022-12-23,26.74897
2022-12-24,13.16872
2022-12-25,10.28806
2022-12-26,33.33333
2022-12-27,37.44855
2022-12-28,28.80658
2022-12-29,29.2181
2022-12-30,13.16872
2022-12-31,11.93415
2023-01-01,10.28806
2023-01-02,31.68724
2023-01-03,39.91769
2023-01-04,39.09465
2023-01-05,35.80246
2023-01-06,33.33333
2023-01-07,16.04938
2023-01-08,17.28395
2023-01-09,48.55967
2023-01-10,34.15637
2023-01-11,34.15637
2023-01-12,34.5679
2023-01-13,29.62962
2023-01-14,13.99176
2023-01-15,12.34567
2023-01-16,45.26748
2023-01-17,34.97942
2023-01-18,27.98353
2023-01-19,39.91769
2023-01-20,34.97942
2023-01-21,13.16872
2023-01-22,10.69958
2023-01-23,12.34567
2023-01-24,18.51851
2023-01-25,49.79423
2023-01-26,47.3251
2023-01-27,48.55967
2023-01-28,17.28395
