date,카카오게임즈주가
2020-03-30,0.00082
2020-04-07,0.00123
2020-04-08,0.00082
2020-04-22,0.00068
2020-04-23,0.00082
2020-04-28,0.00233
2020-04-30,0.00068
2020-05-04,0.00082
2020-05-06,0.00151
2020-05-07,0.00233
2020-05-08,0.00096
2020-05-09,0.00192
2020-05-10,0.00096
2020-05-11,0.00082
2020-05-13,0.00165
2020-05-14,0.00123
2020-05-15,0.00275
2020-05-18,0.00082
2020-05-19,0.00123
2020-05-20,0.00178
2020-05-21,0.00426
2020-05-23,0.00082
2020-05-25,0.00165
2020-05-26,0.00082
2020-05-27,0.00123
2020-05-28,0.00206
2020-05-29,0.00123
2020-05-30,0.0011
2020-05-31,0.00068
2020-06-01,0.00123
2020-06-02,0.00068
2020-06-03,0.00123
2020-06-04,0.00247
2020-06-05,0.00137
2020-06-06,0.00096
2020-06-08,0.00247
2020-06-09,0.00288
2020-06-10,0.00151
2020-06-11,0.00825
2020-06-12,0.01554
2020-06-13,0.00385
2020-06-14,0.00646
2020-06-15,0.01375
2020-06-16,0.01774
2020-06-17,0.01471
2020-06-18,0.01292
2020-06-19,0.01457
2020-06-20,0.00522
2020-06-21,0.00412
2020-06-22,0.01279
2020-06-23,0.02874
2020-06-24,0.04208
2020-06-25,0.02778
2020-06-26,0.0198
2020-06-27,0.00811
2020-06-28,0.11511
2020-06-29,0.03727
2020-06-30,0.01856
2020-07-01,0.01664
2020-07-02,0.04689
2020-07-03,0.06409
2020-07-04,0.01719
2020-07-05,0.07798
2020-07-06,0.05157
2020-07-07,0.03644
2020-07-08,0.04717
2020-07-09,0.04978
2020-07-10,0.03493
2020-07-11,0.0209
2020-07-12,0.01746
2020-07-13,0.03314
2020-07-14,0.02681
2020-07-15,0.02448
2020-07-16,0.04125
2020-07-17,0.04222
2020-07-18,0.04208
2020-07-19,0.02805
2020-07-20,0.04222
2020-07-21,0.04689
2020-07-22,0.04346
2020-07-23,0.09118
2020-07-24,0.06766
2020-07-25,0.02805
2020-07-26,0.02709
2020-07-27,0.03644
2020-07-28,0.03287
2020-07-29,0.03066
2020-07-30,0.03342
2020-07-31,0.02929
2020-08-01,0.0187
2020-08-02,0.0165
2020-08-03,0.06147
2020-08-04,0.09737
2020-08-05,0.07481
2020-08-06,0.05666
2020-08-07,0.04937
2020-08-08,0.02764
2020-08-09,0.022
2020-08-10,0.04084
2020-08-11,0.03479
2020-08-12,0.03617
2020-08-13,0.04263
2020-08-14,0.04799
2020-08-15,0.02461
2020-08-16,0.01842
2020-08-17,0.01815
2020-08-18,0.03232
2020-08-19,0.02943
2020-08-20,0.03108
2020-08-21,0.02585
2020-08-22,0.0143
2020-08-23,0.01774
2020-08-24,0.06023
2020-08-25,0.08664
2020-08-26,0.17246
2020-08-27,0.15582
2020-08-28,0.11786
2020-08-29,0.04043
2020-08-30,0.0568
2020-08-31,0.20891
2020-09-01,0.47696
2020-09-02,0.54036
2020-09-03,0.52881
2020-09-04,0.53211
2020-09-05,0.21221
2020-09-06,0.21606
2020-09-07,0.43859
2020-09-08,0.35799
2020-09-09,0.65768
2020-09-10,100.0
2020-09-11,16.68378
2020-09-12,2.0297
2020-09-13,1.4412
2020-09-14,19.19128
2020-09-15,14.11399
2020-09-16,10.55052
2020-09-17,8.31053
2020-09-18,6.84774
2020-09-19,0.93797
2020-09-20,0.76151
2020-09-21,6.66551
2020-09-22,6.22733
2020-09-23,6.22059
2020-09-24,5.35372
2020-09-25,4.73991
2020-09-26,0.65231
2020-09-27,0.43212
2020-09-28,4.59771
2020-09-29,4.83234
2020-09-30,0.55618
2020-10-01,0.39664
2020-10-02,0.41562
2020-10-03,0.34465
2020-10-04,0.37766
2020-10-05,4.09392
2020-10-06,3.89973
2020-10-07,3.32127
2020-10-08,3.07013
2020-10-09,0.46967
2020-10-10,0.26695
2020-10-11,0.3419
2020-10-12,4.73881
2020-10-13,3.69728
2020-10-14,3.18346
2020-10-15,3.64199
2020-10-16,3.43432
2020-10-17,0.40572
2020-10-18,0.31687
2020-10-19,3.11029
2020-10-20,2.96313
2020-10-21,3.22568
2020-10-22,2.87896
2020-10-23,2.3954
2020-10-24,0.28868
2020-10-25,0.2173
2020-10-26,2.4947
2020-10-27,2.39815
2020-10-28,2.27905
2020-10-29,2.1301
2020-10-30,2.306
2020-10-31,0.26227
2020-11-01,0.20547
2020-11-02,2.19295
2020-11-03,2.19075
2020-11-04,2.38137
2020-11-05,2.83701
2020-11-06,2.58588
2020-11-07,0.26213
2020-11-08,0.20354
2020-11-09,2.58863
2020-11-10,2.32127
2020-11-11,2.19721
2020-11-12,1.98638
2020-11-13,1.88584
2020-11-14,0.20313
2020-11-15,0.17026
2020-11-16,2.01127
2020-11-17,1.9062
2020-11-18,1.76124
2020-11-19,1.61985
2020-11-20,1.55673
2020-11-21,0.20217
2020-11-22,0.1781
2020-11-23,1.89753
2020-11-24,1.85723
2020-11-25,1.70347
2020-11-26,1.65272
2020-11-27,1.77293
2020-11-28,0.27025
2020-11-29,0.20244
2020-11-30,1.64598
2020-12-01,1.59441
2020-12-02,1.68325
2020-12-03,1.74322
2020-12-04,2.45715
2020-12-05,0.31412
2020-12-06,0.28881
2020-12-07,1.92586
2020-12-08,1.84169
2020-12-09,1.81336
2020-12-10,1.97482
2020-12-11,1.73359
2020-12-12,0.23751
2020-12-13,0.22514
2020-12-14,1.59386
2020-12-15,1.47283
2020-12-16,1.46169
2020-12-17,1.38151
2020-12-18,1.32677
2020-12-19,0.24026
2020-12-20,0.21193
2020-12-21,1.43886
2020-12-22,1.32897
2020-12-23,1.43515
2020-12-24,1.43322
2020-12-25,0.21248
2020-12-26,0.1737
2020-12-27,0.19584
2020-12-28,1.39155
2020-12-29,1.36445
2020-12-30,1.49511
2020-12-31,0.38165
2021-01-01,0.20354
2021-01-02,0.21056
2021-01-03,0.21248
2021-01-04,1.57392
2021-01-05,1.57983
2021-01-06,1.62357
2021-01-07,1.66428
2021-01-08,2.27822
2021-01-09,0.45523
2021-01-10,0.36514
2021-01-11,2.11002
2021-01-12,1.69536
2021-01-13,1.65052
2021-01-14,1.58327
2021-01-15,1.36748
2021-01-16,0.27657
2021-01-17,0.21523
2021-01-18,1.36459
2021-01-19,1.50749
2021-01-20,1.55384
2021-01-21,1.63154
2021-01-22,2.59166
2021-01-23,0.39925
2021-01-24,0.3485
2021-01-25,2.69852
2021-01-26,2.24109
2021-01-27,1.90991
2021-01-28,1.59166
2021-01-29,1.61641
2021-01-30,0.29294
2021-01-31,0.24095
