date,비갱신암보험
2020-03-20,28.125
2020-03-21,13.60294
2020-03-22,18.93382
2020-03-23,20.58823
2020-03-24,24.81617
2020-03-25,31.06617
2020-03-26,27.20588
2020-03-27,29.04411
2020-03-28,17.83088
2020-03-29,15.99264
2020-03-30,34.00735
2020-03-31,27.57352
2020-04-01,17.09558
2020-04-02,21.69117
2020-04-03,18.93382
2020-04-04,8.08823
2020-04-05,9.55882
2020-04-06,18.75
2020-04-07,18.0147
2020-04-08,20.77205
2020-04-09,18.56617
2020-04-10,15.44117
2020-04-11,7.53676
2020-04-12,7.72058
2020-04-13,18.56617
2020-04-14,19.30147
2020-04-15,14.52205
2020-04-16,19.48529
2020-04-17,20.95588
2020-04-18,10.11029
2020-04-19,9.375
2020-04-20,25.91911
2020-04-21,25.36764
2020-04-22,20.40441
2020-04-23,20.58823
2020-04-24,13.60294
2020-04-25,9.74264
2020-04-26,11.39705
2020-04-27,19.66911
2020-04-28,25.73529
2020-04-29,13.41911
2020-04-30,12.13235
2020-05-01,6.98529
2020-05-02,8.6397
2020-05-03,7.35294
2020-05-04,15.44117
2020-05-05,6.43382
2020-05-06,15.99264
2020-05-07,21.50735
2020-05-08,14.52205
2020-05-09,11.02941
2020-05-10,8.08823
2020-05-11,22.42647
2020-05-12,17.27941
2020-05-13,17.09558
2020-05-14,24.44852
2020-05-15,24.63235
2020-05-16,10.84558
2020-05-17,9.375
2020-05-18,25.36764
2020-05-19,26.83823
2020-05-20,30.14705
2020-05-21,22.61029
2020-05-22,25.18382
2020-05-23,13.97058
2020-05-24,8.6397
2020-05-25,25.91911
2020-05-26,26.28676
2020-05-27,23.89705
2020-05-28,27.75735
2020-05-29,22.79411
2020-05-30,18.0147
2020-05-31,9.375
2020-06-01,23.89705
2020-06-02,23.89705
2020-06-03,24.63235
2020-06-04,24.2647
2020-06-05,23.89705
2020-06-06,11.39705
2020-06-07,6.98529
2020-06-08,22.42647
2020-06-09,18.93382
2020-06-10,19.66911
2020-06-11,17.83088
2020-06-12,14.8897
2020-06-13,8.45588
2020-06-14,11.21323
2020-06-15,20.58823
2020-06-16,20.95588
2020-06-17,12.5
2020-06-18,17.83088
2020-06-19,14.52205
2020-06-20,9.55882
2020-06-21,7.90441
2020-06-22,13.41911
2020-06-23,15.625
2020-06-24,17.64705
2020-06-25,17.27941
2020-06-26,20.22058
2020-06-27,9.375
2020-06-28,6.43382
2020-06-29,12.86764
2020-06-30,17.46323
2020-07-01,18.0147
2020-07-02,14.8897
2020-07-03,16.36029
2020-07-04,7.16911
2020-07-05,5.33088
2020-07-06,17.27941
2020-07-07,19.30147
2020-07-08,21.1397
2020-07-09,19.66911
2020-07-10,19.48529
2020-07-11,7.90441
2020-07-12,6.80147
2020-07-13,24.44852
2020-07-14,22.61029
2020-07-15,24.81617
2020-07-16,21.69117
2020-07-17,20.58823
2020-07-18,6.61764
2020-07-19,12.31617
2020-07-20,20.77205
2020-07-21,21.69117
2020-07-22,19.11764
2020-07-23,18.75
2020-07-24,22.24264
2020-07-25,11.7647
2020-07-26,8.08823
2020-07-27,23.52941
2020-07-28,22.42647
2020-07-29,22.97794
2020-07-30,23.16176
2020-07-31,18.19852
2020-08-01,9.92647
2020-08-02,13.41911
2020-08-03,25.55147
2020-08-04,21.32352
2020-08-05,22.24264
2020-08-06,20.40441
2020-08-07,21.50735
2020-08-08,12.13235
2020-08-09,9.92647
2020-08-10,22.97794
2020-08-11,25.36764
2020-08-12,27.20588
2020-08-13,23.34558
2020-08-14,21.50735
2020-08-15,12.13235
2020-08-16,6.80147
2020-08-17,12.13235
2020-08-18,20.03676
2020-08-19,20.58823
2020-08-20,23.34558
2020-08-21,26.28676
2020-08-22,11.94852
2020-08-23,8.45588
2020-08-24,21.32352
2020-08-25,22.24264
2020-08-26,25.18382
2020-08-27,22.79411
2020-08-28,12.5
2020-08-29,12.5
2020-08-30,9.74264
2020-08-31,22.24264
2020-09-01,25.18382
2020-09-02,18.75
2020-09-03,24.2647
2020-09-04,20.95588
2020-09-05,9.74264
2020-09-06,11.58088
2020-09-07,24.63235
2020-09-08,20.03676
2020-09-09,31.25
2020-09-10,25.36764
2020-09-11,18.0147
2020-09-12,10.47794
2020-09-13,14.15441
2020-09-14,24.08088
2020-09-15,21.32352
2020-09-16,29.59558
2020-09-17,19.66911
2020-09-18,24.63235
2020-09-19,11.58088
2020-09-20,8.45588
2020-09-21,18.38235
2020-09-22,21.875
2020-09-23,21.69117
2020-09-24,16.91176
2020-09-25,18.38235
2020-09-26,12.31617
2020-09-27,9.92647
2020-09-28,23.89705
2020-09-29,15.625
2020-09-30,7.16911
2020-10-01,7.53676
2020-10-02,14.33823
2020-10-03,12.31617
2020-10-04,10.66176
2020-10-05,27.02205
2020-10-06,31.43382
2020-10-07,31.98529
2020-10-08,30.5147
2020-10-09,14.8897
2020-10-10,12.5
2020-10-11,10.11029
2020-10-12,20.40441
2020-10-13,31.25
2020-10-14,30.88235
2020-10-15,33.45588
2020-10-16,21.1397
2020-10-17,8.45588
2020-10-18,10.29411
2020-10-19,27.94117
2020-10-20,27.94117
2020-10-21,28.30882
2020-10-22,35.47794
2020-10-23,34.00735
2020-10-24,12.13235
2020-10-25,9.375
2020-10-26,21.32352
2020-10-27,26.10294
2020-10-28,24.63235
2020-10-29,28.125
2020-10-30,25.0
2020-10-31,7.16911
2020-11-01,8.27205
2020-11-02,30.5147
2020-11-03,26.10294
2020-11-04,27.94117
2020-11-05,23.52941
2020-11-06,22.79411
2020-11-07,10.11029
2020-11-08,9.19117
2020-11-09,22.42647
2020-11-10,27.3897
2020-11-11,22.42647
2020-11-12,32.72058
2020-11-13,25.55147
2020-11-14,8.27205
2020-11-15,10.47794
2020-11-16,23.16176
2020-11-17,22.42647
2020-11-18,24.08088
2020-11-19,31.43382
2020-11-20,26.65441
2020-11-21,12.13235
2020-11-22,11.21323
2020-11-23,23.16176
2020-11-24,30.5147
2020-11-25,36.39705
2020-11-26,30.88235
2020-11-27,27.02205
2020-11-28,13.78676
