date,키네틱아트
2020-03-20,10.59523
2020-03-21,7.2619
2020-03-22,9.04761
2020-03-23,13.45238
2020-03-24,14.88095
2020-03-25,13.57142
2020-03-26,13.80952
2020-03-27,11.30952
2020-03-28,8.57142
2020-03-29,7.85714
2020-03-30,12.97619
2020-03-31,13.45238
2020-04-01,9.64285
2020-04-02,12.2619
2020-04-03,11.19047
2020-04-04,9.04761
2020-04-05,8.57142
2020-04-06,19.5238
2020-04-07,18.57142
2020-04-08,16.90476
2020-04-09,15.95238
2020-04-10,21.07142
2020-04-11,13.21428
2020-04-12,9.40476
2020-04-13,20.0
2020-04-14,15.59523
2020-04-15,12.85714
2020-04-16,25.95238
2020-04-17,26.54761
2020-04-18,9.28571
2020-04-19,11.54761
2020-04-20,28.80952
2020-04-21,28.57142
2020-04-22,27.73809
2020-04-23,33.33333
2020-04-24,38.80952
2020-04-25,9.16666
2020-04-26,8.92857
2020-04-27,27.61904
2020-04-28,25.59523
2020-04-29,20.23809
2020-04-30,16.54761
2020-05-01,19.28571
2020-05-02,10.11904
2020-05-03,11.90476
2020-05-04,19.5238
2020-05-05,12.5
2020-05-06,22.2619
2020-05-07,31.78571
2020-05-08,18.92857
2020-05-09,12.5
2020-05-10,14.88095
2020-05-11,23.69047
2020-05-12,23.33333
2020-05-13,29.28571
2020-05-14,23.57142
2020-05-15,52.38095
2020-05-16,13.69047
2020-05-17,14.16666
2020-05-18,22.0238
2020-05-19,33.69047
2020-05-20,26.90476
2020-05-21,20.83333
2020-05-22,34.16666
2020-05-23,13.21428
2020-05-24,15.47619
2020-05-25,24.88095
2020-05-26,25.59523
2020-05-27,28.09523
2020-05-28,16.42857
2020-05-29,15.95238
2020-05-30,9.5238
2020-05-31,16.30952
2020-06-01,27.85714
2020-06-02,29.5238
2020-06-03,20.0
2020-06-04,21.42857
2020-06-05,21.30952
2020-06-06,14.28571
2020-06-07,15.71428
2020-06-08,19.16666
2020-06-09,19.04761
2020-06-10,18.45238
2020-06-11,17.85714
2020-06-12,14.28571
2020-06-13,10.71428
2020-06-14,11.66666
2020-06-15,19.5238
2020-06-16,18.09523
