date,해외주식프리마켓
2020-03-20,2.8409
2020-03-23,2.8409
2020-03-24,2.8409
2020-03-25,3.40909
2020-03-26,5.11363
2020-03-27,3.40909
2020-04-01,2.8409
2020-04-02,4.54545
2020-04-03,2.8409
2020-04-06,3.97727
2020-04-07,11.36363
2020-04-08,3.40909
2020-04-09,2.8409
2020-04-14,3.97727
2020-04-15,6.25
2020-04-17,6.81818
2020-04-19,2.8409
2020-04-20,2.8409
2020-04-21,2.8409
2020-04-24,3.97727
2020-04-28,2.8409
2020-04-30,7.38636
2020-05-01,2.8409
2020-05-04,3.97727
2020-05-05,4.54545
2020-05-08,2.8409
2020-05-11,3.97727
2020-05-13,6.81818
2020-05-19,4.54545
2020-05-20,2.8409
2020-05-26,5.11363
2020-05-27,2.8409
2020-05-28,2.8409
2020-06-01,5.68181
2020-06-05,4.54545
2020-06-08,17.04545
2020-06-09,18.18181
2020-06-10,6.25
2020-06-11,8.52272
2020-06-12,8.52272
2020-06-15,4.54545
2020-06-22,4.54545
2020-06-24,3.40909
2020-06-26,2.8409
2020-06-29,2.8409
2020-06-30,4.54545
2020-07-01,2.8409
2020-07-02,5.68181
2020-07-03,7.95454
2020-07-04,3.40909
2020-07-05,5.68181
2020-07-06,13.06818
2020-07-07,18.75
2020-07-08,9.0909
2020-07-09,9.65909
2020-07-10,5.11363
2020-07-13,14.77272
2020-07-14,14.77272
2020-07-15,10.79545
2020-07-16,4.54545
2020-07-17,4.54545
2020-07-18,2.8409
2020-07-21,10.79545
2020-07-22,5.68181
2020-07-23,5.11363
2020-07-24,5.68181
2020-07-27,7.95454
2020-07-28,2.8409
2020-07-30,5.11363
2020-07-31,7.95454
2020-08-01,3.40909
2020-08-03,6.25
2020-08-05,7.95454
2020-08-06,4.54545
2020-08-07,3.97727
2020-08-10,5.68181
2020-08-11,6.81818
2020-08-12,5.11363
2020-08-13,4.54545
2020-08-14,2.8409
2020-08-17,10.22727
2020-08-18,10.22727
2020-08-19,3.40909
2020-08-20,3.40909
2020-08-21,5.11363
2020-08-22,3.40909
2020-08-24,27.8409
2020-08-25,7.95454
2020-08-26,4.54545
2020-08-27,4.54545
2020-08-28,15.3409
2020-08-29,3.40909
2020-08-31,17.04545
2020-09-01,52.27272
2020-09-02,31.25
2020-09-03,24.43181
2020-09-04,24.43181
2020-09-05,3.97727
2020-09-08,7.95454
2020-09-09,11.93181
2020-09-15,3.40909
2020-09-16,3.40909
2020-09-17,7.95454
2020-09-18,3.40909
2020-09-21,10.79545
2020-09-24,2.8409
2020-09-25,4.54545
2020-09-30,3.40909
2020-10-01,3.40909
2020-10-02,4.54545
2020-10-05,3.97727
2020-10-07,2.8409
2020-10-12,2.8409
2020-10-20,5.68181
