date,금한돈가격
2020-03-20,13.55956
2020-03-21,7.8465
2020-03-22,5.18327
2020-03-23,7.63172
2020-03-24,7.41695
2020-03-25,7.03035
2020-03-26,6.01374
2020-03-27,5.25486
2020-03-28,3.8087
2020-03-29,4.02348
2020-03-30,4.78235
2020-03-31,5.02577
2020-04-01,4.23825
2020-04-02,4.45303
2020-04-03,4.20962
2020-04-04,3.49369
2020-04-05,3.17869
2020-04-06,4.78235
2020-04-07,4.30985
2020-04-08,5.46964
2020-04-09,4.3528
2020-04-10,6.3717
2020-04-11,4.08075
2020-04-12,9.14948
2020-04-13,9.40721
2020-04-14,8.79152
2020-04-15,5.56987
2020-04-16,6.65807
2020-04-17,8.37628
2020-04-18,5.21191
2020-04-19,7.54581
2020-04-20,7.66036
2020-04-21,6.51489
2020-04-22,6.30011
2020-04-23,6.48625
2020-04-24,8.66265
2020-04-25,5.58419
2020-04-26,5.91351
2020-04-27,9.87972
2020-04-28,7.56013
2020-04-29,6.11397
2020-04-30,5.38373
2020-05-01,4.61053
2020-05-02,4.38144
2020-05-03,4.39576
2020-05-04,4.91122
2020-05-05,4.43871
2020-05-06,5.99942
2020-05-07,4.99713
2020-05-08,4.46735
2020-05-09,4.1953
2020-05-10,3.93757
2020-05-11,4.5819
2020-05-12,4.1953
2020-05-13,4.39576
2020-05-14,4.3528
2020-05-15,4.68213
2020-05-16,3.98052
2020-05-17,3.49369
2020-05-18,7.5315
2020-05-19,7.33104
2020-05-20,4.96849
2020-05-21,5.26918
2020-05-22,4.69644
2020-05-23,4.49599
2020-05-24,4.33848
2020-05-25,5.04009
2020-05-26,4.82531
2020-05-27,4.63917
2020-05-28,4.49599
2020-05-29,4.33848
2020-05-30,2.92096
2020-05-31,3.37915
2020-06-01,4.1953
2020-06-02,5.02577
2020-06-03,4.83963
2020-06-04,4.48167
2020-06-05,4.33848
2020-06-06,3.69415
2020-06-07,3.76575
2020-06-08,4.86827
2020-06-09,5.35509
2020-06-10,4.76804
2020-06-11,4.65349
2020-06-12,4.91122
2020-06-13,4.68213
2020-06-14,3.86597
2020-06-15,5.8276
2020-06-16,5.35509
2020-06-17,4.39576
2020-06-18,4.16666
2020-06-19,4.3528
2020-06-20,3.32187
2020-06-21,3.19301
2020-06-22,6.22852
2020-06-23,5.54123
2020-06-24,3.98052
2020-06-25,4.63917
2020-06-26,4.0378
2020-06-27,4.3528
2020-06-28,3.49369
2020-06-29,4.23825
2020-06-30,4.48167
2020-07-01,5.95647
2020-07-02,5.36941
2020-07-03,4.41008
2020-07-04,3.33619
2020-07-05,4.69644
2020-07-06,6.5292
2020-07-07,4.79667
2020-07-08,6.57216
2020-07-09,6.07101
2020-07-10,4.5103
2020-07-11,3.76575
2020-07-12,4.30985
2020-07-13,7.78923
2020-07-14,14.06071
2020-07-15,10.36655
2020-07-16,7.4599
2020-07-17,6.24284
2020-07-18,4.86827
2020-07-19,5.02577
2020-07-20,5.55555
2020-07-21,5.09736
2020-07-22,9.34994
2020-07-23,14.03207
2020-07-24,16.63802
2020-07-25,24.55612
2020-07-26,12.19931
2020-07-27,22.16494
2020-07-28,26.80412
2020-07-29,27.04753
2020-07-30,16.13688
2020-07-31,14.69072
2020-08-01,14.37571
2020-08-02,11.5693
2020-08-03,11.98453
2020-08-04,11.1827
2020-08-05,37.15635
2020-08-06,22.45131
2020-08-07,20.24627
2020-08-08,14.23253
2020-08-09,11.23997
2020-08-10,14.76231
2020-08-11,15.23482
2020-08-12,34.52176
2020-08-13,22.69473
2020-08-14,13.78865
2020-08-15,10.83906
2020-08-16,8.86311
2020-08-17,9.59335
2020-08-18,14.31844
2020-08-19,11.21134
2020-08-20,11.61225
2020-08-21,9.80813
2020-08-22,6.12829
2020-08-23,5.72737
2020-08-24,8.82016
2020-08-25,8.46219
2020-08-26,7.37399
2020-08-27,8.66265
2020-08-28,8.47651
2020-08-29,7.37399
2020-08-30,7.21649
2020-08-31,8.82016
2020-09-01,8.7772
2020-09-02,9.66494
2020-09-03,8.53379
