date,채권투자방법
2020-03-20,3.13447
2020-03-21,2.32558
2020-03-22,2.27502
2020-03-23,2.57836
2020-03-24,1.92113
2020-03-25,2.0728
2020-03-26,3.89282
2020-03-27,3.08392
2020-03-28,2.98281
2020-03-29,2.57836
2020-03-30,1.76946
2020-03-31,0.65722
2020-04-01,1.31445
2020-04-02,1.31445
2020-04-03,0.85945
2020-04-04,0.70778
2020-04-05,2.12335
2020-04-06,1.51668
2020-04-07,1.21334
2020-04-08,0.91001
2020-04-09,0.96056
2020-04-10,1.41557
2020-04-11,1.01112
2020-04-12,2.0728
2020-04-13,1.7189
2020-04-14,1.36501
2020-04-15,1.01112
2020-04-16,1.51668
2020-04-17,1.01112
2020-04-18,1.06167
2020-04-19,1.51668
2020-04-20,1.46612
2020-04-21,1.2639
2020-04-22,1.97168
2020-04-23,1.46612
2020-04-24,0.85945
2020-04-25,0.55611
2020-04-26,1.21334
2020-04-27,1.16279
2020-04-28,1.56723
2020-04-29,0.96056
2020-04-30,1.11223
2020-05-01,1.97168
2020-05-02,0.85945
2020-05-03,1.92113
2020-05-04,2.83114
2020-05-05,2.22446
2020-05-06,1.92113
2020-05-07,1.76946
2020-05-08,1.51668
2020-05-09,1.56723
2020-05-10,1.61779
2020-05-11,3.94337
2020-05-12,3.23559
2020-05-13,4.90394
2020-05-14,5.61172
2020-05-15,3.18503
2020-05-16,2.42669
2020-05-17,2.83114
2020-05-18,2.57836
2020-05-19,3.08392
2020-05-20,3.84226
2020-05-21,2.83114
2020-05-22,2.98281
2020-05-23,1.51668
2020-05-24,1.31445
2020-05-25,2.27502
2020-05-26,1.7189
2020-05-27,1.31445
2020-05-28,1.36501
2020-05-29,1.31445
2020-05-30,1.66835
2020-05-31,1.41557
2020-06-01,2.27502
2020-06-02,1.92113
2020-06-03,1.51668
2020-06-04,2.47724
2020-06-05,1.7189
2020-06-06,1.87057
2020-06-07,1.31445
2020-06-08,3.74115
2020-06-09,3.23559
2020-06-10,2.93225
2020-06-11,2.5278
2020-06-12,2.88169
2020-06-13,3.43781
2020-06-14,1.82002
2020-06-15,2.67947
2020-06-16,1.76946
2020-06-17,2.47724
2020-06-18,1.16279
2020-06-19,1.56723
2020-06-20,1.01112
2020-06-21,1.36501
2020-06-22,2.27502
2020-06-23,1.61779
2020-06-24,1.87057
2020-06-25,2.37613
2020-06-26,2.17391
2020-06-27,0.96056
2020-06-28,1.92113
2020-06-29,2.22446
2020-06-30,2.32558
2020-07-01,1.56723
2020-07-02,2.27502
2020-07-03,1.7189
2020-07-04,1.56723
2020-07-05,1.66835
2020-07-06,1.76946
2020-07-07,2.22446
2020-07-08,1.92113
2020-07-09,1.76946
2020-07-10,1.51668
2020-07-11,1.31445
2020-07-12,1.76946
2020-07-13,2.62891
2020-07-14,1.92113
2020-07-15,2.88169
2020-07-16,1.66835
2020-07-17,2.0728
2020-07-18,1.16279
2020-07-19,0.91001
2020-07-20,1.97168
2020-07-21,1.36501
2020-07-22,1.2639
2020-07-23,1.36501
2020-07-24,1.46612
2020-07-25,0.96056
2020-07-26,2.42669
2020-07-27,3.3367
2020-07-28,3.18503
2020-07-29,2.62891
2020-07-30,2.32558
2020-07-31,2.93225
2020-08-01,2.0728
2020-08-02,1.76946
2020-08-03,2.62891
2020-08-04,2.17391
2020-08-05,2.93225
2020-08-06,2.78058
2020-08-07,2.47724
2020-08-08,2.02224
2020-08-09,2.0728
2020-08-10,2.57836
2020-08-11,2.02224
2020-08-12,1.7189
2020-08-13,1.76946
2020-08-14,2.67947
2020-08-15,1.11223
2020-08-16,1.66835
2020-08-17,1.7189
2020-08-18,1.92113
2020-08-19,1.56723
