date,VOO주가
2021-09-10,4.7619
2021-09-11,2.5641
2021-09-13,2.1978
2021-09-14,4.3956
2021-09-15,10.62271
2021-09-16,8.7912
2021-09-17,6.5934
2021-09-18,5.4945
2021-09-20,3.2967
2021-09-21,6.9597
2021-09-22,6.5934
2021-09-23,4.7619
2021-09-24,5.8608
2021-09-25,5.8608
2021-09-26,4.7619
2021-09-27,2.5641
2021-09-28,9.8901
2021-09-29,11.35531
2021-09-30,9.5238
2021-10-01,5.8608
2021-10-02,5.1282
2021-10-03,3.663
2021-10-04,2.5641
2021-10-05,9.5238
2021-10-06,8.0586
2021-10-07,5.8608
2021-10-08,2.9304
2021-10-09,1.8315
2021-10-10,4.7619
2021-10-11,5.8608
2021-10-12,10.25641
2021-10-13,10.25641
2021-10-14,9.1575
2021-10-15,7.326
2021-10-16,8.7912
2021-10-17,2.5641
2021-10-18,6.2271
2021-10-19,8.7912
2021-10-20,5.8608
2021-10-21,6.5934
2021-10-22,8.7912
2021-10-23,5.8608
2021-10-24,6.2271
2021-10-25,4.0293
2021-10-26,9.5238
2021-10-27,8.0586
2021-10-28,3.2967
2021-10-29,3.2967
2021-10-30,6.5934
2021-10-31,1.8315
2021-11-01,1.8315
2021-11-02,4.3956
2021-11-03,5.4945
2021-11-04,4.0293
2021-11-05,8.4249
2021-11-07,3.2967
2021-11-08,2.1978
2021-11-09,10.98901
2021-11-10,6.5934
2021-11-11,8.0586
2021-11-12,5.8608
2021-11-13,2.1978
2021-11-15,2.9304
2021-11-16,5.4945
2021-11-17,6.5934
2021-11-18,6.2271
2021-11-19,5.1282
2021-11-20,4.0293
2021-11-21,1.8315
2021-11-22,2.1978
2021-11-23,10.62271
2021-11-24,4.0293
2021-11-25,3.663
2021-11-26,8.4249
2021-11-27,4.3956
2021-11-29,2.9304
2021-11-30,6.2271
2021-12-01,2.1978
2021-12-02,5.1282
2021-12-03,5.1282
2021-12-04,2.5641
2021-12-05,2.9304
2021-12-06,6.2271
2021-12-07,5.8608
2021-12-08,4.3956
2021-12-09,4.0293
2021-12-10,6.9597
2021-12-11,2.5641
2021-12-13,5.1282
2021-12-14,5.8608
2021-12-15,4.0293
2021-12-16,7.326
2021-12-17,7.326
2021-12-18,2.5641
2021-12-19,1.8315
2021-12-20,1.8315
2021-12-21,4.7619
2021-12-22,2.9304
2021-12-23,5.1282
2021-12-24,3.2967
2021-12-25,1.8315
2021-12-26,4.0293
2021-12-27,6.2271
2021-12-28,11.72161
2021-12-29,6.5934
2021-12-30,10.25641
2021-12-31,6.2271
2022-01-01,3.663
2022-01-03,2.1978
2022-01-04,6.9597
2022-01-05,8.4249
2022-01-06,12.08791
2022-01-07,12.45421
2022-01-08,9.8901
2022-01-09,2.5641
2022-01-10,7.326
2022-01-11,9.1575
2022-01-12,10.25641
2022-01-13,5.8608
2022-01-14,9.1575
2022-01-15,5.1282
2022-01-16,3.2967
2022-01-17,6.9597
2022-01-18,9.5238
2022-01-19,10.98901
2022-01-20,9.5238
2022-01-21,12.82051
2022-01-22,6.5934
2022-01-23,6.9597
2022-01-24,8.0586
2022-01-25,14.65201
2022-01-26,13.91941
2022-01-27,9.8901
2022-01-28,16.11721
2022-01-29,5.8608
2022-01-30,3.2967
2022-01-31,2.1978
2022-02-01,8.0586
2022-02-02,7.6923
2022-02-03,10.98901
2022-02-04,15.75091
2022-02-05,12.45421
2022-02-06,5.1282
2022-02-07,8.7912
2022-02-08,6.5934
2022-02-09,6.5934
2022-02-10,9.5238
2022-02-11,9.5238
2022-02-12,8.4249
2022-02-13,2.5641
2022-02-14,4.7619
2022-02-15,12.45421
2022-02-16,7.6923
2022-02-17,8.7912
2022-02-18,12.08791
2022-02-19,8.4249
2022-02-20,2.1978
2022-02-21,5.1282
2022-02-22,8.0586
2022-02-23,6.2271
2022-02-24,11.72161
2022-02-25,10.98901
2022-02-26,8.4249
2022-02-27,3.663
2022-02-28,5.1282
2022-03-01,9.8901
2022-03-02,10.25641
2022-03-03,6.5934
2022-03-04,6.2271
2022-03-05,4.3956
2022-03-06,1.8315
2022-03-07,2.9304
2022-03-08,6.9597
2022-03-09,7.6923
2022-03-10,8.7912
2022-03-11,10.25641
2022-03-12,5.4945
2022-03-13,2.9304
2022-03-14,3.2967
2022-03-15,8.4249
2022-03-16,2.9304
2022-03-17,8.4249
2022-03-18,3.2967
2022-03-19,3.663
2022-03-20,4.0293
2022-03-21,5.8608
2022-03-22,9.8901
2022-03-23,7.6923
