date,박물관
2020-11-08,27.99413
2020-11-09,16.28978
2020-11-10,15.99664
2020-11-11,14.40536
2020-11-12,17.00167
2020-11-13,17.98576
2020-11-14,23.91122
2020-11-15,23.63902
2020-11-16,13.40033
2020-11-17,13.00251
2020-11-18,14.02847
2020-11-19,15.09631
2020-11-20,14.65661
2020-11-21,19.13735
2020-11-22,22.29899
2020-11-23,14.17504
2020-11-24,12.3953
2020-11-25,12.24874
2020-11-26,10.51088
2020-11-27,10.7412
2020-11-28,13.58877
2020-11-29,12.16499
2020-11-30,11.76716
2020-12-01,11.11809
2020-12-02,11.85092
2020-12-03,11.43216
2020-12-04,16.16415
2020-12-05,13.60971
2020-12-06,15.45226
2020-12-07,13.35845
2020-12-08,11.93467
2020-12-09,10.25963
2020-12-10,10.44807
2020-12-11,10.88777
2020-12-12,10.42713
2020-12-13,9.73618
2020-12-14,10.65745
2020-12-15,8.54271
2020-12-16,8.60552
2020-12-17,8.56365
2020-12-18,8.54271
2020-12-19,10.69932
2020-12-20,9.71524
2020-12-21,10.38525
2020-12-22,9.98743
2020-12-23,8.56365
2020-12-24,7.28643
2020-12-25,8.3752
2020-12-26,9.06616
2020-12-27,9.2546
2020-12-28,11.09715
2020-12-29,10.19681
2020-12-30,11.72529
2020-12-31,8.77303
2021-01-01,11.68341
2021-01-02,13.14907
2021-01-03,11.85092
2021-01-04,10.92964
2021-01-05,10.21775
2021-01-06,10.67839
2021-01-07,8.83584
2021-01-08,10.78308
2021-01-09,12.45812
2021-01-10,13.42127
2021-01-11,10.67839
2021-01-12,9.92462
2021-01-13,11.47403
2021-01-14,12.18592
2021-01-15,14.23785
2021-01-16,22.8015
2021-01-17,21.21021
2021-01-18,16.64572
2021-01-19,15.93383
2021-01-20,20.89614
2021-01-21,16.8551
2021-01-22,20.60301
2021-01-23,25.83752
2021-01-24,27.07286
2021-01-25,15.13819
2021-01-26,15.49413
2021-01-27,13.90284
2021-01-28,13.92378
2021-01-29,18.25795
2021-01-30,25.62814
2021-01-31,24.76968
2021-02-01,14.65661
2021-02-02,13.98659
2021-02-03,13.25376
2021-02-04,12.73031
