date,비과세개인연금
2020-03-20,43.98976
2020-03-21,22.76214
2020-03-22,29.41176
2020-03-23,40.4092
2020-03-24,35.29411
2020-03-25,41.94373
2020-03-26,36.31713
2020-03-27,37.34015
2020-03-28,18.67007
2020-03-29,22.25063
2020-03-30,43.73401
2020-03-31,35.29411
2020-04-01,33.50383
2020-04-02,32.73657
2020-04-03,26.85421
2020-04-04,23.27365
2020-04-05,28.90025
2020-04-06,30.17902
2020-04-07,30.17902
2020-04-08,27.10997
2020-04-09,23.52941
2020-04-10,20.46035
2020-04-11,20.97186
2020-04-12,25.57544
2020-04-13,37.34015
2020-04-14,34.01534
2020-04-15,20.2046
2020-04-16,27.10997
2020-04-17,23.78516
2020-04-18,18.15856
2020-04-19,20.71611
2020-04-20,34.01534
2020-04-21,36.31713
2020-04-22,37.85166
2020-04-23,34.01534
2020-04-24,34.01534
2020-04-25,18.92583
2020-04-26,26.08695
2020-04-27,34.52685
2020-04-28,30.17902
2020-04-29,37.08439
2020-04-30,27.10997
2020-05-01,30.43478
2020-05-02,17.13554
2020-05-03,21.22762
2020-05-04,38.36317
2020-05-05,39.13043
2020-05-06,34.7826
2020-05-07,28.13299
2020-05-08,32.48081
2020-05-09,27.36572
2020-05-10,30.69053
2020-05-11,41.43222
2020-05-12,41.94373
2020-05-13,41.68797
2020-05-14,35.03836
2020-05-15,26.34271
2020-05-16,24.04092
2020-05-17,31.9693
2020-05-18,37.85166
2020-05-19,41.94373
2020-05-20,33.50383
2020-05-21,35.03836
2020-05-22,34.52685
2020-05-23,21.22762
2020-05-24,23.27365
2020-05-25,40.4092
2020-05-26,36.57289
2020-05-27,32.22506
2020-05-28,29.41176
2020-05-29,25.31969
2020-05-30,21.48337
2020-05-31,20.46035
2020-06-01,32.73657
2020-06-02,46.54731
2020-06-03,30.43478
2020-06-04,34.27109
2020-06-05,68.79795
2020-06-06,30.69053
2020-06-07,21.99488
2020-06-08,20.46035
2020-06-09,22.76214
2020-06-10,31.4578
2020-06-11,21.48337
2020-06-12,19.94884
2020-06-13,14.83375
2020-06-14,12.27621
2020-06-15,24.80818
2020-06-16,25.06393
2020-06-17,24.55242
2020-06-18,20.46035
2020-06-19,23.27365
2020-06-20,10.48593
2020-06-21,15.60102
2020-06-22,25.06393
2020-06-23,20.46035
2020-06-24,20.71611
2020-06-25,22.25063
2020-06-26,21.73913
2020-06-27,18.67007
2020-06-28,16.36828
2020-06-29,21.73913
2020-06-30,26.34271
2020-07-01,25.57544
2020-07-02,26.34271
2020-07-03,22.25063
2020-07-04,14.06649
2020-07-05,13.55498
2020-07-06,30.94629
2020-07-07,23.78516
2020-07-08,20.2046
2020-07-09,24.04092
2020-07-10,19.18158
2020-07-11,12.53196
2020-07-12,22.25063
2020-07-13,32.22506
2020-07-14,25.8312
2020-07-15,27.36572
2020-07-16,24.55242
2020-07-17,16.87979
2020-07-18,12.02046
2020-07-19,13.55498
2020-07-20,24.29667
2020-07-21,33.75959
2020-07-22,34.52685
2020-07-23,28.6445
2020-07-24,27.87723
2020-07-25,20.46035
2020-07-26,17.13554
2020-07-27,25.06393
2020-07-28,27.87723
2020-07-29,21.48337
2020-07-30,21.22762
2020-07-31,18.92583
2020-08-01,13.29923
2020-08-02,9.97442
2020-08-03,19.69309
2020-08-04,16.36828
2020-08-05,21.99488
2020-08-06,21.48337
2020-08-07,18.41432
2020-08-08,40.66496
2020-08-09,21.22762
2020-08-10,26.85421
2020-08-11,32.22506
2020-08-12,26.34271
2020-08-13,27.10997
2020-08-14,21.99488
2020-08-15,13.29923
2020-08-16,16.87979
2020-08-17,17.3913
2020-08-18,17.90281
2020-08-19,25.8312
2020-08-20,21.99488
2020-08-21,19.18158
2020-08-22,13.81074
2020-08-23,14.578
2020-08-24,18.41432
2020-08-25,25.06393
2020-08-26,21.99488
