date,IRP
2020-03-20,14.37445
2020-03-21,8.10459
2020-03-22,7.45449
2020-03-23,14.53337
2020-03-24,14.28777
2020-03-25,15.48685
2020-03-26,14.8223
2020-03-27,13.68101
2020-03-28,6.61658
2020-03-29,8.74024
2020-03-30,16.20918
2020-03-31,15.08234
2020-04-01,12.94423
2020-04-02,12.85755
2020-04-03,11.61514
2020-04-04,6.34209
2020-04-05,7.42559
2020-04-06,13.62323
2020-04-07,13.18982
2020-04-08,13.04536
2020-04-09,11.77405
2020-04-10,11.39843
2020-04-11,6.63103
2020-04-12,6.78994
2020-04-13,11.90407
2020-04-14,11.26841
2020-04-15,6.87662
2020-04-16,12.16411
2020-04-17,12.03409
2020-04-18,6.00982
2020-04-19,7.12221
2020-04-20,12.55417
2020-04-21,12.85755
2020-04-22,13.13204
2020-04-23,13.36318
2020-04-24,11.02282
2020-04-25,6.28431
2020-04-26,6.58769
2020-04-27,11.65848
2020-04-28,12.88644
2020-04-29,22.37792
2020-04-30,7.49783
2020-05-01,5.99537
2020-05-02,5.85091
2020-05-03,6.55879
2020-05-04,12.09188
2020-05-05,6.89107
2020-05-06,12.30858
2020-05-07,10.8928
2020-05-08,11.00837
2020-05-09,6.24097
2020-05-10,6.21207
2020-05-11,12.97312
2020-05-12,12.55417
2020-05-13,11.84628
2020-05-14,11.70182
2020-05-15,11.45622
2020-05-16,5.85091
2020-05-17,5.98093
2020-05-18,12.46749
2020-05-19,15.09679
2020-05-20,14.28777
2020-05-21,13.57989
2020-05-22,11.42733
2020-05-23,5.61976
2020-05-24,6.02427
2020-05-25,12.2219
2020-05-26,13.94105
2020-05-27,13.18982
2020-05-28,12.38081
2020-05-29,12.46749
2020-05-30,5.95203
2020-05-31,6.32765
2020-06-01,14.67783
2020-06-02,12.64085
2020-06-03,16.65703
2020-06-04,11.74516
2020-06-05,11.3262
2020-06-06,6.48656
2020-06-07,6.90551
2020-06-08,12.51083
2020-06-09,13.68101
2020-06-10,14.79341
2020-06-11,14.22999
2020-06-12,12.06298
2020-06-13,6.3132
2020-06-14,6.60213
2020-06-15,10.35827
2020-06-16,11.26841
2020-06-17,14.25888
2020-06-18,13.70991
2020-06-19,12.07743
2020-06-20,6.71771
2020-06-21,6.42877
2020-06-22,12.6553
2020-06-23,13.0598
2020-06-24,12.6264
2020-06-25,32.85177
2020-06-26,11.99075
2020-06-27,5.02744
2020-06-28,5.24414
2020-06-29,11.23952
2020-06-30,12.09188
2020-07-01,10.35827
2020-07-02,12.01964
2020-07-03,11.74516
2020-07-04,6.76105
2020-07-05,7.52672
2020-07-06,12.53972
2020-07-07,14.36001
2020-07-08,14.07107
2020-07-09,12.36636
2020-07-10,10.83501
2020-07-11,5.96648
2020-07-12,7.23779
2020-07-13,12.81421
2020-07-14,12.12077
2020-07-15,12.33747
2020-07-16,11.49956
2020-07-17,11.28286
2020-07-18,6.02427
2020-07-19,6.73215
2020-07-20,11.65848
2020-07-21,12.74198
2020-07-22,13.16093
2020-07-23,14.30222
2020-07-24,11.7596
2020-07-25,6.84773
2020-07-26,9.28922
