date,지원사업
2020-03-20,26.70807
2020-03-21,14.28571
2020-03-22,12.42236
2020-03-23,30.43478
2020-03-24,41.6149
2020-03-25,27.95031
2020-03-26,30.43478
2020-03-27,39.13043
2020-03-28,13.04347
2020-03-29,14.28571
2020-03-30,42.23602
2020-03-31,41.6149
2020-04-01,33.54037
2020-04-02,32.29813
2020-04-03,27.32919
2020-04-04,4.96894
2020-04-05,9.31677
2020-04-06,32.91925
2020-04-07,35.40372
2020-04-08,37.26708
2020-04-09,44.09937
2020-04-10,33.54037
2020-04-11,9.31677
2020-04-12,17.3913
2020-04-13,35.40372
2020-04-14,32.91925
2020-04-15,14.90683
2020-04-16,34.16149
2020-04-17,29.19254
2020-04-18,11.80124
2020-04-19,16.14906
2020-04-20,36.02484
2020-04-21,46.58385
2020-04-22,41.6149
2020-04-23,36.02484
2020-04-24,26.08695
2020-04-25,10.559
2020-04-26,8.69565
2020-04-27,32.91925
2020-04-28,40.37267
2020-04-29,31.67701
2020-04-30,9.93788
2020-05-01,14.90683
2020-05-02,6.83229
2020-05-03,14.90683
2020-05-04,26.08695
2020-05-05,12.42236
2020-05-06,35.40372
2020-05-07,31.67701
2020-05-08,31.67701
2020-05-09,4.34782
2020-05-10,10.559
2020-05-11,32.91925
2020-05-12,49.68944
2020-05-13,44.09937
2020-05-14,37.88819
2020-05-15,34.16149
2020-05-16,6.21118
2020-05-17,11.18012
2020-05-18,35.40372
2020-05-19,40.99378
2020-05-20,28.57142
2020-05-21,28.57142
2020-05-22,34.7826
2020-05-23,9.31677
2020-05-24,10.559
2020-05-25,34.16149
2020-05-26,43.47826
2020-05-27,35.40372
2020-05-28,36.02484
2020-05-29,31.0559
2020-05-30,9.93788
2020-05-31,3.10559
2020-06-01,43.47826
2020-06-02,29.19254
2020-06-03,28.57142
2020-06-04,30.43478
2020-06-05,29.81366
2020-06-06,14.90683
2020-06-07,3.10559
2020-06-08,37.26708
2020-06-09,33.54037
2020-06-10,44.72049
2020-06-11,29.81366
2020-06-12,22.98136
2020-06-13,11.18012
2020-06-14,13.66459
2020-06-15,21.73913
2020-06-16,35.40372
2020-06-17,39.75155
2020-06-18,21.11801
2020-06-19,23.60248
2020-06-20,10.559
2020-06-21,12.42236
2020-06-22,27.32919
2020-06-23,30.43478
2020-06-24,25.46583
2020-06-25,31.0559
2020-06-26,36.64596
2020-06-27,3.7267
2020-06-28,9.31677
2020-06-29,29.81366
2020-06-30,35.40372
2020-07-01,27.95031
2020-07-02,35.40372
2020-07-03,28.57142
2020-07-04,9.31677
2020-07-05,13.66459
2020-07-06,30.43478
2020-07-07,24.84472
2020-07-08,26.08695
2020-07-09,32.29813
2020-07-10,26.70807
2020-07-11,9.93788
2020-07-12,5.59006
2020-07-13,31.67701
2020-07-14,24.2236
2020-07-15,24.84472
2020-07-16,26.08695
2020-07-17,22.98136
2020-07-18,8.69565
2020-07-19,9.93788
2020-07-20,22.98136
2020-07-21,33.54037
2020-07-22,32.29813
2020-07-23,24.84472
2020-07-24,26.70807
2020-07-25,10.559
2020-07-26,9.31677
2020-07-27,34.16149
2020-07-28,31.67701
2020-07-29,26.70807
2020-07-30,29.81366
2020-07-31,22.98136
2020-08-01,3.7267
2020-08-02,3.7267
2020-08-03,31.0559
2020-08-04,32.91925
2020-08-05,21.73913
2020-08-06,25.46583
2020-08-07,19.87577
2020-08-08,11.18012
2020-08-09,4.96894
2020-08-10,19.87577
2020-08-11,36.64596
2020-08-12,29.81366
2020-08-13,22.98136
2020-08-14,30.43478
2020-08-15,8.07453
2020-08-16,10.559
2020-08-17,11.18012
2020-08-18,34.16149
2020-08-19,34.16149
2020-08-20,35.40372
2020-08-21,30.43478
2020-08-22,9.31677
2020-08-23,9.93788
2020-08-24,23.60248
2020-08-25,37.88819
2020-08-26,26.08695
2020-08-27,18.01242
2020-08-28,32.91925
2020-08-29,8.69565
2020-08-30,7.45341
2020-08-31,26.08695
2020-09-01,28.57142
2020-09-02,27.32919
2020-09-03,35.40372
2020-09-04,20.49689
2020-09-05,6.83229
2020-09-06,11.18012
2020-09-07,39.13043
2020-09-08,26.08695
2020-09-09,37.26708
2020-09-10,31.67701
2020-09-11,36.02484
2020-09-12,6.83229
2020-09-13,11.18012
