date,부동산증여세계산기
2020-03-27,0.87591
2020-04-01,2.04379
2020-04-06,0.72992
2020-04-09,0.87591
2020-04-13,0.87591
2020-04-15,0.72992
2020-04-19,1.16788
2020-04-20,1.02189
2020-04-21,1.31386
2020-04-22,1.02189
2020-04-23,1.89781
2020-04-25,1.16788
2020-04-27,2.18978
2020-04-28,1.60583
2020-05-01,0.87591
2020-05-04,1.89781
2020-05-05,0.87591
2020-05-07,1.60583
2020-05-09,0.87591
2020-05-13,1.60583
2020-05-14,1.16788
2020-05-15,1.16788
2020-05-17,1.02189
2020-05-18,1.31386
2020-05-21,1.75182
2020-05-22,0.87591
2020-05-25,0.87591
2020-05-26,1.02189
2020-05-29,1.75182
2020-05-31,1.02189
2020-06-01,1.16788
2020-06-03,0.87591
2020-06-05,1.02189
2020-06-08,1.60583
2020-06-11,0.72992
2020-06-12,1.02189
2020-06-13,0.87591
2020-06-14,1.45985
2020-06-15,1.60583
2020-06-16,1.75182
2020-06-17,1.31386
2020-06-18,0.72992
2020-06-19,0.87591
2020-06-20,0.87591
2020-06-21,1.89781
2020-06-22,3.50364
2020-06-23,3.06569
2020-06-24,2.18978
2020-06-25,1.02189
2020-06-26,2.04379
2020-06-28,1.02189
2020-06-29,3.06569
2020-06-30,1.60583
2020-07-02,2.18978
2020-07-03,2.04379
2020-07-05,1.16788
2020-07-06,2.04379
2020-07-07,1.75182
2020-07-08,3.35766
2020-07-09,2.33576
2020-07-10,5.54744
2020-07-11,34.59854
2020-07-12,62.9197
2020-07-13,100.0
2020-07-14,89.19708
2020-07-15,62.9197
2020-07-16,60.87591
2020-07-17,55.62043
2020-07-18,33.86861
2020-07-19,30.80291
2020-07-20,63.79562
2020-07-21,58.24817
2020-07-22,55.32846
2020-07-23,51.38686
2020-07-24,47.15328
2020-07-25,41.60583
2020-07-26,34.16058
2020-07-27,52.26277
2020-07-28,58.83211
2020-07-29,57.37226
2020-07-30,40.58394
2020-07-31,37.9562
2020-08-01,26.13138
2020-08-02,16.64233
2020-08-03,22.04379
2020-08-04,16.49635
2020-08-05,18.68613
2020-08-06,16.35036
2020-08-07,13.13868
2020-08-08,3.21167
2020-08-09,9.63503
2020-08-10,18.24817
2020-08-11,17.22627
2020-08-12,15.9124
2020-08-13,12.40875
2020-08-14,16.05839
2020-08-15,11.38686
2020-08-16,11.09489
2020-08-17,14.45255
2020-08-18,14.59854
2020-08-19,15.9124
