date,금리높은적금
2020-03-20,9.37961
2020-03-21,6.12998
2020-03-22,5.28064
2020-03-23,8.38257
2020-03-24,8.75184
2020-03-25,9.30576
2020-03-26,11.77991
2020-03-27,9.37961
2020-03-28,6.46233
2020-03-29,6.57311
2020-03-30,10.00738
2020-03-31,10.26587
2020-04-01,9.78581
2020-04-02,8.19793
2020-04-03,8.97341
2020-04-04,6.20384
2020-04-05,6.31462
2020-04-06,9.56425
2020-04-07,8.71491
2020-04-08,9.74889
2020-04-09,9.19497
2020-04-10,9.41654
2020-04-11,6.86853
2020-04-12,7.86558
2020-04-13,10.22895
2020-04-14,10.15509
2020-04-15,7.57016
2020-04-16,10.26587
2020-04-17,10.26587
2020-04-18,6.79468
2020-04-19,8.41949
2020-04-20,12.62924
2020-04-21,11.11521
2020-04-22,10.48744
2020-04-23,9.93353
2020-04-24,11.11521
2020-04-25,7.16395
2020-04-26,5.64992
2020-04-27,10.93057
2020-04-28,10.15509
2020-04-29,7.90251
2020-04-30,6.35155
2020-05-01,6.24076
2020-05-02,5.16986
2020-05-03,6.4254
2020-05-04,9.8966
2020-05-05,8.19793
2020-05-06,9.97045
2020-05-07,8.41949
2020-05-08,10.45051
2020-05-09,6.46233
2020-05-10,6.61004
2020-05-11,12.4446
2020-05-12,10.67208
2020-05-13,10.11816
2020-05-14,11.29985
2020-05-15,10.45051
2020-05-16,5.42836
2020-05-17,6.83161
2020-05-18,8.89955
2020-05-19,9.12112
2020-05-20,12.00147
2020-05-21,10.74593
2020-05-22,9.30576
2020-05-23,4.9483
2020-05-24,5.61299
2020-05-25,14.29098
2020-05-26,13.29394
2020-05-27,10.08124
2020-05-28,10.00738
2020-05-29,9.37961
2020-05-30,5.39143
2020-05-31,8.67799
2020-06-01,13.58936
2020-06-02,10.41358
2020-06-03,8.86262
2020-06-04,8.86262
2020-06-05,7.64401
2020-06-06,5.39143
2020-06-07,5.05908
2020-06-08,10.67208
2020-06-09,10.3028
2020-06-10,10.70901
2020-06-11,8.8257
2020-06-12,8.08714
2020-06-13,3.47119
2020-06-14,6.49926
2020-06-15,13.07237
2020-06-16,14.88183
2020-06-17,9.74889
2020-06-18,7.27474
2020-06-19,8.60413
2020-06-20,5.79763
2020-06-21,6.38847
2020-06-22,11.52141
2020-06-23,10.48744
2020-06-24,8.49335
2020-06-25,11.26292
2020-06-26,9.49039
2020-06-27,4.54209
2020-06-28,5.79763
2020-06-29,10.63515
2020-06-30,10.19202
2020-07-01,12.74002
2020-07-02,11.89069
2020-07-03,10.3028
2020-07-04,5.50221
2020-07-05,6.24076
2020-07-06,11.48449
2020-07-07,12.18611
2020-07-08,11.55834
2020-07-09,10.70901
2020-07-10,8.19793
2020-07-11,4.35745
2020-07-12,5.13293
2020-07-13,10.41358
2020-07-14,8.97341
2020-07-15,10.59822
2020-07-16,10.22895
2020-07-17,7.16395
2020-07-18,5.68685
2020-07-19,5.39143
2020-07-20,10.22895
2020-07-21,12.00147
2020-07-22,7.01624
2020-07-23,8.78877
2020-07-24,10.52437
2020-07-25,6.64697
2020-07-26,6.20384
2020-07-27,10.81979
2020-07-28,9.82274
2020-07-29,11.48449
2020-07-30,8.60413
2020-07-31,8.49335
2020-08-01,6.72082
2020-08-02,6.05612
2020-08-03,11.96454
2020-08-04,8.49335
2020-08-05,9.56425
2020-08-06,7.53323
2020-08-07,9.04726
2020-08-08,4.2836
2020-08-09,5.68685
2020-08-10,9.56425
2020-08-11,9.97045
2020-08-12,10.3028
2020-08-13,8.30871
2020-08-14,8.12407
2020-08-15,4.20974
2020-08-16,3.54505
2020-08-17,5.46528
2020-08-18,9.56425
2020-08-19,10.22895
2020-08-20,9.37961
2020-08-21,8.45642
2020-08-22,6.09305
2020-08-23,6.61004
2020-08-24,11.26292
2020-08-25,14.21713
2020-08-26,9.82274
2020-08-27,10.9675
2020-08-28,10.00738
2020-08-29,5.28064
2020-08-30,6.64697
2020-08-31,10.22895
2020-09-01,11.15214
2020-09-02,10.59822
2020-09-03,9.2319
2020-09-04,8.89955
2020-09-05,5.79763
2020-09-06,5.31757
2020-09-07,8.19793
2020-09-08,9.2319
2020-09-09,10.56129
2020-09-10,9.01033
2020-09-11,9.04726
2020-09-12,5.31757
2020-09-13,5.05908
2020-09-14,7.34859
2020-09-15,7.16395
2020-09-16,8.38257
2020-09-17,9.74889
2020-09-18,7.7548
2020-09-19,5.39143
2020-09-20,6.12998
2020-09-21,7.57016
2020-09-22,7.42245
2020-09-23,5.57607
2020-09-24,6.83161
2020-09-25,7.05317
2020-09-26,5.64992
2020-09-27,4.83751
2020-09-28,9.26883
2020-09-29,8.12407
2020-09-30,3.76661
2020-10-01,6.31462
2020-10-02,5.31757
2020-10-03,7.16395
2020-10-04,7.68094
2020-10-05,10.04431
2020-10-06,10.04431
2020-10-07,8.8257
2020-10-08,7.57016
2020-10-09,4.91137
2020-10-10,5.42836
2020-10-11,5.61299
2020-10-12,9.97045
2020-10-13,8.78877
2020-10-14,7.60709
2020-10-15,7.05317
2020-10-16,6.97932
2020-10-17,3.50812
2020-10-18,5.72378
2020-10-19,7.12703
2020-10-20,8.71491
2020-10-21,9.04726
2020-10-22,8.161
2020-10-23,8.86262
2020-10-24,5.61299
2020-10-25,6.20384
2020-10-26,10.33973
2020-10-27,9.82274
2020-10-28,7.64401
2020-10-29,6.35155
2020-10-30,8.08714
2020-10-31,4.20974
2020-11-01,5.7607
2020-11-02,8.23485
2020-11-03,7.05317
2020-11-04,6.72082
2020-11-05,7.05317
2020-11-06,5.57607
2020-11-07,3.47119
2020-11-08,3.65583
2020-11-09,8.86262
2020-11-10,7.97636
2020-11-11,7.12703
2020-11-12,7.38552
2020-11-13,5.90841
2020-11-14,3.84047
2020-11-15,3.80354
2020-11-16,10.74593
2020-11-17,7.71787
2020-11-18,6.72082
2020-11-19,6.16691
2020-11-20,6.31462
2020-11-21,4.91137
2020-11-22,4.87444
2020-11-23,6.49926
2020-11-24,5.72378
2020-11-25,8.27178
2020-11-26,8.8257
2020-11-27,7.97636
2020-11-28,5.72378
2020-11-29,5.28064
2020-11-30,9.74889
2020-12-01,9.45347
2020-12-02,9.52732
2020-12-03,8.60413
2020-12-04,6.05612
2020-12-05,5.13293
2020-12-06,6.35155
2020-12-07,9.26883
2020-12-08,8.8257
2020-12-09,9.56425
2020-12-10,10.41358
2020-12-11,9.67503
2020-12-12,6.61004
2020-12-13,5.87149
2020-12-14,8.93648
2020-12-15,10.85672
2020-12-16,8.78877
2020-12-17,8.45642
2020-12-18,7.60709
2020-12-19,5.57607
2020-12-20,7.16395
2020-12-21,10.85672
2020-12-22,10.56129
2020-12-23,9.8966
2020-12-24,6.94239
2020-12-25,5.53914
2020-12-26,7.90251
2020-12-27,7.71787
2020-12-28,12.00147
2020-12-29,10.63515
2020-12-30,10.70901
2020-12-31,9.60118
2021-01-01,7.01624
2021-01-02,7.82865
2021-01-03,10.22895
2021-01-04,13.44165
2021-01-05,14.29098
2021-01-06,12.96159
2021-01-07,10.37666
2021-01-08,11.26292
2021-01-09,7.05317
2021-01-10,10.08124
2021-01-11,14.47562
2021-01-12,13.66322
2021-01-13,13.81093
2021-01-14,13.03545
2021-01-15,14.66026
2021-01-16,8.01329
2021-01-17,9.49039
2021-01-18,11.00443
2021-01-19,12.96159
2021-01-20,15.36189
2021-01-21,13.36779
2021-01-22,12.25997
2021-01-23,9.04726
2021-01-24,8.05022
2021-01-25,16.65435
2021-01-26,15.28803
2021-01-27,14.54948
2021-01-28,15.98966
2021-01-29,15.36189
2021-01-30,8.89955
2021-01-31,8.71491
2021-02-01,15.84194
2021-02-02,13.44165
2021-02-03,15.76809
2021-02-04,18.09453
2021-02-05,14.88183
2021-02-06,8.78877
2021-02-07,9.26883
2021-02-08,14.10635
2021-02-09,13.1093
2021-02-10,11.33677
2021-02-11,8.23485
2021-02-12,7.4963
2021-02-13,7.12703
2021-02-14,10.78286
2021-02-15,17.31905
2021-02-16,15.65731
2021-02-17,15.10339
2021-02-18,12.29689
2021-02-19,11.33677
2021-02-20,7.71787
2021-02-21,8.67799
2021-02-22,11.44756
2021-02-23,10.26587
2021-02-24,8.01329
2021-02-25,12.4446
2021-02-26,9.97045
2021-02-27,5.94534
2021-02-28,8.38257
2021-03-01,8.53028
2021-03-02,9.85967
2021-03-03,8.78877
2021-03-04,10.04431
2021-03-05,7.57016
