date,GPU관련주
2021-03-18,0.19299
2021-03-26,0.16542
2021-03-27,0.19299
2021-04-04,0.13785
2021-04-07,0.16542
2021-04-08,0.13785
2021-04-09,0.16542
2021-04-10,0.49627
2021-04-11,2.23325
2021-04-12,1.40612
2021-04-13,0.41356
2021-04-14,0.52384
2021-04-16,0.19299
2021-04-19,1.04769
2021-04-20,0.49627
2021-04-21,0.2757
2021-04-22,0.41356
2021-04-24,0.22056
2021-04-25,0.16542
2021-04-26,0.44113
2021-04-27,0.19299
2021-04-28,0.22056
2021-04-30,0.13785
2021-05-04,0.16542
2021-05-09,0.13785
2021-05-12,0.22056
2021-06-02,0.24813
2021-06-05,0.13785
2021-06-06,0.16542
2021-06-08,0.19299
2021-06-09,0.24813
2021-06-11,0.30328
2021-06-12,0.19299
2021-06-18,0.2757
2021-06-19,0.13785
2021-06-21,0.13785
2021-06-23,0.16542
2021-06-24,0.16542
2021-06-27,0.13785
2021-06-29,0.35842
2021-07-06,0.22056
2021-07-14,0.19299
2021-07-15,0.13785
2021-07-16,0.13785
2021-07-17,0.13785
2021-07-20,0.22056
2021-07-27,0.13785
2021-08-02,0.4687
2021-08-03,0.22056
2021-08-10,0.22056
2021-08-11,0.16542
2021-08-16,0.13785
2021-08-20,0.33085
2021-08-21,0.38599
2021-08-22,0.35842
2021-08-24,0.13785
2021-08-30,0.16542
2021-09-30,0.19299
2021-10-12,0.13785
2021-10-26,0.13785
2021-10-27,0.74441
2021-11-01,0.44113
2021-11-02,0.24813
2021-11-03,0.2757
2021-11-05,1.04769
2021-11-07,0.2757
2021-11-08,0.6617
2021-11-09,1.57154
2021-11-10,0.79955
2021-11-11,0.35842
2021-11-12,0.19299
2021-11-13,0.2757
2021-11-14,0.33085
2021-11-15,0.44113
2021-11-16,0.22056
2021-11-17,0.13785
2021-11-18,0.96498
2021-11-19,1.43369
2021-11-20,0.68927
2021-11-21,0.82712
2021-11-22,0.4687
2021-11-23,0.35842
2021-11-24,0.35842
2021-11-25,0.16542
2021-11-26,0.22056
2021-11-27,0.38599
2021-11-28,0.24813
2021-11-29,0.2757
2021-12-02,0.6617
2021-12-03,0.63413
2021-12-04,0.57899
2021-12-05,0.49627
2021-12-06,0.63413
2021-12-07,0.52384
2021-12-08,1.68183
2021-12-10,0.60656
2021-12-11,0.41356
2021-12-12,0.33085
2021-12-13,0.16542
2021-12-14,0.24813
2021-12-15,0.30328
2021-12-16,0.33085
2021-12-17,0.24813
2021-12-18,0.38599
2021-12-21,0.19299
2021-12-22,0.16542
2021-12-23,0.13785
2021-12-24,0.30328
2021-12-25,0.16542
2021-12-26,0.16542
2021-12-27,0.13785
2021-12-28,0.55141
2021-12-29,0.16542
2022-01-01,0.33085
2022-01-02,0.33085
2022-01-09,0.24813
2022-01-10,0.19299
2022-01-19,0.24813
2022-01-20,0.2757
2022-01-21,0.4687
2022-01-22,0.19299
2022-01-25,0.22056
2022-01-26,0.13785
2022-01-27,0.13785
2022-01-28,0.22056
2022-01-31,0.13785
2022-02-01,0.57899
2022-02-02,0.57899
2022-02-03,0.55141
2022-02-04,0.90984
2022-02-05,0.2757
2022-02-06,0.13785
2022-02-08,0.16542
2022-03-03,0.16542
2022-03-05,0.2757
2022-03-06,0.19299
2022-03-16,0.16542
2022-03-19,0.13785
2022-03-25,0.35842
2022-03-27,0.22056
2022-04-04,0.22056
2022-04-29,0.49627
2022-04-30,2.31596
2022-05-01,0.90984
2022-05-02,0.79955
2022-05-03,0.22056
2022-05-04,0.2757
2022-05-05,0.22056
2022-09-01,0.19299
2022-09-02,0.41356
2022-09-03,0.16542
2022-09-04,0.13785
2022-10-10,0.13785
2022-10-30,0.38599
2022-10-31,0.24813
2023-01-16,0.19299
2023-01-22,0.13785
2023-01-23,1.76454
2023-01-24,0.88227
2023-01-25,2.42624
2023-01-26,1.35097
2023-01-27,0.22056
2023-01-28,0.96498
2023-01-29,0.77198
2023-01-30,0.82712
2023-01-31,1.35097
2023-02-01,0.74441
2023-02-02,1.40612
2023-02-03,2.39867
2023-02-04,0.6617
2023-02-05,4.85249
2023-02-06,4.02536
2023-02-07,4.2735
2023-02-08,6.53432
2023-02-09,7.47173
2023-02-10,2.48138
2023-02-11,2.28839
2023-02-12,7.55445
2023-02-13,11.57981
2023-02-14,18.61042
2023-02-15,14.58505
2023-02-16,2.81224
2023-02-17,2.5641
2023-02-18,1.81968
2023-02-19,2.64681
2023-02-20,3.50151
2023-02-21,2.48138
2023-02-22,1.29583
2023-02-23,4.38378
2023-02-24,9.76013
2023-02-25,4.9352
2023-02-26,9.09842
2023-02-27,3.50151
2023-02-28,2.3711
2023-03-01,1.76454
2023-03-02,1.59911
2023-03-03,1.81968
2023-03-04,2.61924
2023-03-05,2.04025
2023-03-06,2.78467
2023-03-07,2.26082
2023-03-08,1.3234
2023-03-09,1.65425
2023-03-10,1.35097
2023-03-11,1.02012
2023-03-12,0.57899
2023-03-13,0.99255
2023-03-14,0.60656
2023-03-15,1.73697
2023-03-16,0.57899
2023-03-17,1.13041
2023-03-18,3.28094
2023-03-19,3.19823
2023-03-20,35.98014
2023-03-21,10.20126
2023-03-22,5.43148
2023-03-23,4.74221
2023-03-24,6.92031
2023-03-25,10.20126
2023-03-26,11.02839
2023-03-27,7.44416
2023-03-28,2.67438
2023-03-29,1.68183
2023-03-30,1.76454
2023-03-31,3.94265
2023-04-01,7.14088
2023-04-02,9.07085
2023-04-03,2.89495
2023-04-04,1.95754
2023-04-05,1.48883
2023-04-06,1.65425
2023-04-07,1.07526
2023-04-08,1.21312
2023-04-09,1.62668
2023-04-10,1.76454
2023-04-11,1.13041
2023-04-12,1.13041
2023-04-13,0.93741
2023-04-14,0.8547
2023-04-15,3.28094
2023-04-16,1.95754
2023-04-17,2.48138
2023-04-18,1.46126
2023-04-19,1.35097
2023-04-20,2.31596
2023-04-21,1.76454
2023-04-22,0.38599
2023-04-23,0.60656
2023-04-24,2.20567
2023-04-25,0.41356
2023-04-26,0.52384
2023-04-27,0.30328
2023-04-28,0.49627
2023-04-29,0.60656
2023-04-30,0.44113
2023-05-01,0.63413
2023-05-02,0.6617
2023-05-03,0.22056
2023-05-04,0.41356
2023-05-05,0.19299
2023-05-06,0.77198
2023-05-07,0.13785
2023-05-08,1.57154
2023-05-09,1.84725
2023-05-10,0.8547
2023-05-11,1.21312
2023-05-12,0.96498
2023-05-13,0.33085
2023-05-14,0.55141
2023-05-15,0.30328
2023-05-16,0.38599
2023-05-17,0.52384
2023-05-18,0.8547
2023-05-19,1.43369
2023-05-20,0.60656
2023-05-21,0.57899
2023-05-22,0.63413
2023-05-23,1.07526
2023-05-24,0.24813
2023-05-25,7.25117
2023-05-26,14.36448
2023-05-27,3.77722
2023-05-28,4.32864
2023-05-29,8.96057
2023-05-30,100.0
2023-05-31,40.97049
2023-06-01,11.11111
2023-06-02,8.51943
2023-06-03,8.32644
2023-06-04,11.44196
2023-06-05,16.32202
2023-06-06,4.68706
2023-06-07,3.83236
2023-06-08,2.67438
2023-06-09,5.70719
2023-06-10,2.53653
2023-06-11,4.85249
2023-06-12,2.59167
2023-06-13,4.96277
2023-06-14,5.34877
2023-06-15,4.35621
2023-06-16,3.63937
2023-06-17,6.58946
2023-06-18,4.52164
2023-06-19,2.83981
2023-06-20,2.04025
2023-06-21,1.84725
2023-06-22,1.35097
2023-06-23,1.92996
2023-06-24,0.79955
2023-06-25,1.76454
2023-06-26,1.46126
2023-06-27,0.96498
2023-06-28,0.8547
2023-06-29,1.65425
2023-06-30,1.07526
2023-07-01,0.88227
2023-07-02,0.74441
2023-07-03,4.0805
2023-07-04,4.90763
2023-07-05,1.95754
2023-07-06,1.18555
2023-07-07,0.88227
2023-07-08,0.8547
2023-07-09,0.44113
2023-07-10,0.77198
2023-07-11,1.54397
2023-07-12,1.73697
2023-07-13,2.59167
2023-07-14,2.92252
2023-07-15,2.3711
2023-07-16,2.1781
2023-07-17,1.54397
2023-07-18,3.99779
2023-07-19,1.37854
2023-07-20,3.69451
2023-07-21,1.5164
2023-07-22,0.74441
2023-07-23,2.86738
2023-07-24,1.15798
2023-07-25,1.13041
2023-07-26,0.99255
2023-07-27,1.13041
2023-07-28,1.46126
2023-07-29,1.76454
2023-07-30,2.09539
2023-07-31,7.25117
2023-08-01,3.14309
2023-08-02,2.64681
2023-08-03,1.54397
2023-08-04,2.81224
2023-08-05,3.58422
2023-08-06,3.97022
2023-08-07,1.46126
2023-08-08,1.98511
2023-08-09,2.1781
2023-08-10,1.48883
2023-08-11,1.07526
2023-08-12,1.5164
2023-08-13,1.35097
2023-08-14,1.90239
2023-08-15,6.31375
2023-08-16,5.76233
2023-08-17,6.12076
2023-08-18,4.13564
2023-08-19,3.63937
2023-08-20,2.34353
2023-08-21,2.39867
2023-08-22,3.33609
2023-08-23,2.06782
2023-08-24,6.23104
2023-08-25,2.50896
2023-08-26,1.40612
2023-08-27,1.65425
2023-08-28,0.93741
2023-08-29,1.04769
2023-08-30,1.81968
2023-08-31,1.13041
2023-09-01,0.99255
2023-09-02,1.43369
2023-09-03,1.92996
2023-09-04,1.5164
2023-09-05,0.99255
2023-09-06,0.68927
2023-09-07,0.8547
2023-09-08,0.93741
2023-09-09,0.30328
2023-09-10,0.82712
2023-09-11,0.44113
2023-09-12,0.77198
2023-09-13,0.41356
2023-09-14,0.24813
2023-09-15,0.33085
2023-09-16,0.22056
2023-09-17,0.2757
2023-09-18,0.4687
2023-09-19,0.35842
2023-09-20,0.13785
2023-09-21,0.13785
2023-09-24,0.24813
2023-09-25,0.19299
2023-09-26,0.90984
2023-09-27,0.63413
2023-09-28,0.13785
2023-09-29,0.33085
2023-09-30,0.24813
2023-10-01,0.16542
2023-10-03,0.33085
2023-10-04,0.16542
2023-10-05,0.52384
2023-10-06,0.24813
2023-10-07,0.16542
2023-10-08,0.30328
2023-10-09,0.16542
2023-10-10,0.2757
2023-10-11,0.13785
2023-10-12,0.2757
2023-10-15,0.33085
2023-10-17,0.6617
2023-10-18,1.02012
2023-10-19,2.01268
2023-10-20,0.33085
2023-10-22,2.86738
2023-10-23,0.90984
2023-10-24,0.79955
2023-10-25,0.2757
2023-10-26,0.13785
2023-10-27,0.52384
2023-10-29,0.19299
2023-10-30,9.15357
2023-10-31,1.46126
2023-11-01,0.60656
2023-11-02,2.39867
2023-11-03,0.60656
2023-11-04,0.79955
2023-11-05,0.63413
2023-11-06,0.33085
2023-11-07,0.68927
2023-11-08,0.79955
2023-11-09,0.71684
2023-11-10,2.3711
2023-11-11,0.74441
2023-11-12,0.2757
2023-11-13,0.55141
2023-11-14,0.60656
2023-11-15,0.68927
2023-11-16,1.04769
2023-11-17,0.38599
2023-11-18,0.35842
2023-11-19,0.44113
2023-11-20,0.60656
2023-11-21,0.38599
2023-11-22,0.52384
2023-11-23,0.8547
2023-11-24,0.57899
2023-11-25,0.35842
2023-11-26,0.30328
2023-11-27,0.79955
2023-11-28,0.55141
2023-11-29,0.68927
2023-11-30,0.60656
2023-12-01,0.71684
2023-12-02,0.4687
2023-12-03,0.41356
2023-12-04,0.30328
2023-12-05,0.77198
2023-12-06,0.82712
2023-12-07,0.74441
2023-12-08,1.5164
2023-12-09,0.63413
2023-12-10,0.4687
2023-12-11,0.33085
2023-12-12,0.4687
2023-12-13,0.41356
2023-12-14,0.63413
2023-12-15,0.68927
2023-12-16,0.30328
2023-12-17,0.22056
2023-12-18,0.41356
2023-12-19,0.33085
2023-12-20,0.63413
2023-12-21,0.44113
2023-12-22,0.49627
2023-12-23,0.33085
2023-12-24,0.52384
2023-12-25,0.79955
2023-12-26,0.71684
2023-12-27,0.2757
2023-12-28,0.55141
2023-12-29,0.79955
2023-12-30,0.44113
2023-12-31,0.68927
2024-01-01,0.44113
2024-01-02,0.68927
2024-01-03,0.96498
2024-01-04,1.10283
2024-01-05,0.57899
2024-01-06,0.8547
2024-01-07,0.79955
2024-01-08,0.44113
2024-01-09,4.99035
2024-01-10,1.87482
2024-01-11,1.59911
2024-01-12,0.68927
2024-01-13,0.4687
2024-01-14,0.6617
2024-01-15,1.04769
2024-01-16,0.52384
2024-01-17,2.50896
2024-01-18,1.10283
2024-01-19,1.7094
2024-01-20,1.98511
2024-01-21,1.46126
2024-01-22,2.06782
2024-01-23,1.46126
2024-01-24,1.62668
2024-01-25,2.42624
2024-01-26,4.96277
2024-01-27,3.74965
2024-01-28,7.19602
2024-01-29,2.75709
2024-01-30,2.26082
2024-01-31,0.71684
2024-02-01,0.52384
2024-02-02,1.18555
2024-02-03,1.3234
2024-02-04,0.99255
2024-02-05,1.24069
2024-02-06,1.68183
2024-02-07,0.79955
2024-02-08,1.04769
2024-02-09,1.26826
2024-02-10,1.43369
2024-02-11,2.06782
2024-02-12,2.28839
2024-02-13,2.61924
2024-02-14,2.28839
2024-02-15,1.76454
2024-02-16,2.61924
2024-02-17,2.12296
2024-02-18,17.866
2024-02-19,5.29363
2024-02-20,3.63937
2024-02-21,4.32864
2024-02-22,5.90019
2024-02-23,7.91287
2024-02-24,4.60435
2024-02-25,5.10063
2024-02-26,3.30851
2024-02-27,3.44637
2024-02-28,2.48138
2024-02-29,6.72732
2024-03-01,3.2258
2024-03-02,3.30851
2024-03-03,2.15053
2024-03-04,3.69451
2024-03-05,2.31596
2024-03-06,1.90239
2024-03-07,2.92252
2024-03-08,2.50896
2024-03-09,1.54397
2024-03-10,3.77722
2024-03-11,2.1781
2024-03-12,3.4188
2024-03-13,3.44637
2024-03-14,1.90239
2024-03-15,1.48883
2024-03-16,1.95754
2024-03-17,2.31596
2024-03-18,3.08795
2024-03-19,4.79735
2024-03-20,2.81224
