date,파생상품
2020-03-20,39.56289
2020-03-21,20.96342
2020-03-22,17.93041
2020-03-23,31.48974
2020-03-24,25.37912
2020-03-25,27.92149
2020-03-26,25.91436
2020-03-27,22.30151
2020-03-28,16.05709
2020-03-29,14.40677
2020-03-30,22.83675
2020-03-31,22.56913
2020-04-01,20.47279
2020-04-02,23.14897
2020-04-03,18.37644
2020-04-04,17.79661
2020-04-05,12.93487
2020-04-06,20.82961
2020-04-07,21.36485
2020-04-08,19.75914
2020-04-09,21.81088
2020-04-10,15.56645
2020-04-11,14.00535
2020-04-12,13.78233
2020-04-13,15.70026
2020-04-14,15.92328
2020-04-15,10.3033
2020-04-16,14.8528
2020-04-17,14.94201
2020-04-18,9.18822
2020-04-19,9.85727
2020-04-20,17.84121
2020-04-21,23.50579
2020-04-22,25.64674
2020-04-23,28.54594
2020-04-24,23.23818
2020-04-25,13.2471
2020-04-26,15.20963
2020-04-27,19.80374
2020-04-28,17.52899
2020-04-29,14.18376
2020-04-30,10.92774
2020-05-01,9.58965
2020-05-02,9.94647
2020-05-03,9.90187
2020-05-04,13.73773
2020-05-05,9.05441
2020-05-06,14.98661
2020-05-07,13.96074
2020-05-08,12.13202
2020-05-09,9.00981
2020-05-10,8.74219
2020-05-11,11.64139
2020-05-12,13.2471
2020-05-13,12.53345
2020-05-14,11.19536
2020-05-15,13.51471
2020-05-16,10.16949
2020-05-17,10.3925
2020-05-18,13.3809
2020-05-19,12.35504
2020-05-20,10.3479
2020-05-21,11.15075
2020-05-22,10.74933
2020-05-23,8.02854
2020-05-24,9.76806
2020-05-25,11.55218
2020-05-26,10.88314
2020-05-27,11.15075
2020-05-28,13.60392
2020-05-29,10.48171
2020-05-30,6.55664
2020-05-31,6.64585
2020-06-01,10.3479
2020-06-02,12.08742
2020-06-03,13.20249
2020-06-04,12.04281
2020-06-05,9.41123
2020-06-06,8.69759
2020-06-07,8.02854
2020-06-08,11.01694
2020-06-09,14.00535
2020-06-10,15.83407
2020-06-11,14.00535
2020-06-12,12.31043
2020-06-13,9.32203
2020-06-14,7.89473
2020-06-15,13.20249
2020-06-16,14.31757
2020-06-17,10.79393
2020-06-18,11.59678
2020-06-19,12.44424
2020-06-20,8.20695
2020-06-21,7.4933
2020-06-22,11.73059
2020-06-23,12.97948
2020-06-24,13.3809
2020-06-25,16.99375
2020-06-26,13.82694
2020-06-27,7.27029
2020-06-28,8.876
2020-06-29,10.61552
2020-06-30,11.50758
2020-07-01,12.08742
2020-07-02,9.63425
2020-07-03,7.98394
2020-07-04,7.4933
2020-07-05,6.06601
2020-07-06,9.45584
2020-07-07,11.10615
2020-07-08,9.94647
2020-07-09,10.3925
2020-07-10,8.16235
2020-07-11,6.73505
2020-07-12,7.80553
2020-07-13,9.72346
2020-07-14,9.23282
2020-07-15,9.63425
2020-07-16,9.67885
2020-07-17,8.56378
2020-07-18,5.44157
2020-07-19,5.53077
2020-07-20,9.14362
2020-07-21,10.25869
2020-07-22,13.60392
2020-07-23,12.62265
2020-07-24,10.48171
2020-07-25,5.9322
2020-07-26,5.48617
2020-07-27,10.16949
