date,펀딩
2020-03-20,64.97584
2020-03-21,80.85748
2020-03-22,59.42028
2020-03-23,62.19806
2020-03-24,59.17874
2020-03-25,61.05072
2020-03-26,71.07487
2020-03-27,54.28743
2020-03-28,53.62318
2020-03-29,51.7512
2020-03-30,57.60869
2020-03-31,66.84782
2020-04-01,63.28502
2020-04-02,77.71739
2020-04-03,79.95169
2020-04-04,58.93719
2020-04-05,58.21256
2020-04-06,71.98067
2020-04-07,74.81884
2020-04-08,73.00724
2020-04-09,77.17391
2020-04-10,77.95893
2020-04-11,55.73671
2020-04-12,58.75603
2020-04-13,68.23671
2020-04-14,61.89613
2020-04-15,53.26086
2020-04-16,56.2198
2020-04-17,68.7198
2020-04-18,44.86714
2020-04-19,52.83816
2020-04-20,58.87681
2020-04-21,57.97101
2020-04-22,62.13768
2020-04-23,55.49516
2020-04-24,53.74396
2020-04-25,39.97584
2020-04-26,41.24396
2020-04-27,55.19323
2020-04-28,51.7512
2020-04-29,48.67149
2020-04-30,35.2657
2020-05-01,36.77536
2020-05-02,36.05072
2020-05-03,31.34057
2020-05-04,44.08212
2020-05-05,43.65942
2020-05-06,48.79227
2020-05-07,45.83333
2020-05-08,38.52657
2020-05-09,33.63526
2020-05-10,35.6884
2020-05-11,39.73429
2020-05-12,45.41062
2020-05-13,45.0483
2020-05-14,68.2971
2020-05-15,44.20289
2020-05-16,34.23913
2020-05-17,36.5942
2020-05-18,52.59661
2020-05-19,48.85265
2020-05-20,45.89371
2020-05-21,48.49033
2020-05-22,40.64009
2020-05-23,32.78985
2020-05-24,33.93719
2020-05-25,39.31159
2020-05-26,44.50483
2020-05-27,47.88647
2020-05-28,41.36473
2020-05-29,38.70772
2020-05-30,30.61594
2020-05-31,31.46135
2020-06-01,39.67391
2020-06-02,46.25603
2020-06-03,44.26328
2020-06-04,38.88888
2020-06-05,39.97584
2020-06-06,29.71014
2020-06-07,29.77053
2020-06-08,44.80676
2020-06-09,45.59178
2020-06-10,44.6256
2020-06-11,41.00241
2020-06-12,40.88164
2020-06-13,29.40821
2020-06-14,36.5942
2020-06-15,39.67391
2020-06-16,46.37681
2020-06-17,42.87439
2020-06-18,45.9541
2020-06-19,55.91787
2020-06-20,33.87681
2020-06-21,32.06521
2020-06-22,45.22946
2020-06-23,49.45652
2020-06-24,42.69323
2020-06-25,42.21014
2020-06-26,39.49275
2020-06-27,28.62318
2020-06-28,27.95893
2020-06-29,38.88888
2020-06-30,41.30434
2020-07-01,41.60628
2020-07-02,41.18357
2020-07-03,40.09661
2020-07-04,27.35507
2020-07-05,33.39371
2020-07-06,43.7198
2020-07-07,45.5314
2020-07-08,43.96135
2020-07-09,41.42512
2020-07-10,39.43236
2020-07-11,36.71497
2020-07-12,41.18357
2020-07-13,42.14975
2020-07-14,43.41787
2020-07-15,41.78743
2020-07-16,40.88164
2020-07-17,41.18357
2020-07-18,29.64975
2020-07-19,31.03864
2020-07-20,41.36473
2020-07-21,40.76086
2020-07-22,43.90096
2020-07-23,46.19565
2020-07-24,45.83333
2020-07-25,28.50241
2020-07-26,35.62801
2020-07-27,43.35748
2020-07-28,44.20289
2020-07-29,43.78019
2020-07-30,39.49275
2020-07-31,38.22463
2020-08-01,25.84541
2020-08-02,28.14009
2020-08-03,36.23188
2020-08-04,40.64009
2020-08-05,40.70048
2020-08-06,38.88888
2020-08-07,37.0169
2020-08-08,32.66908
2020-08-09,42.63285
2020-08-10,42.21014
2020-08-11,49.75845
2020-08-12,42.57246
2020-08-13,40.09661
2020-08-14,37.13768
2020-08-15,28.14009
2020-08-16,26.3285
2020-08-17,30.85748
2020-08-18,38.40579
2020-08-19,40.21739
2020-08-20,38.52657
2020-08-21,41.12318
2020-08-22,29.64975
2020-08-23,29.83091
2020-08-24,39.79468
2020-08-25,43.59903
2020-08-26,43.53864
2020-08-27,48.85265
2020-08-28,44.26328
2020-08-29,32.00483
2020-08-30,39.85507
2020-08-31,46.55797
