date,중개형ISA
2021-01-07,0.09918
2021-01-11,0.18596
2021-01-12,0.08678
2021-01-13,0.21076
2021-01-14,0.07438
2021-01-18,0.07438
2021-01-19,0.08678
2021-01-20,0.07438
2021-01-21,0.07438
2021-01-22,0.06198
2021-01-24,0.12397
2021-01-25,0.06198
2021-01-26,0.22315
2021-01-28,0.07438
2021-01-29,0.14877
2021-02-01,0.06198
2021-02-02,0.27274
2021-02-03,0.29754
2021-02-04,0.23555
2021-02-05,0.12397
2021-02-08,0.09918
2021-02-09,0.23555
2021-02-14,0.12397
2021-02-15,0.26035
2021-02-16,0.26035
2021-02-17,0.89263
2021-02-18,1.35135
2021-02-19,0.78105
2021-02-20,0.39672
2021-02-21,0.26035
2021-02-22,1.69848
2021-02-23,4.95908
2021-02-24,6.00049
2021-02-25,12.24894
2021-02-26,8.40565
2021-02-27,4.78551
2021-02-28,4.21522
2021-03-01,5.49218
2021-03-02,7.43863
2021-03-03,10.99677
2021-03-04,15.57153
2021-03-05,14.92685
2021-03-06,9.70741
2021-03-07,10.46367
2021-03-08,14.14579
2021-03-09,11.49268
2021-03-10,10.76121
2021-03-11,10.09174
2021-03-12,14.40614
2021-03-13,10.25291
2021-03-14,10.04215
2021-03-15,16.05504
2021-03-16,14.44334
2021-03-17,12.00099
2021-03-18,11.24473
2021-03-19,8.96355
2021-03-20,6.40962
2021-03-21,6.45921
2021-03-22,10.60004
2021-03-23,11.04636
2021-03-24,10.61244
2021-03-25,8.97594
2021-03-26,7.55021
2021-03-27,5.28142
2021-03-28,5.24423
2021-03-29,8.71559
2021-03-30,8.62881
2021-03-31,8.35606
2021-04-01,8.85197
2021-04-02,8.03372
2021-04-03,4.95908
2021-04-04,5.59137
2021-04-05,9.2115
2021-04-06,9.03793
2021-04-07,9.55864
2021-04-08,9.00074
2021-04-09,8.666
2021-04-10,5.25663
2021-04-11,5.19464
2021-04-12,9.2239
2021-04-13,8.86436
2021-04-14,10.51326
2021-04-15,9.40986
2021-04-16,10.05454
2021-04-17,6.58318
2021-04-18,6.42201
2021-04-19,10.61244
2021-04-20,10.15373
2021-04-21,9.96776
2021-04-22,9.34787
2021-04-23,9.89337
2021-04-24,6.57079
2021-04-25,7.5626
2021-04-26,14.81527
2021-04-27,21.83238
2021-04-28,13.29035
2021-04-29,9.54624
2021-04-30,5.03347
2021-05-01,4.07884
2021-05-02,3.80609
2021-05-03,6.11207
2021-05-04,5.67815
2021-05-05,4.63674
2021-05-06,5.26903
2021-05-07,5.74014
2021-05-08,3.37217
2021-05-09,4.12844
2021-05-10,6.44681
2021-05-11,5.19464
2021-05-12,5.57897
2021-05-13,4.83511
2021-05-14,3.81849
2021-05-15,2.52913
2021-05-16,2.35556
2021-05-17,4.42598
2021-05-18,4.46317
2021-05-19,3.32258
2021-05-20,5.80213
2021-05-21,4.78551
2021-05-22,2.54153
2021-05-23,2.7151
2021-05-24,4.83511
2021-05-25,5.85172
2021-05-26,5.9385
2021-05-27,5.55417
2021-05-28,4.83511
2021-05-29,3.03744
2021-05-30,3.34738
2021-05-31,5.18224
2021-06-01,6.08727
2021-06-02,11.59186
2021-06-03,9.24869
2021-06-04,7.5998
2021-06-05,3.97966
2021-06-06,4.28961
2021-06-07,6.70716
2021-06-08,7.41383
2021-06-09,5.23183
2021-06-10,6.05008
2021-06-11,4.51276
2021-06-12,2.81428
2021-06-13,3.07463
2021-06-14,4.20282
2021-06-15,22.31589
2021-06-16,8.71559
2021-06-17,6.42201
2021-06-18,5.9261
2021-06-19,3.74411
2021-06-20,3.40937
2021-06-21,5.64096
2021-06-22,9.40986
2021-06-23,7.21547
2021-06-24,7.0295
2021-06-25,6.08727
2021-06-26,4.01686
2021-06-27,5.03347
2021-06-28,10.3025
2021-06-29,12.28613
2021-06-30,11.83982
2021-07-01,7.00471
2021-07-02,6.29804
2021-07-03,4.64914
2021-07-04,4.72353
2021-07-05,6.96751
2021-07-06,7.87255
2021-07-07,7.99652
2021-07-08,6.66997
2021-07-09,5.04587
2021-07-10,3.09942
2021-07-11,3.68212
2021-07-12,5.75254
2021-07-13,6.01289
2021-07-14,5.25663
2021-07-15,5.12025
2021-07-16,4.46317
2021-07-17,2.33077
2021-07-18,3.17381
2021-07-19,4.58715
2021-07-20,5.12025
2021-07-21,4.92189
2021-07-22,5.44259
2021-07-23,6.34763
2021-07-24,3.89288
2021-07-25,4.45078
2021-07-26,19.26605
2021-07-27,40.94966
2021-07-28,27.93206
2021-07-29,16.38978
2021-07-30,10.77361
2021-07-31,7.64939
2021-08-01,11.30671
2021-08-02,15.93106
2021-08-03,12.75725
2021-08-04,10.21572
2021-08-05,16.63773
2021-08-06,10.74882
2021-08-07,7.28985
2021-08-08,10.74882
2021-08-09,15.67071
2021-08-10,11.90181
2021-08-11,12.03818
2021-08-12,9.94297
2021-08-13,8.77758
2021-08-14,5.04587
2021-08-15,4.59955
2021-08-16,8.49243
2021-08-17,10.17852
2021-08-18,9.96776
2021-08-19,8.6784
2021-08-20,7.22787
2021-08-21,4.47557
2021-08-22,5.88891
2021-08-23,8.82717
2021-08-24,10.17852
2021-08-25,13.09199
2021-08-26,8.57922
2021-08-27,8.90156
2021-08-28,6.65757
2021-08-29,5.45499
2021-08-30,9.7322
2021-08-31,21.78279
2021-09-01,15.95586
2021-09-02,9.7322
2021-09-03,11.88941
2021-09-04,7.20307
2021-09-05,7.36424
2021-09-06,9.89337
2021-09-07,9.84378
2021-09-08,10.37689
2021-09-09,8.72799
2021-09-10,7.81056
2021-09-11,4.3144
2021-09-12,4.41358
2021-09-13,8.03372
2021-09-14,9.43466
2021-09-15,8.08331
2021-09-16,6.94272
2021-09-17,7.51301
2021-09-18,4.61195
2021-09-19,4.02925
2021-09-20,4.09124
2021-09-21,4.66154
2021-09-22,6.02529
2021-09-23,9.91817
2021-09-24,8.45524
2021-09-25,5.03347
2021-09-26,7.61219
2021-09-27,9.55864
2021-09-28,8.90156
2021-09-29,7.12868
2021-09-30,6.78155
2021-10-01,5.3806
2021-10-02,3.2234
2021-10-03,4.63674
2021-10-04,4.58715
2021-10-05,5.76493
2021-10-06,6.58318
2021-10-07,7.0543
2021-10-08,6.93032
2021-10-09,2.80188
2021-10-10,3.00024
2021-10-11,4.12844
2021-10-12,8.92635
2021-10-13,6.81874
2021-10-14,7.61219
2021-10-15,6.62038
2021-10-16,3.47136
2021-10-17,3.84329
2021-10-18,6.97991
2021-10-19,8.96355
2021-10-20,8.97594
2021-10-21,7.89734
2021-10-22,9.44706
2021-10-23,5.90131
2021-10-24,7.88494
2021-10-25,18.02628
2021-10-26,14.17059
2021-10-27,9.42226
2021-10-28,9.29828
2021-10-29,9.06273
2021-10-30,6.484
2021-10-31,5.78973
2021-11-01,10.56285
2021-11-02,11.54227
2021-11-03,10.60004
2021-11-04,8.34366
2021-11-05,9.00074
2021-11-06,4.42598
2021-11-07,5.60376
2021-11-08,8.90156
2021-11-09,8.92635
2021-11-10,8.96355
2021-11-11,7.82296
2021-11-12,6.78155
2021-11-13,3.93007
2021-11-14,4.46317
2021-11-15,7.5626
2021-11-16,7.98413
2021-11-17,8.03372
2021-11-18,7.90974
2021-11-19,7.11629
2021-11-20,4.3392
2021-11-21,4.71113
2021-11-22,10.26531
2021-11-23,8.41805
2021-11-24,7.67418
2021-11-25,6.73196
2021-11-26,5.9261
2021-11-27,3.74411
2021-11-28,4.05405
2021-11-29,7.46342
2021-11-30,8.25688
2021-12-01,7.36424
2021-12-02,7.30225
2021-12-03,6.81874
2021-12-04,4.04165
2021-12-05,4.36399
2021-12-06,7.09149
2021-12-07,8.82717
2021-12-08,7.33944
