date,ISA계좌수수료
2020-04-06,1.43149
2020-04-14,1.02249
2020-04-18,1.02249
2020-05-10,1.02249
2020-05-16,1.02249
2020-05-30,1.02249
2020-06-02,2.65848
2020-06-08,1.02249
2020-07-10,1.22699
2020-07-22,1.22699
2020-07-23,1.02249
2020-07-24,1.22699
2020-07-29,1.22699
2020-08-24,1.22699
2020-09-06,1.02249
2020-09-11,1.02249
2020-09-14,1.63599
2020-09-23,1.22699
2020-09-27,1.22699
2020-10-08,1.02249
2020-10-13,1.02249
2020-10-28,1.43149
2020-11-06,1.02249
2020-11-16,1.22699
2020-11-23,1.43149
2020-12-02,1.43149
2020-12-05,2.86298
2020-12-07,1.02249
2020-12-08,1.22699
2020-12-11,1.02249
2020-12-14,1.22699
2020-12-15,1.02249
2020-12-16,3.27198
2020-12-17,2.45398
2020-12-18,3.88548
2020-12-19,1.02249
2020-12-20,3.06748
2020-12-21,2.24948
2020-12-22,2.45398
2020-12-23,1.43149
2020-12-24,1.22699
2020-12-25,1.43149
2020-12-26,1.22699
2020-12-27,3.47648
2020-12-28,2.65848
2020-12-30,4.08997
2020-12-31,3.06748
2021-01-01,1.22699
2021-01-02,2.24948
2021-01-03,3.27198
2021-01-04,1.43149
2021-01-05,3.06748
2021-01-06,3.27198
2021-01-07,2.45398
2021-01-08,3.68098
2021-01-09,1.63599
2021-01-10,1.43149
2021-01-11,1.22699
2021-01-12,1.22699
2021-01-13,4.49897
2021-01-14,2.24948
2021-01-15,1.02249
2021-01-18,2.65848
2021-01-19,3.06748
2021-01-20,2.65848
2021-01-21,2.65848
2021-01-22,1.43149
2021-01-24,2.45398
2021-01-25,2.24948
2021-01-26,2.24948
2021-01-27,2.86298
2021-01-30,1.02249
2021-01-31,1.43149
2021-02-01,1.84049
2021-02-02,4.29447
2021-02-03,1.43149
2021-02-05,2.86298
2021-02-06,2.04498
2021-02-07,1.02249
2021-02-08,4.70347
2021-02-10,2.24948
2021-02-11,1.02249
2021-02-13,2.65848
2021-02-14,1.02249
2021-02-15,2.04498
2021-02-16,2.86298
2021-02-17,1.63599
2021-02-18,2.86298
2021-02-19,2.04498
2021-02-20,2.24948
2021-02-21,3.06748
2021-02-22,7.97546
2021-02-23,4.49897
2021-02-24,3.06748
2021-02-25,8.79345
2021-02-26,4.90797
2021-02-27,2.86298
2021-02-28,2.45398
2021-03-01,2.86298
2021-03-02,3.88548
2021-03-03,4.49897
2021-03-04,2.65848
2021-03-05,4.90797
2021-03-06,2.04498
2021-03-07,4.08997
2021-03-08,7.36196
2021-03-09,9.40695
2021-03-10,7.36196
2021-03-11,8.79345
2021-03-12,10.83844
2021-03-13,7.15746
2021-03-14,5.31697
2021-03-15,6.54396
2021-03-16,6.33946
2021-03-17,5.11247
2021-03-18,7.36196
2021-03-19,8.99795
2021-03-20,4.90797
2021-03-21,3.47648
2021-03-22,4.90797
2021-03-23,2.24948
2021-03-24,5.11247
2021-03-25,6.54396
2021-03-26,2.04498
2021-03-27,2.45398
2021-03-28,2.86298
2021-03-29,4.08997
2021-03-30,4.49897
2021-03-31,2.65848
2021-04-01,2.45398
2021-04-02,3.06748
2021-04-03,4.08997
2021-04-04,4.70347
2021-04-05,3.27198
