date,증여세세율
2020-03-20,20.23082
2020-03-21,20.33265
2020-03-22,20.06109
2020-03-23,20.85879
2020-03-24,20.21384
2020-03-25,21.33401
2020-03-26,22.67481
2020-03-27,19.43312
2020-03-28,19.36524
2020-03-29,19.28038
2020-03-30,20.92668
2020-03-31,16.98913
2020-04-01,16.64969
2020-04-02,21.16429
2020-04-03,18.61846
2020-04-04,16.75152
2020-04-05,15.46164
2020-04-06,17.39646
2020-04-07,16.39511
2020-04-08,16.5818
2020-04-09,17.29463
2020-04-10,17.3116
2020-04-11,15.52953
2020-04-12,15.00339
2020-04-13,16.14052
2020-04-14,15.88594
2020-04-15,13.78139
2020-04-16,16.64969
2020-04-17,17.34555
2020-04-18,16.42905
2020-04-19,16.31025
2020-04-20,21.69042
2020-04-21,22.02987
2020-04-22,23.48947
2020-04-23,20.67209
2020-04-24,19.46707
2020-04-25,16.83638
2020-04-26,16.80244
2020-04-27,19.78954
2020-04-28,20.57026
2020-04-29,17.71894
2020-04-30,17.60013
2020-05-01,17.09097
2020-05-02,15.37678
2020-05-03,16.64969
2020-05-04,21.01154
2020-05-05,18.77121
2020-05-06,24.98302
2020-05-07,35.11541
2020-05-08,29.7522
2020-05-09,20.87576
2020-05-10,20.36659
2020-05-11,25.16972
2020-05-12,24.52477
2020-05-13,23.15003
2020-05-14,22.04684
2020-05-15,22.69178
2020-05-16,20.40054
2020-05-17,19.46707
2020-05-18,25.98438
2020-05-19,22.48811
2020-05-20,22.18262
2020-05-21,22.53903
2020-05-22,19.11065
2020-05-23,15.37678
2020-05-24,16.1575
2020-05-25,22.42023
2020-05-26,22.72572
2020-05-27,20.99456
2020-05-28,21.02851
2020-05-29,18.09232
2020-05-30,14.18873
2020-05-31,14.49422
2020-06-01,19.46707
2020-06-02,20.1799
2020-06-03,19.34826
2020-06-04,20.43448
2020-06-05,19.99321
2020-06-06,15.78411
2020-06-07,16.49694
2020-06-08,22.98031
2020-06-09,23.21792
2020-06-10,22.7427
2020-06-11,20.09504
2020-06-12,19.99321
2020-06-13,19.72165
2020-06-14,18.51663
2020-06-15,22.53903
2020-06-16,23.67617
2020-06-17,29.90495
2020-06-18,31.14392
2020-06-19,27.74949
2020-06-20,21.69042
2020-06-21,23.40461
2020-06-22,30.41412
2020-06-23,29.92192
2020-06-24,24.84725
2020-06-25,27.20638
2020-06-26,25.33944
2020-06-27,22.2505
2020-06-28,22.09775
2020-06-29,27.52885
2020-06-30,27.76646
2020-07-01,24.72844
2020-07-02,25.83163
2020-07-03,24.93211
2020-07-04,22.30142
2020-07-05,22.98031
2020-07-06,30.32926
2020-07-07,38.91717
2020-07-08,44.22946
2020-07-09,41.70061
2020-07-10,62.40665
2020-07-11,69.00882
2020-07-12,76.37474
2020-07-13,100.0
2020-07-14,92.27766
2020-07-15,67.44738
2020-07-16,56.44942
2020-07-17,56.04209
2020-07-18,41.5818
2020-07-19,40.27494
2020-07-20,54.97284
2020-07-21,49.59266
2020-07-22,53.98845
2020-07-23,54.97284
2020-07-24,57.99389
2020-07-25,50.33944
2020-07-26,43.29599
2020-07-27,56.12695
2020-07-28,64.90156
2020-07-29,74.32111
2020-07-30,72.45417
2020-07-31,63.42498
2020-08-01,45.89273
2020-08-02,41.463
2020-08-03,52.66463
2020-08-04,63.35709
2020-08-05,61.06585
2020-08-06,51.61235
2020-08-07,48.0482
2020-08-08,40.81805
2020-08-09,38.05159
2020-08-10,51.47657
2020-08-11,51.32382
2020-08-12,49.74541
2020-08-13,46.96198
2020-08-14,40.02036
2020-08-15,34.91174
2020-08-16,35.4209
2020-08-17,34.94568
2020-08-18,39.37542
2020-08-19,41.10658
2020-08-20,46.02851
2020-08-21,43.65241
2020-08-22,37.6782
2020-08-23,34.64019
2020-08-24,42.71894
2020-08-25,40.81805
2020-08-26,38.15342
2020-08-27,42.04005
