date,다이렉트보험
2020-11-08,25.0
2020-11-09,55.57065
2020-11-10,54.48369
2020-11-11,49.72826
2020-11-12,46.875
2020-11-13,44.29347
2020-11-14,23.50543
2020-11-15,28.5326
2020-11-16,56.11413
2020-11-17,55.57065
2020-11-18,53.125
2020-11-19,54.07608
2020-11-20,52.71739
2020-11-21,22.96195
2020-11-22,26.35869
2020-11-23,52.03804
2020-11-24,47.01086
2020-11-25,49.59239
2020-11-26,51.08695
2020-11-27,47.96195
2020-11-28,28.80434
2020-11-29,30.84239
2020-11-30,52.58152
2020-12-01,60.05434
2020-12-02,53.5326
2020-12-03,57.74456
2020-12-04,45.78804
2020-12-05,25.81521
2020-12-06,30.02717
2020-12-07,64.40217
2020-12-08,63.04347
2020-12-09,55.29891
2020-12-10,58.55978
2020-12-11,51.35869
2020-12-12,29.21195
2020-12-13,29.75543
2020-12-14,57.74456
2020-12-15,58.55978
2020-12-16,55.29891
2020-12-17,53.39673
2020-12-18,52.71739
2020-12-19,28.80434
2020-12-20,28.66847
2020-12-21,57.74456
2020-12-22,59.51086
2020-12-23,55.16304
2020-12-24,52.30978
2020-12-25,26.35869
2020-12-26,30.84239
2020-12-27,30.97826
2020-12-28,67.66304
2020-12-29,64.80978
2020-12-30,66.57608
2020-12-31,58.28804
2021-01-01,28.125
2021-01-02,30.57065
2021-01-03,33.42391
2021-01-04,62.36413
2021-01-05,55.70652
2021-01-06,52.71739
2021-01-07,46.33152
2021-01-08,49.86413
2021-01-09,31.11413
2021-01-10,27.03804
2021-01-11,55.29891
2021-01-12,53.80434
2021-01-13,52.44565
2021-01-14,53.26086
2021-01-15,50.0
2021-01-16,24.32065
2021-01-17,25.67934
2021-01-18,61.00543
2021-01-19,52.85326
2021-01-20,49.18478
2021-01-21,54.07608
2021-01-22,46.19565
2021-01-23,27.71739
2021-01-24,30.02717
2021-01-25,61.95652
2021-01-26,52.17391
2021-01-27,52.17391
2021-01-28,54.48369
2021-01-29,48.6413
2021-01-30,32.47282
2021-01-31,33.0163
2021-02-01,53.5326
2021-02-02,53.94021
2021-02-03,51.08695
2021-02-04,47.82608
2021-02-05,41.98369
2021-02-06,29.61956
2021-02-07,34.23913
2021-02-08,51.90217
2021-02-09,50.4076
2021-02-10,42.11956
2021-02-11,19.02173
2021-02-12,18.20652
2021-02-13,18.88586
2021-02-14,26.35869
2021-02-15,63.04347
2021-02-16,51.63043
2021-02-17,56.52173
2021-02-18,50.0
2021-02-19,46.46739
2021-02-20,24.04891
2021-02-21,26.90217
2021-02-22,58.69565
2021-02-23,54.75543
2021-02-24,49.59239
2021-02-25,43.20652
2021-02-26,38.17934
2021-02-27,19.42934
2021-02-28,24.32065
2021-03-01,26.49456
2021-03-02,47.96195
2021-03-03,43.61413
2021-03-04,39.13043
2021-03-05,33.96739
2021-03-06,20.24456
2021-03-07,24.18478
2021-03-08,46.60326
2021-03-09,45.10869
2021-03-10,47.01086
2021-03-11,48.6413
2021-03-12,39.80978
2021-03-13,20.24456
2021-03-14,21.46739
2021-03-15,47.2826
2021-03-16,49.04891
2021-03-17,43.20652
2021-03-18,43.07065
2021-03-19,37.77173
2021-03-20,24.59239
2021-03-21,24.72826
2021-03-22,49.32065
2021-03-23,50.95108
2021-03-24,47.55434
2021-03-25,46.33152
2021-03-26,35.59782
2021-03-27,22.82608
2021-03-28,29.07608
2021-03-29,55.29891
2021-03-30,50.27173
2021-03-31,47.82608
2021-04-01,41.71195
2021-04-02,36.27717
2021-04-03,21.73913
2021-04-04,23.36956
2021-04-05,52.03804
2021-04-06,43.75
2021-04-07,47.01086
2021-04-08,44.97282
2021-04-09,40.48913
2021-04-10,23.36956
2021-04-11,26.08695
2021-04-12,52.44565
2021-04-13,45.5163
2021-04-14,43.07065
2021-04-15,40.625
2021-04-16,35.05434
2021-04-17,26.08695
2021-04-18,26.35869
2021-04-19,41.44021
2021-04-20,44.97282
2021-04-21,43.88586
2021-04-22,42.93478
2021-04-23,35.59782
2021-04-24,24.72826
2021-04-25,25.4076
2021-04-26,52.17391
2021-04-27,44.70108
2021-04-28,48.77717
2021-04-29,43.34239
2021-04-30,36.54891
2021-05-01,23.36956
2021-05-02,25.0
2021-05-03,51.08695
2021-05-04,35.59782
2021-05-05,22.69021
2021-05-06,45.78804
2021-05-07,40.48913
2021-05-08,24.04891
2021-05-09,22.69021
2021-05-10,46.875
2021-05-11,50.13586
2021-05-12,41.84782
2021-05-13,41.98369
2021-05-14,37.63586
2021-05-15,21.46739
2021-05-16,22.01086
2021-05-17,44.42934
2021-05-18,38.72282
2021-05-19,26.08695
2021-05-20,52.71739
2021-05-21,40.625
2021-05-22,17.11956
2021-05-23,22.2826
2021-05-24,49.18478
2021-05-25,46.60326
2021-05-26,38.72282
2021-05-27,41.30434
2021-05-28,40.35326
2021-05-29,24.45652
2021-05-30,24.18478
2021-05-31,50.27173
2021-06-01,47.41847
2021-06-02,41.98369
2021-06-03,44.02173
2021-06-04,39.40217
2021-06-05,21.46739
2021-06-06,27.44565
2021-06-07,50.27173
2021-06-08,52.98913
2021-06-09,46.60326
2021-06-10,38.31521
2021-06-11,43.07065
2021-06-12,20.38043
2021-06-13,24.72826
2021-06-14,53.26086
2021-06-15,52.98913
2021-06-16,46.73913
2021-06-17,43.20652
2021-06-18,45.65217
2021-06-19,19.83695
2021-06-20,25.81521
2021-06-21,51.90217
2021-06-22,49.59239
2021-06-23,51.49456
2021-06-24,56.25
2021-06-25,42.79891
2021-06-26,27.85326
2021-06-27,26.90217
2021-06-28,62.09239
2021-06-29,71.05978
2021-06-30,93.75
2021-07-01,49.59239
2021-07-02,36.00543
2021-07-03,18.47826
2021-07-04,25.13586
2021-07-05,47.41847
2021-07-06,42.66304
2021-07-07,41.16847
2021-07-08,33.96739
2021-07-09,39.40217
2021-07-10,20.78804
2021-07-11,21.05978
2021-07-12,44.83695
2021-07-13,42.79891
2021-07-14,41.44021
2021-07-15,37.9076
2021-07-16,33.69565
2021-07-17,22.96195
2021-07-18,22.82608
2021-07-19,46.60326
2021-07-20,37.9076
2021-07-21,35.05434
2021-07-22,41.44021
2021-07-23,34.91847
2021-07-24,18.88586
2021-07-25,25.54347
2021-07-26,44.70108
2021-07-27,44.70108
2021-07-28,42.66304
2021-07-29,39.67391
2021-07-30,34.375
2021-07-31,19.42934
2021-08-01,18.61413
2021-08-02,40.35326
2021-08-03,41.71195
2021-08-04,42.25543
2021-08-05,40.48913
2021-08-06,31.79347
2021-08-07,19.83695
2021-08-08,20.65217
2021-08-09,39.40217
2021-08-10,44.02173
2021-08-11,43.34239
2021-08-12,39.94565
2021-08-13,37.77173
2021-08-14,20.10869
2021-08-15,17.25543
2021-08-16,23.23369
2021-08-17,45.38043
2021-08-18,48.09782
2021-08-19,42.52717
2021-08-20,46.60326
2021-08-21,22.96195
2021-08-22,22.01086
2021-08-23,43.20652
2021-08-24,47.69021
2021-08-25,46.46739
2021-08-26,41.44021
2021-08-27,39.2663
2021-08-28,24.04891
2021-08-29,20.78804
2021-08-30,49.86413
2021-08-31,40.08152
2021-09-01,36.41304
2021-09-02,36.68478
2021-09-03,37.5
2021-09-04,21.60326
2021-09-05,21.875
2021-09-06,42.93478
2021-09-07,40.08152
2021-09-08,39.13043
2021-09-09,36.41304
2021-09-10,35.59782
2021-09-11,22.2826
2021-09-12,20.24456
2021-09-13,41.30434
2021-09-14,44.83695
2021-09-15,37.22826
2021-09-16,36.41304
2021-09-17,31.79347
2021-09-18,17.52717
2021-09-19,13.99456
2021-09-20,14.80978
2021-09-21,16.16847
2021-09-22,17.25543
2021-09-23,47.96195
2021-09-24,39.13043
2021-09-25,21.46739
2021-09-26,25.67934
2021-09-27,41.44021
2021-09-28,43.75
2021-09-29,42.93478
2021-09-30,38.58695
2021-10-01,39.40217
2021-10-02,20.78804
2021-10-03,19.42934
2021-10-04,28.5326
2021-10-05,50.27173
2021-10-06,45.10869
2021-10-07,41.0326
2021-10-08,36.82065
2021-10-09,18.34239
2021-10-10,23.77717
2021-10-11,30.43478
2021-10-12,43.88586
2021-10-13,42.25543
2021-10-14,45.92391
2021-10-15,35.73369
2021-10-16,19.56521
2021-10-17,20.5163
2021-10-18,38.72282
2021-10-19,42.11956
2021-10-20,38.99456
2021-10-21,37.22826
2021-10-22,34.23913
2021-10-23,20.92391
2021-10-24,22.01086
2021-10-25,45.5163
2021-10-26,40.89673
2021-10-27,40.89673
2021-10-28,40.08152
2021-10-29,34.91847
2021-10-30,18.20652
2021-10-31,23.77717
2021-11-01,46.05978
2021-11-02,41.57608
2021-11-03,34.375
2021-11-04,35.05434
2021-11-05,32.60869
2021-11-06,17.11956
2021-11-07,18.75
2021-11-08,42.66304
2021-11-09,41.30434
2021-11-10,36.27717
2021-11-11,38.85869
2021-11-12,36.1413
2021-11-13,21.33152
2021-11-14,23.6413
2021-11-15,42.52717
2021-11-16,42.79891
2021-11-17,41.16847
2021-11-18,41.57608
2021-11-19,39.40217
2021-11-20,25.95108
2021-11-21,22.96195
2021-11-22,46.05978
2021-11-23,44.42934
2021-11-24,40.35326
2021-11-25,34.91847
2021-11-26,37.36413
2021-11-27,17.93478
2021-11-28,21.73913
2021-11-29,41.57608
2021-11-30,42.11956
2021-12-01,43.61413
2021-12-02,40.76086
2021-12-03,33.83152
2021-12-04,24.72826
2021-12-05,18.34239
2021-12-06,39.13043
2021-12-07,43.47826
2021-12-08,45.24456
2021-12-09,48.91304
2021-12-10,39.13043
2021-12-11,20.78804
2021-12-12,22.55434
2021-12-13,46.46739
2021-12-14,45.78804
2021-12-15,39.40217
2021-12-16,44.97282
2021-12-17,36.41304
2021-12-18,19.02173
2021-12-19,21.46739
2021-12-20,43.07065
2021-12-21,41.0326
2021-12-22,41.57608
2021-12-23,40.625
2021-12-24,32.20108
2021-12-25,16.30434
2021-12-26,21.875
2021-12-27,40.76086
2021-12-28,41.0326
2021-12-29,41.57608
2021-12-30,38.99456
2021-12-31,34.375
2022-01-01,18.61413
2022-01-02,21.33152
2022-01-03,38.99456
2022-01-04,40.21739
2022-01-05,44.70108
2022-01-06,45.10869
2022-01-07,38.99456
2022-01-08,22.55434
2022-01-09,24.18478
2022-01-10,47.01086
2022-01-11,40.35326
2022-01-12,39.94565
2022-01-13,42.52717
2022-01-14,36.41304
2022-01-15,24.32065
2022-01-16,24.32065
2022-01-17,44.56521
2022-01-18,37.9076
2022-01-19,36.95652
2022-01-20,41.57608
2022-01-21,38.04347
2022-01-22,22.69021
2022-01-23,21.05978
2022-01-24,40.48913
2022-01-25,44.83695
2022-01-26,37.77173
2022-01-27,39.53804
2022-01-28,30.97826
2022-01-29,19.29347
2022-01-30,15.625
2022-01-31,18.07065
2022-02-01,16.16847
2022-02-02,23.23369
2022-02-03,51.63043
2022-02-04,43.34239
2022-02-05,23.6413
2022-02-06,23.91304
2022-02-07,47.2826
2022-02-08,44.1576
2022-02-09,44.56521
2022-02-10,43.20652
2022-02-11,44.42934
2022-02-12,22.82608
2022-02-13,22.96195
2022-02-14,42.11956
2022-02-15,41.16847
2022-02-16,41.30434
2022-02-17,40.625
2022-02-18,40.89673
2022-02-19,21.875
2022-02-20,24.72826
2022-02-21,55.29891
2022-02-22,60.86956
2022-02-23,51.08695
2022-02-24,48.77717
2022-02-25,51.90217
2022-02-26,39.80978
2022-02-27,43.07065
2022-02-28,59.64673
2022-03-01,42.93478
2022-03-02,51.35869
2022-03-03,38.85869
2022-03-04,42.79891
2022-03-05,25.27173
2022-03-06,23.23369
2022-03-07,41.98369
2022-03-08,41.71195
2022-03-09,23.50543
2022-03-10,37.63586
2022-03-11,37.09239
2022-03-12,18.47826
2022-03-13,19.97282
2022-03-14,42.52717
2022-03-15,45.38043
2022-03-16,39.40217
2022-03-17,43.34239
2022-03-18,46.46739
2022-03-19,22.69021
2022-03-20,18.47826
2022-03-21,45.92391
2022-03-22,44.83695
2022-03-23,44.97282
2022-03-24,46.73913
2022-03-25,39.40217
2022-03-26,27.17391
2022-03-27,26.08695
2022-03-28,44.1576
2022-03-29,47.14673
2022-03-30,47.82608
2022-03-31,43.75
2022-04-01,32.88043
2022-04-02,23.09782
2022-04-03,20.92391
2022-04-04,42.93478
2022-04-05,39.2663
2022-04-06,41.84782
2022-04-07,35.19021
2022-04-08,35.46195
2022-04-09,19.97282
2022-04-10,18.34239
2022-04-11,41.30434
2022-04-12,37.5
2022-04-13,41.71195
2022-04-14,43.47826
2022-04-15,33.55978
2022-04-16,16.57608
2022-04-17,18.75
2022-04-18,39.67391
2022-04-19,41.57608
2022-04-20,42.11956
2022-04-21,39.40217
2022-04-22,35.86956
2022-04-23,19.70108
2022-04-24,21.60326
2022-04-25,43.34239
2022-04-26,36.68478
2022-04-27,43.61413
2022-04-28,36.82065
2022-04-29,31.6576
2022-04-30,19.97282
2022-05-01,20.38043
2022-05-02,41.84782
2022-05-03,34.375
2022-05-04,32.47282
2022-05-05,18.47826
2022-05-06,33.55978
2022-05-07,16.57608
2022-05-08,19.42934
2022-05-09,44.70108
2022-05-10,37.9076
2022-05-11,40.35326
2022-05-12,38.04347
2022-05-13,34.375
2022-05-14,23.6413
2022-05-15,19.02173
2022-05-16,46.46739
2022-05-17,42.11956
2022-05-18,35.05434
2022-05-19,38.04347
2022-05-20,35.86956
2022-05-21,19.29347
2022-05-22,20.5163
2022-05-23,45.38043
2022-05-24,40.48913
2022-05-25,42.11956
2022-05-26,39.40217
2022-05-27,38.58695
2022-05-28,22.14673
2022-05-29,18.61413
2022-05-30,41.16847
2022-05-31,38.45108
2022-06-01,27.58152
2022-06-02,37.63586
2022-06-03,41.16847
2022-06-04,24.32065
2022-06-05,20.92391
2022-06-06,25.13586
2022-06-07,39.13043
2022-06-08,43.34239
2022-06-09,43.88586
2022-06-10,37.63586
2022-06-11,20.10869
2022-06-12,19.42934
2022-06-13,52.17391
2022-06-14,45.10869
2022-06-15,44.1576
2022-06-16,36.54891
2022-06-17,32.60869
2022-06-18,24.59239
2022-06-19,18.88586
2022-06-20,47.96195
2022-06-21,43.34239
2022-06-22,39.13043
2022-06-23,34.64673
2022-06-24,40.76086
2022-06-25,17.79891
2022-06-26,19.70108
2022-06-27,46.60326
2022-06-28,38.72282
2022-06-29,40.35326
2022-06-30,36.54891
2022-07-01,35.19021
2022-07-02,21.19565
2022-07-03,18.75
2022-07-04,46.05978
2022-07-05,47.2826
2022-07-06,45.65217
2022-07-07,44.02173
2022-07-08,37.63586
2022-07-09,17.3913
2022-07-10,20.65217
2022-07-11,42.66304
2022-07-12,39.40217
2022-07-13,33.96739
2022-07-14,40.21739
2022-07-15,33.96739
2022-07-16,22.14673
2022-07-17,25.54347
2022-07-18,45.10869
2022-07-19,39.94565
2022-07-20,40.76086
2022-07-21,37.5
2022-07-22,32.20108
2022-07-23,16.98369
2022-07-24,19.29347
2022-07-25,42.66304
2022-07-26,39.2663
2022-07-27,40.08152
2022-07-28,42.52717
2022-07-29,39.67391
2022-07-30,20.24456
2022-07-31,19.29347
2022-08-01,38.85869
2022-08-02,32.88043
2022-08-03,33.15217
2022-08-04,34.375
2022-08-05,35.86956
2022-08-06,19.29347
2022-08-07,20.78804
2022-08-08,38.31521
2022-08-09,37.22826
2022-08-10,42.79891
2022-08-11,41.44021
2022-08-12,37.9076
2022-08-13,22.82608
2022-08-14,18.07065
2022-08-15,26.7663
2022-08-16,41.71195
2022-08-17,50.4076
2022-08-18,46.60326
2022-08-19,41.0326
2022-08-20,23.50543
2022-08-21,19.97282
2022-08-22,43.20652
2022-08-23,50.81521
2022-08-24,37.9076
2022-08-25,40.08152
2022-08-26,39.13043
2022-08-27,23.91304
2022-08-28,21.33152
2022-08-29,43.20652
2022-08-30,42.3913
2022-08-31,41.0326
2022-09-01,34.51086
2022-09-02,30.57065
2022-09-03,18.75
2022-09-04,23.09782
2022-09-05,41.30434
2022-09-06,39.40217
2022-09-07,35.86956
2022-09-08,35.46195
2022-09-09,18.07065
2022-09-10,12.22826
2022-09-11,17.52717
2022-09-12,23.91304
2022-09-13,39.94565
2022-09-14,43.88586
2022-09-15,44.1576
2022-09-16,42.3913
2022-09-17,21.05978
2022-09-18,21.73913
2022-09-19,44.29347
2022-09-20,44.83695
2022-09-21,42.93478
2022-09-22,41.71195
2022-09-23,39.2663
2022-09-24,17.11956
2022-09-25,22.96195
2022-09-26,43.61413
2022-09-27,48.77717
2022-09-28,48.36956
2022-09-29,45.24456
2022-09-30,39.2663
2022-10-01,23.50543
2022-10-02,22.41847
2022-10-03,28.26086
2022-10-04,46.875
2022-10-05,46.33152
2022-10-06,44.83695
2022-10-07,38.72282
2022-10-08,24.04891
2022-10-09,19.70108
2022-10-10,21.19565
2022-10-11,49.59239
2022-10-12,49.32065
2022-10-13,44.42934
2022-10-14,38.45108
2022-10-15,22.69021
2022-10-16,24.04891
2022-10-17,47.82608
2022-10-18,48.23369
2022-10-19,45.10869
2022-10-20,46.33152
2022-10-21,45.65217
2022-10-22,24.32065
2022-10-23,21.46739
2022-10-24,44.70108
