date,금한돈시세
2020-03-20,17.80104
2020-03-21,8.82048
2020-03-22,7.10307
2020-03-23,11.59947
2020-03-24,11.90738
2020-03-25,11.80956
2020-03-26,10.788
2020-03-27,9.17175
2020-03-28,6.3005
2020-03-29,5.46459
2020-03-30,8.65374
2020-03-31,8.68265
2020-04-01,8.26135
2020-04-02,8.22022
2020-04-03,7.56994
2020-04-04,5.68802
2020-04-05,5.00327
2020-04-06,8.67153
2020-04-07,9.3396
2020-04-08,10.13327
2020-04-09,8.76713
2020-04-10,10.80245
2020-04-11,6.8085
2020-04-12,15.58008
2020-04-13,17.74657
2020-04-14,17.63097
2020-04-15,9.55747
2020-04-16,12.19861
2020-04-17,13.28798
2020-04-18,7.93232
2020-04-19,18.24901
2020-04-20,11.57501
2020-04-21,12.27531
2020-04-22,12.82222
2020-04-23,12.88224
2020-04-24,14.93647
2020-04-25,9.1673
2020-04-26,9.30958
2020-04-27,20.46664
2020-04-28,11.79288
2020-04-29,10.58236
2020-04-30,8.56704
2020-05-01,8.15353
2020-05-02,7.24425
2020-05-03,7.09085
2020-05-04,10.76688
2020-05-05,8.63596
2020-05-06,11.23042
2020-05-07,9.83648
2020-05-08,10.10771
2020-05-09,7.11864
2020-05-10,6.10042
2020-05-11,10.40228
2020-05-12,9.18842
2020-05-13,8.87829
2020-05-14,9.22288
2020-05-15,9.38184
2020-05-16,6.3294
2020-05-17,5.7536
2020-05-18,13.87045
2020-05-19,13.01897
2020-05-20,11.05145
2020-05-21,9.72643
2020-05-22,9.19064
2020-05-23,6.30717
2020-05-24,6.08263
2020-05-25,10.27445
2020-05-26,8.76602
2020-05-27,7.93121
2020-05-28,8.70932
2020-05-29,8.35361
2020-05-30,5.66912
2020-05-31,5.6002
2020-06-01,8.20244
2020-06-02,22.313
2020-06-03,8.70043
2020-06-04,7.6044
2020-06-05,7.33651
2020-06-06,5.63466
2020-06-07,5.39344
2020-06-08,8.02125
2020-06-09,8.2369
2020-06-10,8.38363
2020-06-11,7.62552
2020-06-12,7.71556
2020-06-13,5.40678
2020-06-14,5.14889
2020-06-15,8.73934
2020-06-16,8.66931
2020-06-17,8.10239
2020-06-18,7.54326
2020-06-19,7.19645
2020-06-20,5.03106
2020-06-21,4.49861
2020-06-22,9.60082
2020-06-23,9.91651
2020-06-24,8.36584
2020-06-25,7.94788
2020-06-26,7.18644
2020-06-27,5.52128
2020-06-28,4.71537
2020-06-29,7.81449
2020-06-30,7.54104
2020-07-01,10.30668
2020-07-02,10.94474
2020-07-03,8.38363
2020-07-04,5.93034
2020-07-05,7.25425
2020-07-06,10.73576
2020-07-07,9.47299
2020-07-08,10.98364
2020-07-09,11.4205
2020-07-10,10.03657
2020-07-11,6.56951
2020-07-12,6.79405
2020-07-13,13.12012
2020-07-14,52.40604
2020-07-15,44.80163
2020-07-16,15.88132
2020-07-17,12.33089
2020-07-18,8.35473
2020-07-19,7.29093
2020-07-20,10.04657
2020-07-21,10.55679
2020-07-22,17.9889
2020-07-23,19.57959
2020-07-24,21.75498
2020-07-25,88.81181
2020-07-26,22.6487
2020-07-27,30.61882
2020-07-28,85.19024
2020-07-29,100.0
2020-07-30,20.94574
2020-07-31,19.81636
2020-08-01,13.39247
2020-08-02,10.41228
2020-08-03,15.25994
