date,ETF추천
2020-03-20,15.44827
2020-03-21,11.03448
2020-03-22,10.89655
2020-03-23,11.72413
2020-03-24,12.27586
2020-03-25,14.75862
2020-03-26,15.72413
2020-03-27,11.86206
2020-03-28,8.82758
2020-03-29,7.86206
2020-03-30,11.5862
2020-03-31,10.75862
2020-04-01,12.0
2020-04-02,12.82758
2020-04-03,10.34482
2020-04-04,6.89655
2020-04-05,7.17241
2020-04-06,12.13793
2020-04-07,10.20689
2020-04-08,9.7931
2020-04-09,13.65517
2020-04-10,10.20689
2020-04-11,6.62068
2020-04-12,7.5862
2020-04-13,10.62068
2020-04-14,9.7931
2020-04-15,8.0
2020-04-16,5.65517
2020-04-17,8.55172
2020-04-18,7.03448
2020-04-19,7.72413
2020-04-20,6.20689
2020-04-21,8.13793
2020-04-22,6.06896
2020-04-23,8.27586
2020-04-24,5.65517
2020-04-25,6.89655
2020-04-26,6.48275
2020-04-27,6.75862
2020-04-28,4.96551
2020-04-29,9.93103
2020-04-30,6.20689
2020-05-01,5.24137
2020-05-02,4.41379
2020-05-03,2.89655
2020-05-04,6.62068
2020-05-05,4.96551
2020-05-06,6.75862
2020-05-07,6.75862
2020-05-08,7.5862
2020-05-09,4.13793
2020-05-10,5.10344
2020-05-11,5.24137
2020-05-12,6.75862
2020-05-13,6.62068
2020-05-14,4.68965
2020-05-15,4.96551
2020-05-16,3.5862
2020-05-17,3.72413
2020-05-18,7.5862
2020-05-19,10.06896
2020-05-20,9.51724
2020-05-21,10.06896
2020-05-22,9.24137
2020-05-23,5.65517
2020-05-24,7.03448
2020-05-25,8.82758
2020-05-26,12.96551
2020-05-27,9.93103
2020-05-28,11.86206
2020-05-29,9.10344
2020-05-30,6.75862
2020-05-31,4.41379
2020-06-01,9.65517
2020-06-02,9.51724
2020-06-03,9.93103
2020-06-04,7.5862
2020-06-05,8.82758
2020-06-06,5.37931
2020-06-07,4.55172
2020-06-08,7.5862
2020-06-09,11.31034
2020-06-10,10.48275
2020-06-11,9.37931
2020-06-12,6.48275
2020-06-13,3.86206
2020-06-14,6.62068
2020-06-15,8.68965
2020-06-16,9.10344
2020-06-17,7.17241
2020-06-18,6.89655
2020-06-19,8.41379
2020-06-20,4.0
2020-06-21,6.34482
2020-06-22,6.75862
2020-06-23,8.13793
2020-06-24,10.34482
2020-06-25,9.24137
2020-06-26,8.27586
2020-06-27,3.03448
2020-06-28,5.65517
2020-06-29,7.5862
2020-06-30,6.20689
2020-07-01,5.65517
2020-07-02,6.62068
2020-07-03,7.03448
2020-07-04,4.27586
2020-07-05,3.17241
2020-07-06,8.0
2020-07-07,9.37931
2020-07-08,11.31034
2020-07-09,11.17241
2020-07-10,7.86206
2020-07-11,4.13793
2020-07-12,5.51724
2020-07-13,11.03448
2020-07-14,10.89655
2020-07-15,10.34482
2020-07-16,10.48275
2020-07-17,9.7931
2020-07-18,5.37931
2020-07-19,7.03448
2020-07-20,7.03448
2020-07-21,10.89655
2020-07-22,11.44827
2020-07-23,14.06896
2020-07-24,8.0
2020-07-25,5.10344
2020-07-26,6.34482
2020-07-27,11.31034
2020-07-28,14.06896
2020-07-29,13.93103
2020-07-30,11.03448
2020-07-31,12.13793
2020-08-01,6.48275
2020-08-02,8.82758
2020-08-03,16.82758
2020-08-04,16.27586
2020-08-05,17.65517
2020-08-06,20.27586
2020-08-07,19.31034
2020-08-08,11.17241
2020-08-09,13.65517
2020-08-10,16.55172
2020-08-11,18.20689
2020-08-12,15.31034
2020-08-13,14.20689
2020-08-14,9.65517
2020-08-15,4.96551
2020-08-16,5.65517
2020-08-17,7.17241
2020-08-18,8.13793
2020-08-19,10.62068
2020-08-20,9.24137
2020-08-21,9.7931
2020-08-22,6.89655
2020-08-23,7.44827
2020-08-24,11.86206
2020-08-25,15.86206
2020-08-26,16.13793
2020-08-27,16.41379
2020-08-28,14.48275
2020-08-29,9.51724
2020-08-30,8.13793
2020-08-31,12.13793
2020-09-01,16.41379
2020-09-02,16.68965
2020-09-03,20.68965
2020-09-04,12.41379
2020-09-05,7.86206
2020-09-06,8.96551
2020-09-07,12.0
2020-09-08,11.72413
2020-09-09,8.96551
2020-09-10,13.7931
2020-09-11,12.96551
2020-09-12,6.20689
2020-09-13,4.27586
2020-09-14,11.17241
2020-09-15,16.68965
2020-09-16,17.37931
2020-09-17,11.86206
2020-09-18,9.51724
2020-09-19,4.82758
2020-09-20,6.48275
2020-09-21,8.13793
2020-09-22,9.93103
2020-09-23,8.13793
2020-09-24,6.20689
2020-09-25,6.89655
2020-09-26,3.5862
2020-09-27,7.17241
2020-09-28,10.48275
2020-09-29,8.0
2020-09-30,4.68965
2020-10-01,5.37931
2020-10-02,3.72413
2020-10-03,5.93103
2020-10-04,5.65517
2020-10-05,9.10344
2020-10-06,9.93103
