date,KOSPI
2020-03-20,52.74561
2020-03-21,6.93836
2020-03-22,5.11576
2020-03-23,50.40675
2020-03-24,40.14392
2020-03-25,35.26282
2020-03-26,32.25907
2020-03-27,26.64267
2020-03-28,4.09105
2020-03-29,3.26188
2020-03-30,27.81602
2020-03-31,19.23498
2020-04-01,21.76939
2020-04-02,22.051
2020-04-03,17.12296
2020-04-04,3.02722
2020-04-05,2.76126
2020-04-06,18.74217
2020-04-07,19.44618
2020-04-08,15.53504
2020-04-09,14.30694
2020-04-10,13.4856
2020-04-11,2.44837
2020-04-12,2.06508
2020-04-13,15.89486
2020-04-14,12.21057
2020-04-15,3.42615
2020-04-16,12.47653
2020-04-17,14.82321
2020-04-18,2.47183
2020-04-19,2.31539
2020-04-20,13.09449
2020-04-21,22.30913
2020-04-22,15.53504
2020-04-23,11.21714
2020-04-24,10.48185
2020-04-25,1.66614
2020-04-26,1.72872
2020-04-27,10.15331
2020-04-28,9.55882
2020-04-29,9.41802
2020-04-30,2.54224
2020-05-01,2.54224
2020-05-02,1.46276
2020-05-03,1.34543
2020-05-04,11.1311
2020-05-05,2.33103
2020-05-06,8.1117
2020-05-07,7.31382
2020-05-08,6.30475
2020-05-09,1.56445
2020-05-10,1.04818
2020-05-11,8.84699
2020-05-12,8.71401
2020-05-13,8.15081
2020-05-14,8.62015
2020-05-15,7.27471
2020-05-16,1.25938
2020-05-17,1.14205
2020-05-18,6.99311
2020-05-19,7.55632
2020-05-20,6.80538
2020-05-21,7.91614
2020-05-22,7.74405
2020-05-23,1.1968
2020-05-24,1.40801
2020-05-25,6.91489
2020-05-26,8.1117
2020-05-27,8.40894
2020-05-28,8.82352
2020-05-29,6.87578
2020-05-30,1.23591
2020-05-31,1.29067
2020-06-01,6.6724
2020-06-02,6.99311
2020-06-03,10.56789
2020-06-04,8.65143
2020-06-05,7.68147
2020-06-06,1.63485
2020-06-07,1.30632
2020-06-08,8.08041
2020-06-09,8.64361
2020-06-10,7.65801
2020-06-11,7.61107
