date,코인스테이킹
2020-03-26,0.23452
2020-03-29,0.23452
2020-04-10,0.23452
2020-04-15,0.32833
2020-04-19,0.23452
2020-04-22,0.23452
2020-04-29,0.28142
2020-05-03,0.28142
2020-05-06,0.23452
2020-05-13,0.23452
2020-05-18,0.23452
2020-05-19,0.42213
2020-05-20,0.32833
2020-05-22,0.70356
2020-05-25,0.37523
2020-05-27,0.37523
2020-05-31,0.23452
2020-06-01,0.42213
2020-06-02,0.32833
2020-06-03,0.28142
2020-06-04,0.75046
2020-06-05,0.46904
2020-06-06,0.28142
2020-06-07,0.51594
2020-06-08,0.42213
2020-06-09,0.65666
2020-06-10,1.07879
2020-06-13,0.56285
2020-06-16,0.37523
2020-06-17,0.98499
2020-06-18,1.1257
2020-06-19,0.51594
2020-06-20,0.84427
2020-06-21,0.93808
2020-06-22,1.82926
2020-06-23,2.2045
2020-06-24,3.56472
2020-06-25,2.57973
2020-06-26,4.26829
2020-06-27,3.04878
2020-06-28,2.81425
2020-06-29,3.18949
2020-06-30,4.409
2020-07-01,3.09568
2020-07-02,3.84615
2020-07-03,3.42401
2020-07-04,3.37711
2020-07-05,2.95497
2020-07-06,2.72045
2020-07-07,3.61163
2020-07-08,4.08067
2020-07-09,2.81425
2020-07-10,2.81425
2020-07-11,3.47091
2020-07-12,3.23639
2020-07-13,3.23639
2020-07-14,3.93996
2020-07-15,3.18949
2020-07-16,3.84615
2020-07-17,3.98686
2020-07-18,3.79924
2020-07-19,2.86116
2020-07-20,4.17448
2020-07-21,5.15947
2020-07-22,4.92495
2020-07-23,4.59662
2020-07-24,3.89305
2020-07-25,4.3621
2020-07-26,2.90806
2020-07-27,3.51782
2020-07-28,4.54971
2020-07-29,5.5347
2020-07-30,3.93996
2020-07-31,6.00375
2020-08-01,3.79924
2020-08-02,4.4559
2020-08-03,6.09756
2020-08-04,5.20637
2020-08-05,5.95684
2020-08-06,5.81613
2020-08-07,5.67542
2020-08-08,4.83114
2020-08-09,6.66041
2020-08-10,7.59849
2020-08-11,9.09943
2020-08-12,11.63227
2020-08-13,13.36772
2020-08-14,9.05253
2020-08-15,8.53658
2020-08-16,7.45778
2020-08-17,8.48968
2020-08-18,9.19324
2020-08-19,27.76735
2020-08-20,17.72983
2020-08-21,10.55347
2020-08-22,9.00562
2020-08-23,8.7242
2020-08-24,11.49155
2020-08-25,11.06941
2020-08-26,10.74108
2020-08-27,9.803
2020-08-28,8.81801
2020-08-29,7.27016
2020-08-30,5.90994
2020-08-31,9.66228
2020-09-01,10.9756
2020-09-02,11.11632
2020-09-03,8.39587
2020-09-04,9.28705
2020-09-05,7.83302
2020-09-06,5.39399
2020-09-07,7.31707
2020-09-08,7.08255
2020-09-09,8.44277
2020-09-10,11.63227
2020-09-11,10.08442
2020-09-12,4.97185
2020-09-13,4.64352
2020-09-14,8.86491
2020-09-15,9.05253
2020-09-16,9.19324
2020-09-17,7.22326
2020-09-18,6.84803
2020-09-19,5.11257
2020-09-20,4.17448
2020-09-21,9.89681
2020-09-22,6.23827
2020-09-23,6.19136
2020-09-24,6.89493
2020-09-25,5.67542
2020-09-26,4.22138
2020-09-27,4.54971
2020-09-28,10.64727
2020-09-29,12.28893
2020-09-30,6.5666
2020-10-01,4.69043
2020-10-02,3.37711
2020-10-03,4.78424
2020-10-04,4.78424
2020-10-05,9.05253
2020-10-06,11.53846
2020-10-07,8.91181
2020-10-08,9.52157
2020-10-09,6.05065
2020-10-10,6.23827
2020-10-11,5.11257
2020-10-12,8.7242
2020-10-13,8.53658
2020-10-14,9.05253
2020-10-15,8.25515
2020-10-16,7.27016
2020-10-17,3.47091
2020-10-18,4.73733
2020-10-19,7.50469
2020-10-20,8.63039
2020-10-21,8.63039
2020-10-22,7.17636
2020-10-23,7.36397
2020-10-24,4.26829
2020-10-25,4.22138
2020-10-26,6.23827
2020-10-27,6.19136
2020-10-28,6.51969
2020-10-29,6.98874
2020-10-30,9.00562
2020-10-31,4.3621
2020-11-01,4.26829
2020-11-02,8.95872
2020-11-03,8.48968
2020-11-04,6.33208
2020-11-05,6.75422
2020-11-06,6.05065
2020-11-07,4.87804
2020-11-08,4.73733
2020-11-09,8.02063
2020-11-10,6.84803
2020-11-11,6.75422
2020-11-12,7.27016
2020-11-13,5.15947
2020-11-14,5.30018
2020-11-15,4.26829
2020-11-16,5.39399
2020-11-17,6.23827
2020-11-18,6.51969
2020-11-19,7.31707
2020-11-20,7.12945
2020-11-21,5.20637
2020-11-22,4.3621
2020-11-23,6.75422
2020-11-24,7.87992
2020-11-25,7.59849
2020-11-26,6.5666
2020-11-27,6.80112
2020-11-28,4.87804
2020-11-29,4.50281
2020-11-30,7.6923
2020-12-01,6.89493
2020-12-02,7.78611
2020-12-03,6.89493
2020-12-04,6.6135
2020-12-05,3.89305
2020-12-06,3.04878
2020-12-07,6.33208
2020-12-08,5.39399
2020-12-09,6.6135
