date,자동차모형
2020-03-20,67.90123
2020-03-21,69.1358
2020-03-22,98.76543
2020-03-23,77.77777
2020-03-24,54.32098
2020-03-25,61.72839
2020-03-26,62.34567
2020-03-27,56.17283
2020-03-28,82.71604
2020-03-29,64.81481
2020-03-30,72.22222
2020-03-31,80.86419
2020-04-01,67.28395
2020-04-02,70.98765
2020-04-03,76.5432
2020-04-04,90.12345
2020-04-05,69.1358
2020-04-06,69.1358
2020-04-07,68.51851
2020-04-08,64.81481
2020-04-09,81.48148
2020-04-10,66.66666
2020-04-11,83.33333
2020-04-12,92.59259
2020-04-13,72.8395
2020-04-14,58.02469
2020-04-15,83.95061
2020-04-16,60.49382
2020-04-17,70.98765
2020-04-18,64.19753
2020-04-19,76.5432
2020-04-20,65.43209
2020-04-21,77.16049
2020-04-22,70.98765
2020-04-23,74.69135
2020-04-24,77.77777
2020-04-25,66.66666
2020-04-26,86.41975
2020-04-27,79.62962
2020-04-28,73.45679
2020-04-29,58.64197
2020-04-30,70.37037
2020-05-01,69.1358
2020-05-02,88.88888
2020-05-03,100.0
2020-05-04,77.77777
2020-05-05,86.41975
2020-05-06,83.33333
2020-05-07,67.28395
2020-05-08,67.28395
2020-05-09,73.45679
2020-05-10,87.65432
2020-05-11,63.58024
2020-05-12,61.72839
2020-05-13,67.90123
2020-05-14,62.96296
2020-05-15,82.71604
2020-05-16,54.93827
2020-05-17,55.55555
2020-05-18,74.07407
2020-05-19,66.04938
2020-05-20,75.30864
2020-05-21,62.34567
2020-05-22,71.60493
2020-05-23,56.79012
2020-05-24,74.07407
2020-05-25,72.22222
2020-05-26,73.45679
2020-05-27,69.75308
2020-05-28,55.55555
2020-05-29,52.46913
2020-05-30,53.08641
2020-05-31,61.72839
2020-06-01,62.96296
2020-06-02,44.44444
2020-06-03,55.55555
2020-06-04,63.58024
2020-06-05,57.4074
2020-06-06,48.76543
2020-06-07,64.19753
2020-06-08,64.19753
2020-06-09,60.49382
2020-06-10,47.53086
2020-06-11,56.79012
2020-06-12,51.85185
2020-06-13,43.82716
2020-06-14,58.64197
2020-06-15,54.32098
2020-06-16,62.96296
2020-06-17,48.76543
2020-06-18,50.0
2020-06-19,50.61728
2020-06-20,56.17283
2020-06-21,67.28395
2020-06-22,55.55555
2020-06-23,55.55555
2020-06-24,54.32098
2020-06-25,60.49382
2020-06-26,62.96296
2020-06-27,66.04938
2020-06-28,62.34567
2020-06-29,65.43209
2020-06-30,61.11111
2020-07-01,66.66666
2020-07-02,59.87654
2020-07-03,54.93827
2020-07-04,54.93827
2020-07-05,57.4074
2020-07-06,59.25925
2020-07-07,42.59259
2020-07-08,51.23456
2020-07-09,48.76543
2020-07-10,49.38271
2020-07-11,54.32098
2020-07-12,51.23456
2020-07-13,61.72839
2020-07-14,56.17283
2020-07-15,41.9753
2020-07-16,49.38271
2020-07-17,64.19753
2020-07-18,56.17283
2020-07-19,74.69135
2020-07-20,77.16049
2020-07-21,48.76543
2020-07-22,41.9753
2020-07-23,55.55555
2020-07-24,40.74074
2020-07-25,66.66666
2020-07-26,66.04938
2020-07-27,66.04938
2020-07-28,58.64197
2020-07-29,61.11111
2020-07-30,65.43209
2020-07-31,45.06172
2020-08-01,49.38271
2020-08-02,69.75308
2020-08-03,52.46913
2020-08-04,40.74074
2020-08-05,56.17283
