date,종합소득세신고
2020-03-20,0.45332
2020-03-21,0.13811
2020-03-22,0.16261
2020-03-23,0.4277
2020-03-24,0.44106
2020-03-25,0.42658
2020-03-26,0.42993
2020-03-27,0.4199
2020-03-28,0.14702
2020-03-29,0.16261
2020-03-30,0.6538
2020-03-31,0.53574
2020-04-01,0.55913
2020-04-02,0.54019
2020-04-03,0.49564
2020-04-04,0.21719
2020-04-05,0.20605
2020-04-06,0.48562
2020-04-07,0.59366
2020-04-08,0.80417
2020-04-09,0.85651
2020-04-10,0.59366
2020-04-11,0.24392
2020-04-12,0.21273
2020-04-13,0.80194
2020-04-14,0.6137
2020-04-15,0.34639
2020-04-16,0.68053
2020-04-17,0.68722
2020-04-18,0.34305
2020-04-19,0.3308
2020-04-20,0.97012
2020-04-21,0.95453
2020-04-22,1.06925
2020-04-23,1.04586
2020-04-24,1.04809
2020-04-25,0.40876
2020-04-26,0.54799
2020-04-27,2.6542
2020-04-28,24.4236
2020-04-29,8.89265
2020-04-30,3.3882
2020-05-01,7.49704
2020-05-02,3.6945
2020-05-03,4.66574
2020-05-04,11.10801
2020-05-05,3.98298
2020-05-06,8.20654
2020-05-07,7.04595
2020-05-08,5.03775
2020-05-09,2.15633
2020-05-10,2.13962
2020-05-11,7.24532
2020-05-12,6.74634
2020-05-13,5.80071
2020-05-14,5.61582
2020-05-15,4.74816
2020-05-16,1.97255
2020-05-17,1.95696
2020-05-18,6.24401
2020-05-19,5.73945
2020-05-20,5.5011
2020-05-21,5.06337
2020-05-22,4.52763
2020-05-23,1.84446
2020-05-24,2.35459
2020-05-25,7.42465
2020-05-26,6.74745
2020-05-27,5.95553
2020-05-28,5.95442
2020-05-29,6.32309
2020-05-30,2.38132
2020-05-31,3.35479
2020-06-01,6.33868
2020-06-02,1.84669
2020-06-03,1.17952
2020-06-04,1.01022
2020-06-05,0.84426
2020-06-06,0.43438
2020-06-07,0.43661
2020-06-08,0.86877
2020-06-09,0.77966
2020-06-10,0.97235
2020-06-11,0.72954
2020-06-12,0.57027
2020-06-13,0.31186
2020-06-14,0.34528
2020-06-15,0.91332
2020-06-16,1.03138
2020-06-17,0.84315
2020-06-18,0.89104
2020-06-19,0.7986
2020-06-20,0.32857
2020-06-21,0.37201
2020-06-22,1.00688
2020-06-23,0.91332
2020-06-24,0.84538
2020-06-25,0.83312
2020-06-26,0.60145
2020-06-27,0.26954
2020-06-28,0.32968
2020-06-29,1.07037
2020-06-30,1.06034
2020-07-01,0.57027
2020-07-02,0.49898
2020-07-03,0.42213
2020-07-04,0.18155
2020-07-05,0.16707
2020-07-06,0.51569
2020-07-07,0.49787
