date,아파트분양일정
2020-03-20,34.4126
2020-03-21,45.41547
2020-03-22,43.72492
2020-03-23,40.88825
2020-03-24,44.72779
2020-03-25,44.69914
2020-03-26,46.27507
2020-03-27,40.85959
2020-03-28,37.04871
2020-03-29,40.45845
2020-03-30,45.95988
2020-03-31,43.23782
2020-04-01,44.75644
2020-04-02,42.14899
2020-04-03,34.58452
2020-04-04,40.77363
2020-04-05,41.40401
2020-04-06,46.47564
2020-04-07,47.10601
2020-04-08,42.26361
2020-04-09,36.33237
2020-04-10,35.95988
2020-04-11,37.9083
2020-04-12,41.69054
2020-04-13,43.83954
2020-04-14,42.29226
2020-04-15,41.60458
2020-04-16,42.6361
2020-04-17,41.37535
2020-04-18,41.46131
2020-04-19,50.51575
2020-04-20,48.36676
2020-04-21,52.09169
2020-04-22,47.50716
2020-04-23,44.26934
2020-04-24,37.65042
2020-04-25,42.80802
2020-04-26,46.33237
2020-04-27,47.65042
2020-04-28,47.62177
2020-04-29,38.56733
2020-04-30,38.93982
2020-05-01,41.23209
2020-05-02,42.66475
2020-05-03,48.51002
2020-05-04,46.53295
2020-05-05,63.52435
2020-05-06,65.01432
2020-05-07,59.59885
2020-05-08,48.36676
2020-05-09,57.16332
2020-05-10,50.94555
2020-05-11,66.16045
2020-05-12,75.90257
2020-05-13,60.60171
2020-05-14,50.54441
2020-05-15,55.2722
2020-05-16,55.18624
2020-05-17,55.15759
2020-05-18,77.9083
2020-05-19,76.24641
2020-05-20,89.54154
2020-05-21,73.75358
2020-05-22,63.26647
2020-05-23,49.94269
2020-05-24,58.85386
2020-05-25,66.53295
2020-05-26,63.58166
2020-05-27,58.91117
2020-05-28,59.02578
2020-05-29,45.47277
2020-05-30,44.12607
2020-05-31,50.63037
2020-06-01,67.36389
2020-06-02,74.32664
2020-06-03,72.95128
2020-06-04,63.52435
2020-06-05,52.92263
2020-06-06,45.32951
2020-06-07,56.1318
2020-06-08,73.81088
2020-06-09,70.0573
2020-06-10,71.43266
2020-06-11,61.03151
2020-06-12,52.57879
2020-06-13,45.84527
2020-06-14,55.41547
2020-06-15,65.55873
2020-06-16,71.86246
2020-06-17,62.95128
2020-06-18,54.89971
2020-06-19,47.96561
2020-06-20,40.54441
2020-06-21,47.87965
2020-06-22,59.48424
2020-06-23,60.02865
2020-06-24,47.70773
2020-06-25,46.96275
2020-06-26,42.52148
2020-06-27,38.62464
2020-06-28,49.36962
2020-06-29,50.83094
2020-06-30,52.2063
2020-07-01,58.99713
2020-07-02,54.44126
2020-07-03,48.99713
2020-07-04,44.49856
2020-07-05,48.85386
2020-07-06,59.39828
2020-07-07,57.56446
2020-07-08,62.29226
2020-07-09,63.72492
2020-07-10,50.94555
2020-07-11,46.64756
2020-07-12,48.62464
2020-07-13,54.67048
2020-07-14,61.91977
2020-07-15,62.83667
2020-07-16,55.73065
2020-07-17,56.87679
2020-07-18,52.6361
