date,3월공모주
2020-03-20,0.42643
2020-03-21,0.19383
2020-03-22,0.1163
2020-03-23,0.13568
2020-03-24,0.3489
2020-03-25,0.44582
2020-03-26,0.25198
2020-03-27,0.29075
2020-03-29,0.1163
2020-03-30,0.2326
2020-04-03,0.09691
2020-04-09,0.1163
2020-05-09,0.1163
2021-01-08,0.09691
2021-01-14,0.1163
2021-01-19,0.13568
2021-01-20,0.48459
2021-01-21,0.32952
2021-01-22,0.31013
2021-01-23,0.5815
2021-01-24,0.62027
2021-01-25,0.5815
2021-01-26,0.63965
2021-01-27,0.56212
2021-01-28,0.56212
2021-01-29,0.38767
2021-01-30,0.21321
2021-01-31,0.42643
2021-02-01,0.75596
2021-02-02,0.71719
2021-02-03,0.81411
2021-02-04,0.93041
2021-02-05,1.18239
2021-02-06,0.77534
2021-02-07,1.06609
2021-02-08,1.89959
2021-02-09,1.93836
2021-02-10,1.8802
2021-02-11,0.91102
2021-02-12,1.16301
2021-02-13,1.25993
2021-02-14,1.49253
2021-02-15,3.43089
2021-02-16,4.57452
2021-02-17,5.81508
2021-02-18,4.94281
2021-02-19,3.95425
2021-02-20,3.14014
2021-02-21,3.15952
2021-02-22,4.28377
2021-02-23,4.36131
2021-02-24,9.71118
2021-02-25,9.11029
2021-02-26,10.19577
2021-02-27,6.12521
2021-02-28,6.51289
2021-03-01,10.46714
2021-03-02,17.87168
2021-03-03,14.75092
2021-03-04,12.25043
2021-03-05,10.62221
2021-03-06,4.41946
2021-03-07,5.56309
2021-03-08,13.02578
2021-03-09,13.23899
2021-03-10,12.36673
2021-03-11,19.11223
2021-03-12,17.40647
2021-03-13,7.09439
2021-03-14,7.86974
2021-03-15,15.50688
2021-03-16,17.17387
2021-03-17,11.76584
2021-03-18,23.0471
2021-03-19,15.33242
2021-03-20,7.83097
2021-03-21,7.30761
2021-03-22,15.70071
2021-03-23,12.92886
2021-03-24,14.96414
2021-03-25,7.34638
2021-03-26,4.47761
2021-03-27,1.80267
2021-03-28,2.28726
2021-03-29,4.63268
2021-03-30,3.58596
2021-03-31,2.28726
2021-04-01,1.95774
2021-04-02,0.87226
2021-04-03,0.44582
2021-04-04,0.2326
2021-04-05,0.73657
2021-04-06,0.54274
2021-04-07,0.83349
2021-04-08,0.4652
2021-04-09,0.73657
2021-04-10,0.44582
2021-04-11,0.54274
2021-04-12,1.02733
2021-04-13,0.56212
2021-04-14,0.73657
2021-04-15,0.62027
2021-04-16,0.62027
2021-04-17,0.36828
2021-04-18,0.21321
2021-04-19,0.93041
2021-04-20,0.81411
2021-04-21,0.65904
2021-04-22,0.27137
2021-04-23,0.3489
2021-04-24,0.19383
2021-04-25,0.27137
2021-04-26,0.4652
2021-04-27,1.02733
2021-04-28,1.47315
2021-04-29,0.89164
2021-04-30,0.87226
2021-05-01,0.75596
2021-05-02,0.62027
2021-05-03,0.83349
2021-05-04,0.52335
2021-05-05,0.32952
2021-05-06,0.48459
2021-05-07,0.40705
2021-05-08,0.1163
2021-05-09,0.13568
2021-05-10,0.60089
2021-05-11,1.04671
2021-05-12,0.29075
2021-05-13,0.4652
2021-05-14,0.21321
2021-05-16,0.09691
2021-05-22,0.09691
2021-05-25,0.09691
2021-05-26,0.09691
2021-06-01,0.17445
2021-06-03,0.15506
2021-06-06,0.1163
2021-06-07,0.1163
2021-06-10,0.09691
2021-06-13,0.09691
2021-06-25,0.09691
2021-06-30,0.15506
2021-07-01,0.09691
2021-07-02,0.09691
2021-07-06,0.09691
2021-07-11,0.2326
2021-07-12,0.13568
2021-07-13,0.15506
2021-07-14,0.13568
2021-07-15,0.17445
2021-07-16,0.17445
2021-07-17,0.1163
2021-07-21,0.2326
2021-07-22,0.1163
2021-07-23,0.17445
2021-07-24,0.1163
2021-07-25,0.19383
2021-07-27,0.32952
2021-07-28,0.27137
2021-08-02,0.1163
2021-08-05,0.09691
2021-08-06,0.25198
2021-08-07,0.27137
2021-08-09,0.1163
2021-08-10,0.17445
2021-08-13,0.15506
2021-08-14,0.1163
2021-08-16,0.13568
2021-08-23,0.15506
2021-08-24,0.2326
2021-09-01,0.1163
2021-09-03,0.13568
2021-09-17,0.09691
2021-11-17,0.09691
2021-11-18,0.1163
2022-01-03,0.09691
2022-01-04,0.13568
2022-01-05,0.09691
2022-01-06,0.09691
2022-01-07,0.13568
2022-01-08,0.13568
2022-01-09,0.15506
2022-01-10,0.09691
2022-01-11,0.1163
2022-01-12,0.44582
2022-01-13,0.27137
2022-01-14,0.29075
2022-01-15,0.27137
2022-01-16,0.27137
2022-01-17,0.63965
2022-01-18,1.22116
2022-01-19,1.74452
2022-01-20,3.64411
2022-01-21,2.55863
2022-01-22,1.60883
2022-01-23,1.31808
2022-01-24,1.62822
2022-01-25,1.49253
2022-01-26,1.6476
2022-01-27,5.13665
2022-01-28,4.61329
2022-01-29,1.78329
2022-01-30,2.11281
2022-01-31,1.72514
2022-02-01,2.07404
2022-02-02,2.34541
2022-02-03,5.48555
2022-02-04,6.76487
2022-02-05,4.08993
2022-02-06,4.18685
2022-02-07,6.91994
2022-02-08,6.84241
2022-02-09,6.4935
2022-02-10,6.80364
2022-02-11,6.2609
2022-02-12,3.8961
2022-02-13,5.0785
2022-02-14,7.96666
2022-02-15,10.29269
2022-02-16,12.11475
2022-02-17,14.61523
2022-02-18,12.6381
2022-02-19,8.76138
2022-02-20,8.52878
2022-02-21,18.00736
2022-02-22,19.53867
2022-02-23,33.99883
2022-02-24,24.40395
2022-02-25,23.47354
2022-02-26,16.96065
2022-02-27,17.34832
2022-02-28,43.4968
2022-03-01,30.06396
2022-03-02,57.18162
2022-03-03,63.28745
2022-03-04,32.13801
