date,촬영감독
2020-03-20,7.51708
2020-03-21,6.60592
2020-03-22,3.64464
2020-03-23,7.51708
2020-03-24,7.28929
2020-03-25,13.89521
2020-03-26,8.42824
2020-03-27,7.51708
2020-03-28,7.28929
2020-03-29,6.15034
2020-03-30,9.3394
2020-03-31,8.88382
2020-04-01,10.70615
2020-04-02,7.97266
2020-04-03,6.37813
2020-04-04,4.10022
2020-04-05,7.0615
2020-04-06,9.79498
2020-04-07,6.15034
2020-04-08,6.37813
2020-04-09,10.25056
2020-04-10,12.07289
2020-04-11,6.37813
2020-04-12,6.37813
2020-04-13,9.79498
2020-04-14,7.74487
2020-04-15,5.92255
2020-04-16,8.88382
2020-04-17,10.02277
2020-04-18,8.88382
2020-04-19,5.69476
2020-04-20,9.3394
2020-04-21,8.88382
2020-04-22,8.88382
2020-04-23,10.70615
2020-04-24,9.11161
2020-04-25,4.5558
2020-04-26,7.74487
2020-04-27,10.02277
2020-04-28,6.37813
2020-04-29,6.60592
2020-04-30,5.69476
2020-05-01,6.83371
2020-05-02,4.78359
2020-05-03,6.83371
2020-05-04,11.38952
2020-05-05,6.37813
2020-05-06,8.42824
2020-05-07,7.97266
2020-05-08,9.3394
2020-05-09,7.28929
2020-05-10,6.60592
2020-05-11,5.23917
2020-05-12,8.20045
2020-05-13,7.97266
2020-05-14,6.83371
2020-05-15,6.60592
2020-05-16,5.92255
2020-05-17,7.74487
2020-05-18,9.79498
2020-05-19,9.3394
2020-05-20,6.60592
2020-05-21,9.79498
2020-05-22,9.11161
2020-05-23,4.5558
2020-05-24,7.97266
2020-05-25,8.88382
2020-05-26,11.16173
2020-05-27,8.42824
2020-05-28,7.74487
2020-05-29,6.60592
2020-05-30,7.51708
2020-05-31,7.74487
2020-06-01,10.02277
2020-06-02,9.3394
2020-06-03,11.8451
2020-06-04,8.42824
2020-06-05,6.15034
2020-06-06,4.10022
2020-06-07,7.0615
2020-06-08,15.48974
2020-06-09,13.43963
2020-06-10,9.11161
2020-06-11,10.93394
2020-06-12,6.60592
2020-06-13,2.2779
2020-06-14,15.03416
2020-06-15,9.56719
2020-06-16,8.20045
2020-06-17,10.47835
2020-06-18,9.11161
2020-06-19,7.97266
2020-06-20,5.23917
2020-06-21,8.65603
2020-06-22,10.70615
2020-06-23,11.16173
2020-06-24,10.70615
2020-06-25,8.65603
2020-06-26,11.38952
2020-06-27,8.42824
2020-06-28,11.8451
2020-06-29,8.88382
2020-06-30,9.56719
2020-07-01,9.3394
2020-07-02,7.51708
2020-07-03,9.79498
2020-07-04,4.5558
2020-07-05,8.88382
2020-07-06,9.79498
2020-07-07,10.02277
2020-07-08,7.97266
2020-07-09,8.88382
2020-07-10,5.69476
2020-07-11,5.92255
2020-07-12,7.51708
2020-07-13,11.16173
2020-07-14,8.65603
2020-07-15,7.0615
2020-07-16,5.46697
2020-07-17,7.97266
2020-07-18,4.78359
2020-07-19,7.0615
2020-07-20,8.88382
2020-07-21,6.15034
2020-07-22,8.65603
2020-07-23,8.42824
2020-07-24,7.97266
2020-07-25,4.78359
2020-07-26,5.92255
2020-07-27,6.83371
2020-07-28,7.0615
2020-07-29,7.51708
2020-07-30,7.51708
2020-07-31,8.20045
2020-08-01,4.10022
2020-08-02,7.51708
2020-08-03,8.42824
2020-08-04,7.97266
2020-08-05,7.0615
2020-08-06,9.11161
2020-08-07,8.42824
2020-08-08,3.41685
2020-08-09,9.56719
2020-08-10,9.3394
2020-08-11,9.56719
2020-08-12,6.37813
2020-08-13,5.92255
2020-08-14,6.15034
2020-08-15,3.18906
2020-08-16,7.0615
2020-08-17,5.92255
2020-08-18,8.20045
2020-08-19,6.60592
2020-08-20,6.60592
2020-08-21,7.97266
2020-08-22,7.28929
2020-08-23,6.15034
2020-08-24,10.93394
2020-08-25,9.56719
2020-08-26,7.28929
2020-08-27,4.32801
2020-08-28,6.15034
2020-08-29,6.37813
2020-08-30,6.83371
2020-08-31,9.11161
2020-09-01,8.42824
2020-09-02,7.51708
2020-09-03,10.47835
