date,증권정보
2020-03-20,89.67181
2020-03-21,30.50193
2020-03-22,17.56756
2020-03-23,84.55598
2020-03-24,94.49806
2020-03-25,89.09266
2020-03-26,90.34749
2020-03-27,86.10038
2020-03-28,25.19305
2020-03-29,17.85714
2020-03-30,68.82239
2020-03-31,75.48262
2020-04-01,78.66795
2020-04-02,67.47104
2020-04-03,64.96138
2020-04-04,23.06949
2020-04-05,12.25868
2020-04-06,53.57142
2020-04-07,65.15444
2020-04-08,65.63706
2020-04-09,60.32818
2020-04-10,59.16988
2020-04-11,21.62162
2020-04-12,13.61003
2020-04-13,53.861
2020-04-14,55.50193
2020-04-15,22.49034
2020-04-16,50.96525
2020-04-17,55.88803
2020-04-18,21.23552
2020-04-19,13.89961
2020-04-20,48.93822
2020-04-21,59.2664
2020-04-22,60.81081
2020-04-23,49.42084
2020-04-24,49.13127
2020-04-25,17.47104
2020-04-26,13.51351
2020-04-27,49.03474
2020-04-28,54.34362
2020-04-29,53.66795
2020-04-30,21.52509
2020-05-01,18.82239
2020-05-02,12.16216
2020-05-03,11.96911
2020-05-04,43.33976
2020-05-05,23.16602
2020-05-06,45.75289
2020-05-07,44.59459
2020-05-08,45.84942
2020-05-09,18.91891
2020-05-10,10.81081
2020-05-11,40.54054
2020-05-12,49.03474
2020-05-13,50.19305
2020-05-14,50.09652
2020-05-15,47.49034
2020-05-16,16.40926
2020-05-17,11.38996
2020-05-18,42.18146
2020-05-19,49.90347
2020-05-20,50.67567
2020-05-21,51.83397
2020-05-22,53.18532
2020-05-23,15.73359
2020-05-24,11.87258
2020-05-25,52.99227
2020-05-26,60.71428
2020-05-27,58.39768
2020-05-28,57.81853
2020-05-29,47.49034
2020-05-30,19.30501
2020-05-31,10.81081
2020-06-01,51.25482
2020-06-02,50.86872
2020-06-03,54.05405
2020-06-04,60.03861
2020-06-05,50.48262
2020-06-06,16.11969
2020-06-07,13.32046
2020-06-08,41.31274
2020-06-09,52.79922
2020-06-10,49.51737
2020-06-11,50.09652
2020-06-12,48.55212
2020-06-13,17.27799
2020-06-14,8.97683
2020-06-15,56.1776
2020-06-16,50.0
2020-06-17,50.96525
2020-06-18,49.13127
2020-06-19,45.27027
2020-06-20,15.25096
2020-06-21,8.68725
2020-06-22,44.11196
2020-06-23,44.11196
2020-06-24,47.00772
2020-06-25,49.61389
2020-06-26,43.53281
2020-06-27,16.02316
2020-06-28,8.68725
2020-06-29,50.28957
2020-06-30,44.30501
2020-07-01,45.75289
2020-07-02,43.53281
2020-07-03,46.33204
2020-07-04,15.05791
2020-07-05,11.10038
2020-07-06,42.27799
2020-07-07,45.84942
2020-07-08,47.39382
2020-07-09,52.99227
2020-07-10,44.49806
2020-07-11,15.05791
2020-07-12,11.00386
2020-07-13,45.07722
2020-07-14,49.22779
2020-07-15,46.42857
2020-07-16,51.5444
2020-07-17,54.6332
2020-07-18,17.47104
2020-07-19,13.80308
2020-07-20,42.56756
2020-07-21,54.6332
2020-07-22,53.37837
2020-07-23,55.0193
2020-07-24,50.3861
2020-07-25,18.24324
2020-07-26,12.45173
2020-07-27,50.67567
2020-07-28,52.12355
2020-07-29,50.57915
2020-07-30,53.28185
2020-07-31,53.4749
2020-08-01,17.95366
2020-08-02,12.16216
2020-08-03,44.98069
2020-08-04,51.5444
2020-08-05,51.9305
2020-08-06,55.30888
2020-08-07,61.38996
2020-08-08,24.22779
2020-08-09,15.34749
2020-08-10,48.74517
2020-08-11,49.51737
2020-08-12,51.5444
2020-08-13,53.4749
2020-08-14,46.42857
2020-08-15,17.18146
2020-08-16,9.16988
2020-08-17,22.29729
2020-08-18,48.45559
2020-08-19,43.82239
2020-08-20,54.6332
2020-08-21,49.13127
2020-08-22,17.27799
2020-08-23,10.52123
2020-08-24,48.74517
2020-08-25,47.97297
2020-08-26,52.12355
2020-08-27,47.49034
2020-08-28,44.88416
2020-08-29,14.47876
2020-08-30,12.64478
2020-08-31,44.78764
2020-09-01,51.25482
2020-09-02,44.78764
2020-09-03,50.3861
2020-09-04,53.18532
2020-09-05,22.68339
2020-09-06,14.18918
2020-09-07,43.05019
2020-09-08,48.16602
2020-09-09,50.96525
2020-09-10,49.42084
2020-09-11,52.41312
2020-09-12,19.69111
2020-09-13,17.27799
2020-09-14,55.30888
2020-09-15,54.44015
2020-09-16,55.69498
2020-09-17,57.14285
2020-09-18,52.12355
2020-09-19,18.82239
2020-09-20,13.32046
2020-09-21,47.20077
2020-09-22,55.69498
2020-09-23,49.42084
2020-09-24,58.97683
2020-09-25,46.23552
2020-09-26,19.30501
2020-09-27,10.71428
2020-09-28,40.05791
2020-09-29,46.04247
2020-09-30,20.27027
2020-10-01,19.01544
2020-10-02,20.55984
2020-10-03,16.79536
2020-10-04,12.83783
2020-10-05,40.34749
2020-10-06,50.28957
2020-10-07,50.09652
2020-10-08,46.33204
2020-10-09,22.68339
2020-10-10,16.21621
2020-10-11,14.28571
2020-10-12,37.35521
2020-10-13,50.67567
2020-10-14,50.19305
2020-10-15,55.11583
2020-10-16,48.93822
2020-10-17,18.72586
2020-10-18,11.77606
2020-10-19,47.58687
2020-10-20,54.6332
2020-10-21,56.5637
2020-10-22,48.16602
2020-10-23,41.31274
2020-10-24,15.73359
2020-10-25,13.80308
2020-10-26,42.56756
2020-10-27,47.29729
2020-10-28,45.94594
2020-10-29,50.7722
2020-10-30,47.10424
2020-10-31,19.98069
2020-11-01,12.45173
2020-11-02,42.27799
2020-11-03,51.64092
2020-11-04,51.5444
2020-11-05,50.7722
2020-11-06,51.06177
2020-11-07,19.69111
2020-11-08,11.19691
2020-11-09,41.50579
2020-11-10,60.61776
2020-11-11,56.85328
2020-11-12,59.74903
2020-11-13,50.28957
2020-11-14,20.55984
2020-11-15,12.74131
2020-11-16,45.84942
2020-11-17,50.28957
2020-11-18,50.48262
2020-11-19,53.66795
2020-11-20,48.16602
2020-11-21,19.49806
2020-11-22,11.58301
2020-11-23,45.75289
2020-11-24,49.13127
2020-11-25,55.50193
2020-11-26,53.18532
2020-11-27,54.53667
2020-11-28,19.20849
2020-11-29,12.93436
2020-11-30,51.06177
2020-12-01,55.30888
2020-12-02,60.13513
2020-12-03,57.43243
2020-12-04,58.39768
2020-12-05,21.23552
2020-12-06,13.80308
2020-12-07,51.5444
2020-12-08,61.29343
2020-12-09,61.38996
2020-12-10,66.98841
2020-12-11,61.19691
2020-12-12,21.42857
2020-12-13,13.70656
2020-12-14,53.861
2020-12-15,57.23938
2020-12-16,59.6525
2020-12-17,64.38223
2020-12-18,56.75675
2020-12-19,20.65637
2020-12-20,15.34749
2020-12-21,49.80694
2020-12-22,55.69498
2020-12-23,60.42471
2020-12-24,53.95752
2020-12-25,19.30501
2020-12-26,13.22393
2020-12-27,14.96138
2020-12-28,45.75289
2020-12-29,53.861
2020-12-30,51.5444
2020-12-31,26.1583
2021-01-01,20.07722
2021-01-02,14.38223
2021-01-03,14.38223
2021-01-04,56.46718
2021-01-05,63.89961
2021-01-06,70.65637
2021-01-07,69.78764
2021-01-08,72.97297
2021-01-09,30.4054
2021-01-10,20.17374
2021-01-11,83.30115
2021-01-12,88.12741
2021-01-13,82.722
2021-01-14,69.88416
2021-01-15,70.84942
2021-01-16,29.2471
2021-01-17,18.53281
2021-01-18,66.21621
2021-01-19,69.01544
2021-01-20,64.76833
2021-01-21,69.59459
2021-01-22,64.18918
2021-01-23,22.77992
2021-01-24,15.25096
2021-01-25,54.92277
2021-01-26,71.71814
2021-01-27,72.39382
2021-01-28,77.79922
2021-01-29,75.09652
2021-01-30,28.76447
2021-01-31,17.56756
2021-02-01,63.03088
2021-02-02,73.16602
2021-02-03,69.88416
2021-02-04,62.74131
2021-02-05,65.05791
2021-02-06,23.35907
2021-02-07,15.63706
2021-02-08,54.15057
2021-02-09,63.03088
